COMPANY,TYPE,SRC,REFYEAR
HBIS GROUP CO. LTD.,FIN_REP,https://sustainabilityreports.com/reports/hbis-co-ltd-2023-sustainability-report-pdf/#unlock,2023
MOL HUNGARIAN OIL AND GAS,FIN_REP,https://sustainabilityreports.com/reports/mol-hungarian-oil-and-gas-plc-2023-integrated-annual-report-pdf/#unlock,2023
DSV A/S,FIN_REP,,
KRONES,FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/k/krones_2023.pdf,2023
KRONES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/k/krones_2022.pdf,2022
KRONES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/k/krones_2021.pdf,2021
KRONES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/k/krones_2020.pdf,2020
KRONES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/k/krones_2019.pdf,2019
KRONES,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/k/krones_2018.pdf,2018
KONECRANES,FIN_REP,https://investors.konecranes.com/sites/konecranes/files/Results/2024-Q2/Konecranes-2024-half-year-financial-report.pdf,2024
KONECRANES,OTHER,https://investors.konecranes.com/sites/konecranes/files/Results/2024-Q2/Q2-2024-Half-year-financial-report-Presentation.pdf,2024
