COMPANY,TYPE,SRC,REFYEAR
ADECCO GROUP AG,FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/a/adecco-group_2022.pdf,2022
ADECCO GROUP AG,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/adecco-group_2021.pdf,2021
ADECCO GROUP AG,OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/a/adecco-group_2020.pdf,2020
ADECCO GROUP AG,OTHER,https://en.fescoadecco.com/index.php/public/pdf?file=/mkt/pdf/The%20Adecco%20Group%202024%20Annual%20Report.pdf/annual-report-2025.pdf,2020
ADECCO GROUP AG,OTHER,https://en.fescoadecco.com/index.php/public/pdf?file=/mkt/pdf/The%20Adecco%20Group%202024%20Annual%20Report.pdf/annual-report-2024.pdf,2020
ADECCO GROUP AG,OTHER,https://en.fescoadecco.com/index.php/public/pdf?file=/mkt/pdf/The%20Adecco%20Group%202024%20Annual%20Report.pdf/annual_report_2025.pdf,2020
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,FIN_REP,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/irish-statutory-reports-and-non-financial-report-for-fiscal-2024-v1.pdf,2024
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/jci-plc-2023-irish-annual-report.pdf,2023
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/irish-statutory-reports-for-fiscal-2022.pdf,2022
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/annual-reports/2024-annual-report-proxy-statement.pdf,2024
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/2024-proxy-statement.pdf,2024
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/annual-reports/2022-annual-report.pdf,2022
MAGNA INTERNATIONAL INC,FIN_REP,https://www.magna.com/docs/default-source/financial-reports-public-filings/annual-reports/2024-annual-report---magna---aoda.pdf?sfvrsn=188e000d_11,2024
MAGNA INTERNATIONAL INC,OTHER,https://get.adobe.com/reader/,Unknown
PUBLICIS GROUPE S A,FIN_REP,,
GEBR. KNAUF,FIN_REP,,
BRIDGESTONE CORPORATION,FIN_REP,,
FERRERO,FIN_REP,,
SUMITOMO CORPORATION,FIN_REP,,
COMPAGNIE DE SAINT GOBAIN,FIN_REP,,
ABBOTT LABORATORIES,FIN_REP,,
BP P.L.C.,FIN_REP,,
ENGIE,FIN_REP,,
DENTSU GROUP INC.,FIN_REP,,
THYSSENKRUPP,FIN_REP,,
VOESTALPINE GROUP,FIN_REP,,
ORANGE,FIN_REP,,
ORACLE CORP,FIN_REP,,
ACCOR,FIN_REP,,
PROCTER & GAMBLE CO,FIN_REP,,
FCC,FIN_REP,,
SOCIETE NATIONALE SNCF,FIN_REP,https://www.groupe-sncf.com/medias-publics/2024-03/sncf-group-annual-financial-report-2023.pdf,2024
SOCIETE NATIONALE SNCF,OTHER,https://medias.sncf.com/sncfcom/finances/Publications_financieres/SNCF_RAA_31122022_EN.pdf,2022
SOCIETE NATIONALE SNCF,OTHER,https://medias.sncf.com/sncfcom/finances/Publications_financieres/SNCF_RAA_31122021_EN.pdf,2021
ATLAS COPCO AKTIEBOLAG,FIN_REP,,
AKTIEBOLAGET SKF,FIN_REP,,
JOHN WOOD GROUP PLC,FIN_REP,,
FUJITSU LIMITED,FIN_REP,,
CRH PLC,FIN_REP,,
DEUTSCHE BAHN,FIN_REP,,
CARGILL,FIN_REP,,
WARNER BROS. DISCOVERY INC.,FIN_REP,,
GENERAL ELECTRIC COMPANY,FIN_REP,,
SAFRAN,FIN_REP,,
BASF,FIN_REP,,
APTIV PLC,FIN_REP,,
WPP PLC,FIN_REP,,
GI GROUP,FIN_REP,,
