sub_length,rmse,predictions,actual,forecast_dates,geo,series
18,0.42265523293028506,[2.0088964 1.8794075],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
24,0.41335083102357534,[1.8575772 1.8193538],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
30,0.40015892884538856,[1.730489  1.7143621],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
36,0.36476192451393963,[1.8328775 1.7281061],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
42,0.4376606745224928,[1.9043366 1.8751353],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
48,0.39823961581496237,[1.6926188 1.6738517],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
54,0.4189526003867322,[1.8186469 1.8085024],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
60,0.4196406190220543,[1.7797867 1.7863196],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
66,0.4051447823245335,[1.76516   1.7512678],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
72,0.4161816408866378,[1.7771593 1.7787231],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
78,0.35469821972966215,[1.6914319 1.574486 ],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
84,0.42283668621391063,[1.7842426 1.7945567],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
90,0.39989176937450727,[1.7589895 1.7373347],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
96,0.4034406108693919,[1.7551901 1.7407423],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
102,0.39873150914979477,[1.7655995 1.7402997],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
108,0.4137399392876913,[1.7861292 1.7804894],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
114,0.3758986886661517,[1.8149216 1.7353779],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
120,0.41357376079490743,[1.8158276 1.7982178],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
126,0.4154084873967082,[1.824934  1.8062205],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
132,0.3913318354868719,[1.7763277 1.735233 ],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
138,0.40941074527085153,[1.7456021 1.7439682],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
144,0.47529232495720936,[1.951688  1.9439703],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
150,0.4010636165368233,[1.797052  1.7662028],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
156,0.4071194828388153,[1.8392016 1.8005078],[2.10410439 1.28931404],"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-10-01 00:00:00')]",EU27_2020,values
