geo,p,d,q,P,D,Q,Frequency
AT,2,2,1,NA,NA,NA,NA
BE,0,2,1,NA,NA,NA,NA
BG,2,1,2,0,0,1,12
CY,2,1,2,0,0,1,12
CZ,2,1,1,1,0,2,12
DE,0,1,6,NA,NA,NA,NA
DK,3,1,1,NA,NA,NA,NA
EE,1,2,3,NA,NA,NA,NA
EL,0,1,2,0,0,2,12
ES,1,1,1,0,0,2,12
FI,2,1,3,0,0,2,12
FR,0,2,3,0,0,2,12
HR,0,2,1,0,0,2,12
HU,3,2,2,0,0,1,12
IE,1,1,3,NA,NA,NA,NA
IT,2,1,5,0,0,2,12
LT,1,1,1,0,0,1,12
LU,0,1,3,NA,NA,NA,NA
LV,1,1,1,NA,NA,NA,NA
MT,0,1,0,NA,NA,NA,NA
NL,2,1,3,NA,NA,NA,NA
PL,1,2,2,NA,NA,NA,NA
PT,1,1,1,NA,NA,NA,NA
RO,4,2,0,0,0,2,12
SI,0,2,2,1,0,1,12
SK,0,2,1,0,0,2,12
