geo,date,yhat
AT,2023-03-01,151.5
BE,2023-03-01,193.4
BG,2023-03-01,174.9
CY,2023-03-01,145.6
CZ,2023-03-01,149.4
DE,2023-03-01,157
DK,2023-03-01,192.9
EE,2023-03-01,177.5
EL,2023-03-01,144.8
ES,2023-03-01,156.3
FI,2023-03-01,143
FR,2023-03-01,151.7
HR,2023-03-01,147.1
HU,2023-03-01,281.3
IE,2023-03-01,165.7
IT,2023-03-01,158.9
LT,2023-03-01,166.6
LU,2023-03-01,142
LV,2023-03-01,193.1
MT,2023-03-01,117.8
NL,2023-03-01,168.2
PL,2023-03-01,174.9
PT,2023-03-01,136.3
RO,2023-03-01,241.4
SI,2023-03-01,151
SK,2023-03-01,206.1
