country_code,start,end,timestamp,period,val
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T00:00:00Z,1,279
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T01:00:00Z,2,245.54
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T02:00:00Z,3,169.98
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T03:00:00Z,4,145.52
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T04:00:00Z,5,121
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T05:00:00Z,6,124.33
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T06:00:00Z,7,130.37
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T07:00:00Z,8,132.69
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T08:00:00Z,9,158.28
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T09:00:00Z,10,192.12
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T10:00:00Z,11,190.96
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T11:00:00Z,12,210.36
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T12:00:00Z,13,205.27
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T13:00:00Z,14,191.75
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T14:00:00Z,15,199.5
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T15:00:00Z,16,255.79
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T16:00:00Z,17,335.46
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T17:00:00Z,18,343.78
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T18:00:00Z,19,335.46
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T19:00:00Z,20,329
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T20:00:00Z,21,318.54
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T21:00:00Z,22,247.44
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,23,171.72
RO,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T23:00:00Z,24,111.56
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T00:00:00Z,1,111.88
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T01:00:00Z,2,80.01
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T02:00:00Z,3,71.77
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T03:00:00Z,4,36.93
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T04:00:00Z,5,41.55
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T05:00:00Z,6,102.8
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T06:00:00Z,7,155.77
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T07:00:00Z,8,229
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T08:00:00Z,9,252.34
RO,2019-01-01T23:00:00Z,2019-01-02T23:00:00Z,2019-01-02T09:00:00Z,10,252.34
