geo,sigma,ma1,sma1,ma2,drift,sar1,ar1,ar2
BE,0.2331063121444381,-0.3484814426369277,-0.44210007497200066,NA,NA,NA,NA,NA
DE,0.4655835327291794,1.0598230873065335,NA,0.5228536872956494,NA,NA,NA,NA
DK,0.13169320197129447,-0.6626323265619738,NA,NA,0.07653273932867308,NA,NA,NA
EL,0.28642871524342894,-0.3961366897559083,NA,NA,NA,-0.3839855898838153,NA,NA
FI,0.22805846023795726,-0.4840834270134474,NA,NA,NA,NA,NA,NA
FR,0.440067917261618,1.0839684823031004,NA,0.32394955662598657,NA,NA,NA,NA
LT,0.09353532790976146,0.6218733306919627,NA,NA,NA,NA,-0.3063167606057947,-0.3942673035336195
LV,0.389706696766804,NA,NA,NA,NA,-0.4621798315556921,NA,NA
MT,0.3035376729748999,NA,-0.7587131601926792,NA,NA,NA,0.7388271409321684,NA
PT,0.3925011347649294,NA,NA,NA,NA,NA,1.0288409418306694,-0.5386090835986844
RO,0.341846958096261,0.6605397073082577,-0.5946595873441455,NA,NA,NA,0.44939216122848974,NA
SK,0.31105607716659933,1.3506148757142018,NA,0.5581214106598226,NA,NA,NA,NA
