geo,sigma,ma1,sma1,ma2,drift,sar1,ar1,ar2
BE,0.23016861788442564,-0.31928171412363937,-0.4368546306798731,NA,NA,NA,NA,NA
DE,0.46739517490760524,1.0620873185279363,NA,0.5362994559088873,NA,NA,NA,NA
DK,0.13211093024699547,-0.629544037827256,NA,NA,0.07932332804562377,NA,NA,NA
EL,0.2678342799441924,-0.3307326478606496,NA,NA,NA,-0.450045969416337,NA,NA
FI,0.21685877522454486,-0.6126807539783937,NA,NA,0.06416784914676574,NA,NA,NA
FR,0.43465984208253283,1.095769368333698,NA,0.33785086840062967,NA,NA,NA,NA
LT,0.09445500780655935,0.5824124497033804,NA,NA,NA,NA,-0.26727363551625305,-0.40824035177990126
MT,0.34129300181145406,NA,-0.716759113552515,NA,NA,NA,0.7407159829394788,NA
PT,0.394537934887222,NA,NA,NA,NA,NA,1.026113452810151,-0.5396494889206407
RO,0.34402122535721286,0.6580576917106987,-0.5772148192822489,NA,NA,NA,0.4517398483582399,NA
SK,0.30410757914148634,1.4104888081088232,NA,0.6089332731297868,NA,NA,NA,NA
