geo,p,d,q,P,D,Q,Frequency
AT,0,1,0,NA,NA,NA,NA
BE,0,1,1,0,0,1,12
BG,0,1,0,NA,NA,NA,NA
CY,0,1,0,NA,NA,NA,NA
CZ,0,1,0,NA,NA,NA,NA
DE,0,0,2,NA,NA,NA,NA
DK,0,1,1,NA,NA,NA,NA
EE,0,1,0,NA,NA,NA,NA
EL,0,1,1,1,0,0,12
ES,0,1,0,NA,NA,NA,NA
FI,0,1,1,NA,NA,NA,NA
FR,0,0,2,NA,NA,NA,NA
HR,0,1,0,NA,NA,NA,NA
HU,0,1,0,NA,NA,NA,NA
IT,0,1,0,NA,NA,NA,NA
LT,2,1,1,NA,NA,NA,NA
LV,0,1,0,NA,NA,NA,NA
MT,1,0,0,0,0,1,12
PL,0,1,0,NA,NA,NA,NA
PT,2,0,0,NA,NA,NA,NA
RO,1,0,1,0,0,1,12
SE,0,1,0,NA,NA,NA,NA
SI,0,1,0,NA,NA,NA,NA
SK,0,0,2,NA,NA,NA,NA
