country_code,start,end,timestamp,period,val
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T00:00:00Z,1,9233
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T00:15:00Z,2,9133
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T00:30:00Z,3,9003
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T00:45:00Z,4,8907
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T01:00:00Z,5,8850
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T01:15:00Z,6,8765
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T01:30:00Z,7,8669
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T01:45:00Z,8,8518
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T02:00:00Z,9,8457
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T02:15:00Z,10,8378
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T02:30:00Z,11,8282
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T02:45:00Z,12,8164
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T03:00:00Z,13,8077
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T03:15:00Z,14,8006
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T03:30:00Z,15,7980
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T03:45:00Z,16,7940
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T04:00:00Z,17,7849
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T04:15:00Z,18,7809
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T04:30:00Z,19,7764
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T04:45:00Z,20,7760
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T05:00:00Z,21,7774
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T05:15:00Z,22,7764
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T05:30:00Z,23,7798
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T05:45:00Z,24,7800
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T06:00:00Z,25,7831
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T06:15:00Z,26,7830
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T06:30:00Z,27,7861
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T06:45:00Z,28,7865
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T07:00:00Z,29,7770
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T07:15:00Z,30,7734
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T07:30:00Z,31,7763
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T07:45:00Z,32,7744
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T08:00:00Z,33,7821
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T08:15:00Z,34,7923
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T08:30:00Z,35,7911
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T08:45:00Z,36,7927
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T09:00:00Z,37,7969
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T09:15:00Z,38,8090
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T09:30:00Z,39,8162
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T09:45:00Z,40,8192
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T10:00:00Z,41,8234
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T10:15:00Z,42,8325
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T10:30:00Z,43,8412
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T10:45:00Z,44,8476
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T11:00:00Z,45,8520
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T11:15:00Z,46,8653
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T11:30:00Z,47,8684
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T11:45:00Z,48,8748
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T12:00:00Z,49,8720
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T12:15:00Z,50,8744
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T12:30:00Z,51,8790
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T12:45:00Z,52,8788
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T13:00:00Z,53,8818
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T13:15:00Z,54,8793
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T13:30:00Z,55,8798
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T13:45:00Z,56,8720
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T14:00:00Z,57,8586
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T14:15:00Z,58,8528
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T14:30:00Z,59,8595
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T14:45:00Z,60,8569
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T15:00:00Z,61,8619
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T15:15:00Z,62,8640
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T15:30:00Z,63,8678
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T15:45:00Z,64,8684
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T16:00:00Z,65,8729
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T16:15:00Z,66,8777
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T16:30:00Z,67,8787
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T16:45:00Z,68,8984
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T17:00:00Z,69,9233
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T17:15:00Z,70,9358
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T17:30:00Z,71,9482
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T17:45:00Z,72,9486
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T18:00:00Z,73,9477
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T18:15:00Z,74,9492
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T18:30:00Z,75,9517
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T18:45:00Z,76,9477
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T19:00:00Z,77,9430
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T19:15:00Z,78,9361
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T19:30:00Z,79,9288
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T19:45:00Z,80,9262
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T20:00:00Z,81,9229
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T20:15:00Z,82,9202
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T20:30:00Z,83,9112
BE,2019-12-31T23:00:00Z,2020-12-31T23:00:00Z,2020-01-01T20:45:00Z,84,9021
