date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,BE,44,0,86,49,100,82,0
2004-02-01,BE,52,0,85,42,0,0,0
2004-03-01,BE,57,0,61,47,0,0,0
2004-04-01,BE,78,0,76,78,40,0,0
2004-05-01,BE,71,0,72,36,0,0,0
2004-06-01,BE,83,0,48,0,26,100,0
2004-07-01,BE,100,0,63,100,67,53,0
2004-08-01,BE,90,0,63,59,0,0,0
2004-09-01,BE,52,0,60,91,26,0,0
2004-10-01,BE,45,0,67,39,44,34,0
2004-11-01,BE,46,0,53,0,0,0,0
2004-12-01,BE,35,0,45,52,24,0,0
2005-01-01,BE,27,0,50,26,56,30,0
2005-02-01,BE,41,0,47,47,23,0,0
2005-03-01,BE,46,0,49,36,40,21,0
2005-04-01,BE,46,0,29,0,70,0,0
2005-05-01,BE,45,0,43,29,43,24,0
2005-06-01,BE,42,0,64,0,45,97,0
2005-07-01,BE,54,0,46,67,19,22,0
2005-08-01,BE,44,0,42,55,36,31,0
2005-09-01,BE,35,0,56,25,45,0,0
2005-10-01,BE,42,0,50,25,0,0,0
2005-11-01,BE,35,0,47,0,0,32,0
2005-12-01,BE,17,0,36,30,0,0,0
2006-01-01,BE,31,0,48,19,36,0,0
2006-02-01,BE,27,0,49,20,42,0,0
2006-03-01,BE,27,0,46,0,0,0,0
2006-04-01,BE,32,0,36,41,29,42,0
2006-05-01,BE,25,0,49,29,0,0,0
2006-06-01,BE,40,0,48,36,37,21,0
2006-07-01,BE,43,0,44,32,19,59,0
2006-08-01,BE,34,0,43,46,21,38,0
2006-09-01,BE,32,0,47,0,37,35,0
2006-10-01,BE,30,0,50,25,9,19,0
2006-11-01,BE,25,0,45,13,8,16,0
2006-12-01,BE,19,0,28,38,18,0,0
2007-01-01,BE,22,0,34,21,9,11,0
2007-02-01,BE,23,0,34,37,25,36,0
2007-03-01,BE,29,0,43,29,20,0,0
2007-04-01,BE,33,0,46,26,0,20,0
2007-05-01,BE,27,0,33,23,18,24,0
2007-06-01,BE,29,0,39,28,17,0,0
2007-07-01,BE,41,0,44,24,26,29,0
2007-08-01,BE,36,0,39,40,35,27,0
2007-09-01,BE,27,0,35,28,26,0,0
2007-10-01,BE,27,0,38,18,23,0,0
2007-11-01,BE,21,0,30,13,21,0,0
2007-12-01,BE,24,0,34,22,46,21,0
2008-01-01,BE,23,0,41,13,14,10,0
2008-02-01,BE,24,0,35,17,18,18,0
2008-03-01,BE,24,0,36,23,22,20,0
2008-04-01,BE,25,0,37,42,29,11,0
2008-05-01,BE,33,0,38,33,28,23,0
2008-06-01,BE,26,0,37,26,21,26,0
2008-07-01,BE,39,0,35,27,38,34,0
2008-08-01,BE,29,0,33,28,14,27,0
2008-09-01,BE,26,0,32,14,19,11,0
2008-10-01,BE,27,0,32,14,24,0,0
2008-11-01,BE,20,0,26,13,14,12,0
