date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,CY,67,74,59,0,52,0,0
2004-02-01,CY,62,70,43,0,73,29,0
2004-03-01,CY,90,70,43,0,55,0,0
2004-04-01,CY,61,75,40,0,28,0,0
2004-05-01,CY,10,76,62,0,0,18,0
2004-06-01,CY,11,85,65,0,58,37,31
2004-07-01,CY,16,100,100,0,72,100,91
2004-08-01,CY,14,92,57,0,76,13,24
2004-09-01,CY,10,74,36,0,77,0,0
2004-10-01,CY,13,61,39,0,59,0,29
2004-11-01,CY,7,50,37,0,0,0,28
2004-12-01,CY,8,38,32,0,30,12,27
2005-01-01,CY,9,77,38,0,71,14,51
2005-02-01,CY,8,78,47,0,44,18,0
2005-03-01,CY,6,70,36,0,100,24,17
2005-04-01,CY,12,73,53,0,62,0,27
2005-05-01,CY,14,75,60,0,42,0,20
2005-06-01,CY,12,74,66,0,75,27,52
2005-07-01,CY,16,84,53,0,57,36,36
2005-08-01,CY,12,79,59,0,58,17,0
2005-09-01,CY,13,67,52,0,28,17,100
2005-10-01,CY,13,54,30,0,35,0,22
2005-11-01,CY,13,43,28,0,31,0,0
2005-12-01,CY,11,34,18,0,13,0,0
2006-01-01,CY,15,70,45,0,61,0,0
2006-02-01,CY,39,58,35,0,0,0,25
2006-03-01,CY,42,61,46,0,27,7,49
2006-04-01,CY,65,64,49,0,42,6,49
2006-05-01,CY,70,65,46,0,38,0,23
2006-06-01,CY,68,70,55,0,52,26,19
2006-07-01,CY,78,85,64,0,43,7,32
2006-08-01,CY,79,73,52,0,37,16,22
2006-09-01,CY,63,66,42,0,21,9,25
2006-10-01,CY,61,53,26,0,46,0,21
2006-11-01,CY,58,38,19,0,30,7,0
2006-12-01,CY,60,33,22,0,9,5,25
2007-01-01,CY,64,68,38,0,49,0,8
2007-02-01,CY,68,61,35,0,27,9,15
2007-03-01,CY,68,65,37,0,39,13,21
2007-04-01,CY,82,60,40,0,25,11,17
2007-05-01,CY,61,63,46,0,55,16,9
2007-06-01,CY,98,71,44,0,56,18,42
2007-07-01,CY,100,86,62,0,68,20,36
2007-08-01,CY,87,76,54,0,42,25,21
2007-09-01,CY,81,65,42,0,38,10,0
2007-10-01,CY,63,49,31,0,21,0,22
2007-11-01,CY,56,37,22,0,42,7,10
2007-12-01,CY,49,34,18,0,30,0,11
2008-01-01,CY,54,68,41,0,43,11,25
2008-02-01,CY,55,56,35,0,59,0,21
2008-03-01,CY,67,59,36,0,36,0,0
2008-04-01,CY,69,60,35,0,36,9,15
2008-05-01,CY,79,66,39,0,34,10,12
2008-06-01,CY,85,70,44,0,57,6,11
2008-07-01,CY,97,69,49,0,44,17,46
2008-08-01,CY,87,67,42,0,42,0,11
2008-09-01,CY,76,60,32,0,48,0,22
2008-10-01,CY,75,45,27,0,35,0,20
2008-11-01,CY,66,34,20,0,27,4,16
2008-12-01,CY,63,34,16,0,25,3,11
2009-01-01,CY,69,56,34,0,46,0,13
2009-02-01,CY,65,52,32,0,31,8,19
2009-03-01,CY,70,52,28,0,42,3,15
2009-04-01,CY,77,52,27,0,21,16,10
2009-05-01,CY,77,56,31,0,42,3,15
2009-06-01,CY,96,60,30,0,37,13,22
2009-07-01,CY,88,64,37,0,46,14,22
2009-08-01,CY,79,60,38,0,44,14,23
2009-09-01,CY,76,50,27,0,44,4,21
2009-10-01,CY,69,42,24,0,27,2,15
2009-11-01,CY,62,34,17,0,23,0,20
2009-12-01,CY,51,28,14,0,30,2,10
2010-01-01,CY,73,49,27,0,31,0,12
2010-02-01,CY,71,48,23,0,40,4,8
2010-03-01,CY,60,42,26,0,41,3,15
2010-04-01,CY,83,48,26,0,46,9,16
2010-05-01,CY,73,47,26,0,53,7,17
2010-06-01,CY,84,54,34,0,30,7,19
2010-07-01,CY,85,52,36,100,41,10,29
2010-08-01,CY,85,48,35,87,35,11,19
2010-09-01,CY,70,44,22,75,31,5,13
2010-10-01,CY,62,36,18,47,19,3,25
2010-11-01,CY,54,27,14,30,15,0,7
2010-12-01,CY,52,26,16,18,25,11,9
2011-01-01,CY,50,39,26,45,29,6,22
2011-02-01,CY,48,36,22,41,28,4,14
2011-03-01,CY,43,37,22,53,28,8,9
2011-04-01,CY,46,33,18,52,33,8,14
2011-05-01,CY,50,38,26,50,27,8,12
2011-06-01,CY,60,42,26,66,29,9,19
2011-07-01,CY,56,42,29,77,35,12,17
2011-08-01,CY,60,40,28,66,28,8,15
2011-09-01,CY,43,36,22,50,27,9,15
2011-10-01,CY,44,28,16,36,19,1,13
2011-11-01,CY,38,20,12,26,25,2,8
2011-12-01,CY,34,19,13,26,12,2,9
2012-01-01,CY,47,32,20,35,29,3,18
