date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,HR,40,44,16,37,41,63,0
2004-02-01,HR,37,49,70,0,50,0,100
2004-03-01,HR,37,43,39,0,60,44,53
2004-04-01,HR,54,62,45,93,58,28,49
2004-05-01,HR,72,69,50,0,80,51,38
2004-06-01,HR,100,90,75,62,89,71,78
2004-07-01,HR,94,100,100,31,100,100,32
2004-08-01,HR,79,73,54,56,61,50,51
2004-09-01,HR,43,44,16,26,38,0,53
2004-10-01,HR,47,31,16,0,18,0,61
2004-11-01,HR,43,31,13,0,21,0,58
2004-12-01,HR,35,25,26,24,27,0,0
2005-01-01,HR,53,47,30,56,44,22,44
2005-02-01,HR,50,51,31,32,45,43,43
2005-03-01,HR,52,51,45,35,59,65,36
2005-04-01,HR,56,61,54,100,58,39,60
2005-05-01,HR,52,72,47,41,68,29,54
2005-06-01,HR,71,83,72,57,97,67,43
2005-07-01,HR,61,87,70,87,75,97,53
2005-08-01,HR,64,70,52,51,92,47,59
2005-09-01,HR,57,39,25,22,17,12,52
2005-10-01,HR,36,30,36,0,25,0,22
2005-11-01,HR,27,24,19,23,16,9,15
2005-12-01,HR,32,27,12,0,15,12,50
2006-01-01,HR,55,46,48,14,41,12,33
2006-02-01,HR,29,45,24,56,68,0,32
2006-03-01,HR,42,47,44,67,59,8,32
2006-04-01,HR,43,59,46,57,75,22,35
2006-05-01,HR,51,66,69,68,67,30,41
2006-06-01,HR,60,77,65,59,73,43,39
2006-07-01,HR,58,81,61,93,67,59,57
2006-08-01,HR,69,60,41,52,38,27,50
2006-09-01,HR,38,34,32,36,27,9,15
2006-10-01,HR,30,27,11,11,25,13,29
2006-11-01,HR,36,25,27,0,13,14,24
2006-12-01,HR,22,23,6,18,16,0,18
2007-01-01,HR,31,37,31,49,40,19,12
2007-02-01,HR,37,40,49,25,33,27,31
2007-03-01,HR,35,43,32,29,38,11,30
2007-04-01,HR,31,52,43,39,45,23,24
2007-05-01,HR,37,57,45,62,51,25,35
2007-06-01,HR,38,63,53,48,61,31,39
2007-07-01,HR,47,77,69,72,57,66,37
2007-08-01,HR,47,56,45,72,39,39,38
2007-09-01,HR,44,36,23,41,29,0,43
2007-10-01,HR,36,26,13,15,12,9,24
2007-11-01,HR,28,22,17,15,16,8,26
2007-12-01,HR,20,22,13,15,17,4,19
2008-01-01,HR,29,40,26,26,39,12,22
2008-02-01,HR,26,38,26,18,27,13,33
2008-03-01,HR,32,42,29,28,33,13,28
2008-04-01,HR,33,50,31,45,44,19,33
2008-05-01,HR,30,55,30,48,45,22,50
2008-06-01,HR,36,63,54,51,52,31,43
2008-07-01,HR,38,62,51,58,51,31,36
2008-08-01,HR,34,45,35,40,38,19,28
2008-09-01,HR,25,31,24,21,19,12,34
2008-10-01,HR,27,23,16,11,11,10,27
2008-11-01,HR,23,19,17,0,12,0,19
2008-12-01,HR,18,18,7,9,12,0,19
2009-01-01,HR,25,33,23,14,33,6,21
2009-02-01,HR,21,32,21,26,32,13,32
2009-03-01,HR,21,37,30,24,32,7,34
