date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,LV,0,47,47,0,100,0,0
2004-02-01,LV,0,32,0,0,0,0,0
2004-03-01,LV,0,42,0,100,83,0,0
2004-04-01,LV,77,59,0,0,0,0,0
2004-05-01,LV,0,72,0,0,0,0,62
2004-06-01,LV,0,62,0,97,0,0,0
2004-07-01,LV,26,100,100,79,0,0,0
2004-08-01,LV,100,47,0,0,0,0,68
2004-09-01,LV,41,77,27,0,0,0,0
2004-10-01,LV,0,46,0,0,0,0,0
2004-11-01,LV,0,58,0,0,0,0,0
2004-12-01,LV,0,24,0,0,0,0,0
2005-01-01,LV,49,62,23,0,45,94,66
2005-02-01,LV,27,58,22,0,0,0,0
2005-03-01,LV,0,39,30,57,0,47,0
2005-04-01,LV,50,68,0,0,0,0,62
2005-05-01,LV,17,67,18,0,0,54,0
2005-06-01,LV,32,64,0,0,0,0,0
2005-07-01,LV,0,84,0,76,0,0,0
2005-08-01,LV,32,42,31,0,0,0,0
2005-09-01,LV,0,35,22,0,0,0,0
2005-10-01,LV,43,59,0,0,0,0,0
2005-11-01,LV,0,43,60,0,59,0,0
2005-12-01,LV,0,38,0,0,0,0,0
2006-01-01,LV,8,44,31,0,0,0,0
2006-02-01,LV,17,63,18,67,0,0,100
2006-03-01,LV,18,43,10,0,29,0,84
2006-04-01,LV,7,37,21,0,0,0,0
2006-05-01,LV,14,53,33,26,0,100,0
2006-06-01,LV,19,64,39,0,0,0,54
2006-07-01,LV,25,63,25,57,0,0,0
2006-08-01,LV,0,55,31,0,0,37,0
2006-09-01,LV,11,29,23,33,0,0,0
2006-10-01,LV,12,35,0,0,0,0,0
2006-11-01,LV,0,44,0,0,0,33,24
2006-12-01,LV,7,27,0,0,25,0,0
2007-01-01,LV,18,41,0,41,0,0,0
2007-02-01,LV,8,38,13,48,18,0,0
2007-03-01,LV,14,36,10,0,22,0,0
2007-04-01,LV,12,33,24,0,0,0,17
2007-05-01,LV,23,48,21,21,0,0,0
2007-06-01,LV,17,47,17,0,0,0,0
2007-07-01,LV,18,42,19,0,24,31,0
2007-08-01,LV,10,42,14,0,0,0,22
2007-09-01,LV,26,43,6,0,18,0,0
2007-10-01,LV,9,31,17,0,0,0,0
2007-11-01,LV,30,37,5,0,0,32,0
2007-12-01,LV,9,29,13,0,0,30,0
2008-01-01,LV,15,51,7,11,0,16,0
2008-02-01,LV,10,36,22,0,0,0,0
2008-03-01,LV,10,34,14,22,20,0,17
2008-04-01,LV,9,40,22,23,0,0,0
2008-05-01,LV,9,33,10,0,0,19,12
2008-06-01,LV,9,35,19,0,0,0,15
2008-07-01,LV,14,35,10,10,0,21,0
2008-08-01,LV,14,31,6,16,0,0,0
2008-09-01,LV,15,25,8,14,0,0,15
2008-10-01,LV,11,23,6,0,0,0,19
2008-11-01,LV,4,21,15,14,10,0,0
2008-12-01,LV,15,23,12,0,0,0,0
2009-01-01,LV,6,28,15,10,0,0,0
2009-02-01,LV,10,29,5,13,0,12,10
2009-03-01,LV,8,26,7,23,0,0,0
2009-04-01,LV,15,30,12,0,7,0,0
2009-05-01,LV,11,28,10,8,0,11,0
2009-06-01,LV,9,37,6,23,10,0,0
2009-07-01,LV,10,32,8,14,0,0,7
2009-08-01,LV,10,28,8,12,0,0,0
2009-09-01,LV,8,26,12,14,0,21,23
2009-10-01,LV,15,25,4,20,0,0,20
2009-11-01,LV,10,29,10,0,0,15,6
2009-12-01,LV,8,18,0,0,12,9,0
2010-01-01,LV,10,25,6,11,14,0,16
2010-02-01,LV,8,25,6,0,0,0,0
2010-03-01,LV,3,19,7,7,0,0,0
2010-04-01,LV,11,28,14,12,0,0,0
2010-05-01,LV,11,32,8,0,0,0,0
2010-06-01,LV,10,25,8,8,0,16,0
2010-07-01,LV,11,24,12,0,0,12,9
2010-08-01,LV,6,28,6,5,0,17,0
2010-09-01,LV,7,18,6,0,0,0,0
2010-10-01,LV,0,19,4,0,0,0,0
2010-11-01,LV,6,18,3,0,5,8,0
2010-12-01,LV,3,21,5,0,13,0,0
2011-01-01,LV,6,19,7,0,0,0,0
2011-02-01,LV,7,21,3,0,0,14,0
2011-03-01,LV,4,19,5,0,6,6,10
2011-04-01,LV,6,22,6,7,0,9,0
2011-05-01,LV,5,28,9,0,0,0,7
2011-06-01,LV,7,25,5,0,4,18,0
2011-07-01,LV,7,26,9,9,7,13,5
2011-08-01,LV,6,20,5,0,6,10,4
2011-09-01,LV,7,20,7,0,0,0,0
2011-10-01,LV,6,17,4,5,6,0,15
2011-11-01,LV,6,19,0,0,4,0,0
2011-12-01,LV,7,12,4,0,0,0,0
2012-01-01,LV,8,17,5,8,0,0,15
2012-02-01,LV,6,21,9,7,4,0,0
2012-03-01,LV,3,19,5,5,4,5,0
2012-04-01,LV,11,23,7,5,0,0,0
2012-05-01,LV,10,24,7,7,0,0,4
2012-06-01,LV,7,24,6,3,0,0,10
2012-07-01,LV,11,26,2,9,9,7,7
2012-08-01,LV,9,26,8,8,0,5,8
2012-09-01,LV,6,19,2,6,0,7,0
2012-10-01,LV,4,15,6,0,3,0,5
2012-11-01,LV,6,14,7,7,5,6,3
2012-12-01,LV,6,17,7,4,3,0,0
2013-01-01,LV,8,19,9,7,5,0,3
2013-02-01,LV,4,19,5,11,7,6,4
2013-03-01,LV,6,18,8,6,0,5,0
2013-04-01,LV,9,19,8,8,6,4,0
2013-05-01,LV,9,22,8,3,5,0,4
2013-06-01,LV,8,24,6,7,4,0,0
2013-07-01,LV,8,22,4,12,5,4,0
2013-08-01,LV,8,20,6,7,4,4,7
2013-09-01,LV,6,18,7,9,6,10,0
2013-10-01,LV,5,17,5,5,0,4,3
2013-11-01,LV,5,19,8,5,3,0,0
2013-12-01,LV,4,15,3,4,4,0,0
2014-01-01,LV,5,23,5,0,6,6,5
2014-02-01,LV,5,25,5,3,0,0,3
2014-03-01,LV,7,22,5,9,4,8,8
2014-04-01,LV,9,18,6,5,3,18,7
2014-05-01,LV,9,21,9,9,0,9,2
2014-06-01,LV,8,25,7,6,9,10,6
2014-07-01,LV,8,24,9,5,3,0,4
2014-08-01,LV,9,19,6,4,0,15,15
2014-09-01,LV,10,21,5,5,3,0,5
2014-10-01,LV,9,18,4,5,4,0,6
2014-11-01,LV,4,17,6,5,0,0,4
2014-12-01,LV,6,14,5,6,0,0,3
2015-01-01,LV,7,18,5,3,3,0,0
2015-02-01,LV,5,18,6,11,9,0,5
2015-03-01,LV,5,18,6,4,4,0,4
2015-04-01,LV,9,21,4,6,3,10,5
2015-05-01,LV,5,27,3,8,0,8,5
2015-06-01,LV,8,24,6,3,11,7,0
2015-07-01,LV,10,25,7,7,5,10,0
2015-08-01,LV,7,23,7,5,0,5,0
2015-09-01,LV,10,22,6,7,3,7,3
2015-10-01,LV,6,18,3,3,2,0,0
2015-11-01,LV,9,19,8,7,0,0,5
2015-12-01,LV,5,17,5,4,4,0,6
2016-01-01,LV,7,19,3,8,2,0,4
2016-02-01,LV,5,19,5,5,4,0,2
2016-03-01,LV,4,17,4,0,0,6,0
2016-04-01,LV,6,19,7,3,3,0,0
2016-05-01,LV,7,23,5,8,0,3,0
2016-06-01,LV,9,24,5,6,0,0,5
2016-07-01,LV,7,23,7,0,0,13,7
2016-08-01,LV,8,22,10,6,3,7,0
2016-09-01,LV,7,19,1,5,0,7,4
2016-10-01,LV,5,20,6,8,4,0,5
2016-11-01,LV,4,19,7,4,0,0,10
2016-12-01,LV,6,16,5,8,0,0,3
2017-01-01,LV,3,19,4,0,3,0,4
2017-02-01,LV,7,22,6,6,0,0,7
2017-03-01,LV,5,22,8,7,0,11,7
2017-04-01,LV,8,22,7,8,0,0,3
2017-05-01,LV,8,22,4,11,0,0,0
2017-06-01,LV,7,29,7,8,5,5,3
2017-07-01,LV,11,23,7,10,0,15,6
2017-08-01,LV,7,22,7,9,3,5,6
2017-09-01,LV,8,25,7,4,3,7,2
2017-10-01,LV,7,21,4,8,0,3,0
2017-11-01,LV,7,20,7,8,2,5,0
2017-12-01,LV,4,17,7,0,0,5,3
2018-01-01,LV,7,22,4,8,0,0,5
2018-02-01,LV,6,25,7,5,2,3,6
2018-03-01,LV,6,26,2,4,0,9,2
2018-04-01,LV,7,22,6,8,2,5,4
2018-05-01,LV,8,23,4,6,4,3,3
2018-06-01,LV,8,25,3,7,3,9,8
2018-07-01,LV,10,28,8,7,0,13,6
2018-08-01,LV,9,25,4,0,0,7,10
2018-09-01,LV,9,26,4,2,4,0,3
2018-10-01,LV,9,22,6,5,4,0,9
2018-11-01,LV,9,26,4,7,2,0,0
2018-12-01,LV,6,16,6,5,2,0,4
2019-01-01,LV,7,21,4,4,2,3,5
2019-02-01,LV,6,21,5,9,0,3,0
2019-03-01,LV,7,23,6,11,8,5,5
2019-04-01,LV,6,21,5,7,0,5,9
2019-05-01,LV,8,25,5,14,7,6,0
2019-06-01,LV,7,28,7,8,6,12,5
2019-07-01,LV,7,25,7,9,3,14,4
2019-08-01,LV,9,28,11,8,5,18,0
2019-09-01,LV,8,24,7,14,0,7,5
2019-10-01,LV,8,24,4,22,2,2,4
2019-11-01,LV,6,23,8,17,0,7,4
2019-12-01,LV,8,20,4,15,6,8,6
2020-01-01,LV,6,21,8,10,4,0,3
2020-02-01,LV,7,22,9,3,4,0,4
2020-03-01,LV,5,19,8,6,0,0,4
2020-04-01,LV,4,13,2,0,2,3,9
2020-05-01,LV,6,17,5,2,2,8,0
