date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,PT,44,58,32,34,0,48,74
2004-02-01,PT,40,56,39,49,0,21,25
2004-03-01,PT,53,68,66,62,0,46,72
2004-04-01,PT,39,67,57,82,0,34,63
2004-05-01,PT,61,76,67,81,0,41,70
2004-06-01,PT,61,100,97,100,0,67,97
2004-07-01,PT,80,95,100,76,0,100,100
2004-08-01,PT,88,79,81,64,0,43,77
2004-09-01,PT,50,49,40,46,0,9,33
2004-10-01,PT,50,43,48,35,0,11,17
2004-11-01,PT,42,44,41,26,0,11,30
2004-12-01,PT,38,38,31,22,0,16,42
2005-01-01,PT,37,56,47,50,0,26,25
2005-02-01,PT,53,60,49,61,0,15,24
2005-03-01,PT,53,62,56,61,0,24,69
2005-04-01,PT,50,64,58,68,0,34,34
2005-05-01,PT,46,70,58,60,0,32,59
2005-06-01,PT,59,74,63,94,0,53,41
2005-07-01,PT,57,82,80,83,0,77,68
2005-08-01,PT,68,70,71,68,0,44,35
2005-09-01,PT,39,46,41,49,0,14,20
2005-10-01,PT,45,42,37,28,0,10,0
2005-11-01,PT,39,38,35,25,0,5,29
2005-12-01,PT,30,32,28,19,0,7,15
2006-01-01,PT,38,54,39,47,0,19,34
2006-02-01,PT,34,52,47,50,0,14,38
2006-03-01,PT,39,56,47,46,0,19,25
2006-04-01,PT,46,61,55,54,0,29,44
2006-05-01,PT,44,62,54,59,0,35,29
2006-06-01,PT,44,68,64,60,0,39,48
2006-07-01,PT,50,82,73,74,0,71,47
2006-08-01,PT,63,68,63,52,0,35,26
2006-09-01,PT,35,48,40,34,0,10,22
2006-10-01,PT,33,42,37,30,0,12,17
2006-11-01,PT,30,35,32,21,0,12,22
2006-12-01,PT,33,33,31,26,0,8,12
2007-01-01,PT,45,56,36,44,0,16,25
2007-02-01,PT,45,55,44,39,0,16,25
2007-03-01,PT,43,58,49,48,0,23,17
2007-04-01,PT,41,57,44,51,0,20,35
2007-05-01,PT,34,55,48,48,0,19,31
2007-06-01,PT,43,57,50,62,0,28,39
2007-07-01,PT,57,68,72,71,0,49,33
2007-08-01,PT,52,59,59,52,0,40,31
2007-09-01,PT,31,46,43,33,0,12,17
2007-10-01,PT,32,40,32,23,0,5,27
2007-11-01,PT,26,32,26,20,0,7,17
2007-12-01,PT,25,30,23,17,0,8,17
2008-01-01,PT,27,48,39,31,0,15,22
2008-02-01,PT,29,45,44,31,0,14,31
2008-03-01,PT,28,47,43,42,0,16,25
2008-04-01,PT,31,48,45,37,0,19,36
2008-05-01,PT,29,52,40,54,0,19,23
2008-06-01,PT,31,53,44,51,0,33,41
2008-07-01,PT,42,58,58,56,0,41,34
2008-08-01,PT,46,54,48,45,0,32,28
2008-09-01,PT,29,35,35,29,0,13,18
2008-10-01,PT,25,30,24,18,0,6,15
2008-11-01,PT,25,28,21,13,0,6,13
2008-12-01,PT,24,26,20,14,0,7,9
2009-01-01,PT,30,42,28,24,0,12,14
2009-02-01,PT,34,38,31,27,0,11,9
2009-03-01,PT,40,45,37,39,0,17,25
2009-04-01,PT,41,47,36,44,0,21,25
2009-05-01,PT,46,50,35,47,0,18,22
2009-06-01,PT,49,61,46,59,0,30,34
2009-07-01,PT,52,73,54,79,0,35,32
2009-08-01,PT,68,66,51,53,0,30,35
2009-09-01,PT,46,44,34,36,0,10,15
2009-10-01,PT,41,37,27,23,0,8,15
2009-11-01,PT,43,36,25,24,0,6,13
2009-12-01,PT,41,34,23,16,0,8,14
2010-01-01,PT,51,55,32,34,0,13,19
2010-02-01,PT,49,57,32,35,0,14,26
2010-03-01,PT,54,53,39,41,0,15,23
2010-04-01,PT,58,59,35,40,0,18,25
2010-05-01,PT,57,58,36,43,0,18,25
2010-06-01,PT,60,61,39,51,0,27,29
2010-07-01,PT,66,0,49,59,70,40,32
2010-08-01,PT,66,0,42,47,63,29,27
2010-09-01,PT,49,0,29,29,46,9,19
2010-10-01,PT,36,0,22,19,37,8,17
2010-11-01,PT,33,0,17,14,24,6,14
2010-12-01,PT,31,0,15,15,28,5,11
2011-01-01,PT,37,0,26,24,52,13,23
2011-02-01,PT,36,0,23,24,54,12,19
2011-03-01,PT,34,0,26,31,47,11,19
2011-04-01,PT,37,0,27,30,49,15,18
2011-05-01,PT,37,0,29,36,51,13,19
2011-06-01,PT,46,0,32,40,55,20,27
2011-07-01,PT,54,0,42,41,61,30,28
2011-08-01,PT,61,0,36,29,60,24,27
2011-09-01,PT,37,0,21,23,30,8,18
2011-10-01,PT,32,0,17,16,40,6,18
2011-11-01,PT,26,0,13,13,29,6,12
2011-12-01,PT,21,0,15,11,29,5,11
2012-01-01,PT,28,0,22,21,50,8,20
2012-02-01,PT,28,0,20,20,48,10,17
2012-03-01,PT,27,0,21,24,44,10,19
2012-04-01,PT,28,0,22,23,50,9,19
2012-05-01,PT,34,0,25,30,44,11,23
2012-06-01,PT,38,0,30,31,56,33,28
2012-07-01,PT,51,0,35,38,53,25,29
2012-08-01,PT,53,0,30,30,51,17,24
2012-09-01,PT,36,0,20,20,35,6,17
2012-10-01,PT,30,0,17,13,30,6,15
2012-11-01,PT,27,0,13,10,30,4,9
2012-12-01,PT,23,0,12,10,23,5,10
2013-01-01,PT,25,0,20,22,41,10,19
