time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,CZ,0,0,0,0,0,0,0
2004-02-01,CZ,0,0,0,0,0,0,0
2004-03-01,CZ,0,0,0,0,99,0,0
2004-04-01,CZ,35,50,0,0,100,0,0
2004-05-01,CZ,42,0,0,0,0,0,0
2004-06-01,CZ,100,0,0,0,0,0,0
2004-07-01,CZ,0,0,0,0,0,100,87
2004-08-01,CZ,46,0,0,0,0,0,0
2004-09-01,CZ,25,0,0,53,0,0,0
2004-10-01,CZ,49,0,0,0,0,0,0
2004-11-01,CZ,0,70,0,0,0,0,0
2004-12-01,CZ,0,0,0,0,0,0,0
2005-01-01,CZ,0,34,0,0,0,31,0
2005-02-01,CZ,0,32,29,0,0,0,0
2005-03-01,CZ,0,0,28,0,0,0,48
2005-04-01,CZ,0,100,0,0,0,60,0
2005-05-01,CZ,19,0,51,0,0,0,0
2005-06-01,CZ,0,0,0,100,62,0,0
2005-07-01,CZ,0,0,0,0,0,0,0
2005-08-01,CZ,22,0,0,0,0,0,0
2005-09-01,CZ,0,20,0,0,0,0,0
2005-10-01,CZ,0,0,0,0,0,0,43
2005-11-01,CZ,15,0,0,0,0,0,40
2005-12-01,CZ,20,0,0,0,0,25,100
2006-01-01,CZ,0,0,0,0,0,0,0
2006-02-01,CZ,0,0,0,0,0,0,0
2006-03-01,CZ,16,0,100,0,0,13,33
2006-04-01,CZ,29,0,0,0,0,0,0
2006-05-01,CZ,0,0,34,0,44,0,0
2006-06-01,CZ,27,0,0,30,0,17,47
2006-07-01,CZ,12,0,0,0,0,0,0
2006-08-01,CZ,26,0,0,0,0,0,46
2006-09-01,CZ,27,13,0,0,0,32,0
2006-10-01,CZ,0,0,0,0,71,0,55
2006-11-01,CZ,11,0,0,23,32,0,0
2006-12-01,CZ,10,0,23,0,36,0,0
2007-01-01,CZ,0,0,0,0,0,0,0
2007-02-01,CZ,9,0,0,0,0,0,0
2007-03-01,CZ,0,0,0,0,23,14,28
2007-04-01,CZ,0,0,0,0,0,0,0
2007-05-01,CZ,7,0,0,0,0,0,0
2007-06-01,CZ,23,11,0,0,0,0,0
2007-07-01,CZ,13,12,0,45,0,0,0
2007-08-01,CZ,12,0,0,0,0,0,0
2007-09-01,CZ,0,0,0,0,0,0,0
2007-10-01,CZ,0,0,0,0,0,0,0
2007-11-01,CZ,8,0,9,0,0,0,0
2007-12-01,CZ,8,0,0,0,0,17,0
2008-01-01,CZ,6,0,0,13,0,0,0
2008-02-01,CZ,6,0,0,0,0,0,0
2008-03-01,CZ,7,0,8,0,0,0,0
2008-04-01,CZ,0,0,0,21,0,0,0
2008-05-01,CZ,23,0,0,0,0,0,0
2008-06-01,CZ,10,0,0,0,0,0,0
2008-07-01,CZ,11,0,8,0,0,0,25
2008-08-01,CZ,6,12,0,0,0,0,0
2008-09-01,CZ,7,0,0,0,0,0,0
2008-10-01,CZ,0,7,0,0,0,0,16
2008-11-01,CZ,5,16,0,0,23,0,0
2008-12-01,CZ,7,0,9,0,15,0,32
2009-01-01,CZ,7,0,0,20,0,0,27
2009-02-01,CZ,0,0,0,12,0,0,0
2009-03-01,CZ,8,0,0,0,18,0,21
2009-04-01,CZ,7,12,13,0,0,0,16
2009-05-01,CZ,4,0,0,0,0,0,0
2009-06-01,CZ,12,0,0,0,0,0,0
2009-07-01,CZ,9,0,0,0,18,0,0
2009-08-01,CZ,19,7,11,0,0,0,0
2009-09-01,CZ,15,0,0,0,0,0,0
2009-10-01,CZ,7,0,23,0,0,0,27
2009-11-01,CZ,0,11,16,0,18,0,0
2009-12-01,CZ,8,0,0,0,0,0,0
2010-01-01,CZ,2,18,0,0,31,0,20
2010-02-01,CZ,9,0,0,0,0,0,0
2010-03-01,CZ,6,0,7,0,0,0,0
2010-04-01,CZ,9,0,0,0,0,0,0
2010-05-01,CZ,17,13,13,0,0,0,0
2010-06-01,CZ,15,0,0,14,0,6,0
2010-07-01,CZ,6,0,8,0,0,6,0
2010-08-01,CZ,7,0,8,0,50,0,0
2010-09-01,CZ,7,0,0,0,27,0,11
2010-10-01,CZ,7,6,0,0,0,0,30
2010-11-01,CZ,9,0,10,0,0,0,0
2010-12-01,CZ,8,0,0,18,0,0,78
2011-01-01,CZ,7,13,0,0,0,0,9
2011-02-01,CZ,4,0,4,28,0,0,0
2011-03-01,CZ,5,0,4,0,0,0,0
2011-04-01,CZ,12,0,0,0,0,0,0
2011-05-01,CZ,6,0,0,0,0,0,0
2011-06-01,CZ,11,4,0,10,0,4,0
2011-07-01,CZ,15,0,9,0,0,0,15
2011-08-01,CZ,14,0,4,0,0,3,0
2011-09-01,CZ,10,4,0,0,0,0,0
2011-10-01,CZ,5,0,0,0,0,0,12
2011-11-01,CZ,5,0,0,0,0,4,0
2011-12-01,CZ,5,5,0,8,0,0,7
2012-01-01,CZ,8,3,0,5,9,0,0
2012-02-01,CZ,5,0,8,0,0,0,0
2012-03-01,CZ,8,0,0,0,0,0,0
2012-04-01,CZ,6,0,5,0,0,0,0
2012-05-01,CZ,9,6,0,0,0,0,0
2012-06-01,CZ,8,0,0,8,0,0,0
2012-07-01,CZ,7,0,3,6,0,0,0
2012-08-01,CZ,10,0,0,0,0,2,14
2012-09-01,CZ,9,7,5,0,0,0,15
2012-10-01,CZ,6,0,0,0,0,0,0
2012-11-01,CZ,4,6,0,13,0,0,0
2012-12-01,CZ,6,7,0,0,0,0,0
2013-01-01,CZ,6,3,3,10,0,0,0
2013-02-01,CZ,6,0,0,0,28,5,0
2013-03-01,CZ,4,4,0,0,0,0,0
2013-04-01,CZ,10,0,0,0,0,0,5
2013-05-01,CZ,6,0,0,0,9,0,0
2013-06-01,CZ,9,0,0,6,0,0,0
2013-07-01,CZ,12,4,3,6,0,0,0
2013-08-01,CZ,12,7,0,0,9,0,0
2013-09-01,CZ,8,0,0,0,7,6,0
2013-10-01,CZ,10,0,0,0,0,0,0
2013-11-01,CZ,4,0,0,0,0,0,0
2013-12-01,CZ,6,0,4,0,0,4,0
2014-01-01,CZ,8,0,0,0,0,0,0
2014-02-01,CZ,5,0,0,8,0,0,0
2014-03-01,CZ,7,0,0,0,0,0,9
2014-04-01,CZ,10,3,0,0,0,3,0
2014-05-01,CZ,9,3,3,0,0,0,0
2014-06-01,CZ,5,0,0,6,0,0,0
2014-07-01,CZ,12,0,0,0,0,3,0
2014-08-01,CZ,13,0,0,0,0,0,0
2014-09-01,CZ,8,0,0,7,0,7,0
2014-10-01,CZ,10,0,0,0,0,0,0
2014-11-01,CZ,7,0,0,4,0,0,0
2014-12-01,CZ,6,0,0,0,0,0,0
2015-01-01,CZ,5,5,0,0,0,0,0
2015-02-01,CZ,10,0,0,7,0,8,0
2015-03-01,CZ,8,0,0,0,5,2,6
2015-04-01,CZ,5,4,4,8,0,0,7
2015-05-01,CZ,7,0,0,4,0,0,8
2015-06-01,CZ,9,4,0,0,0,0,0
2015-07-01,CZ,15,0,6,9,0,0,0
2015-08-01,CZ,10,0,7,0,0,3,0
2015-09-01,CZ,7,0,0,0,0,0,0
2015-10-01,CZ,8,0,0,0,8,0,0
2015-11-01,CZ,7,4,0,0,6,0,0
2015-12-01,CZ,8,7,0,5,0,4,0
2016-01-01,CZ,6,0,0,0,0,0,0
2016-02-01,CZ,6,0,0,0,13,0,0
2016-03-01,CZ,9,0,7,0,0,0,0
2016-04-01,CZ,7,4,12,0,0,0,0
2016-05-01,CZ,8,5,0,0,0,0,0
2016-06-01,CZ,11,5,0,0,0,0,4
2016-07-01,CZ,11,3,0,0,6,0,0
2016-08-01,CZ,10,0,0,14,13,0,9
2016-09-01,CZ,13,0,0,0,0,0,0
2016-10-01,CZ,6,0,0,6,0,3,0
2016-11-01,CZ,5,0,0,0,0,0,0
2016-12-01,CZ,5,0,6,0,0,0,0
2017-01-01,CZ,6,2,0,0,0,0,0
2017-02-01,CZ,6,0,0,0,0,7,5
2017-03-01,CZ,5,4,0,0,0,0,6
