time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,ES,58,37,65,52,100,0,0
2004-02-01,ES,68,80,0,0,0,0,0
2004-03-01,ES,55,80,0,0,0,100,0
2004-04-01,ES,65,100,0,0,89,0,84
2004-05-01,ES,67,54,74,0,0,0,0
2004-06-01,ES,57,87,0,57,0,0,0
2004-07-01,ES,73,75,50,100,0,0,0
2004-08-01,ES,80,57,0,0,0,0,0
2004-09-01,ES,71,51,74,0,0,0,0
2004-10-01,ES,64,74,0,0,0,0,0
2004-11-01,ES,50,25,34,0,0,0,0
2004-12-01,ES,40,22,100,39,0,0,0
2005-01-01,ES,53,16,0,0,0,0,44
2005-02-01,ES,51,20,0,0,0,0,0
2005-03-01,ES,57,69,28,0,21,0,86
2005-04-01,ES,50,32,0,0,0,0,0
2005-05-01,ES,54,50,47,0,0,0,0
2005-06-01,ES,61,40,0,63,0,0,0
2005-07-01,ES,66,53,0,0,0,0,0
2005-08-01,ES,71,29,0,47,0,0,0
2005-09-01,ES,58,44,0,0,0,0,0
2005-10-01,ES,50,32,0,65,0,0,0
2005-11-01,ES,41,26,0,0,0,0,35
2005-12-01,ES,37,19,48,0,0,25,0
2006-01-01,ES,39,38,26,0,19,0,0
2006-02-01,ES,47,38,0,0,0,0,29
2006-03-01,ES,49,37,0,0,0,0,0
2006-04-01,ES,51,25,23,0,0,0,100
2006-05-01,ES,54,70,26,45,0,0,67
2006-06-01,ES,50,42,40,0,0,0,0
2006-07-01,ES,59,58,36,26,0,0,0
2006-08-01,ES,57,20,0,0,0,0,0
2006-09-01,ES,53,23,18,0,0,12,45
2006-10-01,ES,47,19,0,0,16,0,0
2006-11-01,ES,46,16,0,0,0,0,0
2006-12-01,ES,42,29,0,32,0,0,0
2007-01-01,ES,48,21,0,0,0,0,0
2007-02-01,ES,46,29,40,17,0,0,0
2007-03-01,ES,56,25,23,0,11,0,0
2007-04-01,ES,51,35,30,0,0,0,0
2007-05-01,ES,49,41,0,0,0,0,0
