time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,NL,61,0,0,0,0,0,0
2004-02-01,NL,41,72,0,0,0,45,0
2004-03-01,NL,82,0,0,0,0,0,0
2004-04-01,NL,88,83,0,0,87,100,0
2004-05-01,NL,73,0,0,0,0,0,100
2004-06-01,NL,39,0,0,0,0,0,65
2004-07-01,NL,53,88,0,0,0,0,39
2004-08-01,NL,35,0,0,0,68,0,0
2004-09-01,NL,71,0,0,0,83,48,0
2004-10-01,NL,20,49,0,75,0,0,0
2004-11-01,NL,36,0,0,0,0,34,0
2004-12-01,NL,26,0,0,100,0,0,66
2005-01-01,NL,31,85,0,0,55,0,22
2005-02-01,NL,30,0,0,75,0,0,0
2005-03-01,NL,36,0,0,0,56,0,0
2005-04-01,NL,46,0,0,61,100,0,0
2005-05-01,NL,42,0,0,0,0,28,0
2005-06-01,NL,34,0,82,54,0,0,0
2005-07-01,NL,64,48,0,0,0,0,0
2005-08-01,NL,41,0,0,81,0,0,65
2005-09-01,NL,51,0,0,69,0,0,0
2005-10-01,NL,40,57,0,0,0,0,0
2005-11-01,NL,32,40,0,0,0,26,0
2005-12-01,NL,30,36,100,0,82,0,0
2006-01-01,NL,27,80,47,0,35,14,0
2006-02-01,NL,33,0,0,0,0,0,0
2006-03-01,NL,26,100,0,0,0,11,23
2006-04-01,NL,34,0,0,0,0,0,0
2006-05-01,NL,31,0,41,0,0,11,0
2006-06-01,NL,33,56,0,0,47,0,17
2006-07-01,NL,51,0,0,0,0,13,0
2006-08-01,NL,34,0,0,0,34,0,0
2006-09-01,NL,40,0,0,30,0,0,15
2006-10-01,NL,34,48,0,0,0,0,0
2006-11-01,NL,35,0,36,0,24,0,0
2006-12-01,NL,30,0,48,0,0,0,0
2007-01-01,NL,25,0,0,0,0,0,0
2007-02-01,NL,37,0,48,0,0,0,0
2007-03-01,NL,28,0,0,0,0,0,0
2007-04-01,NL,48,0,0,0,27,0,15
2007-05-01,NL,41,0,0,0,30,0,0
2007-06-01,NL,32,0,0,0,0,0,0
2007-07-01,NL,52,0,0,0,78,0,9
2007-08-01,NL,45,0,54,0,37,0,0
2007-09-01,NL,43,0,0,26,0,22,0
2007-10-01,NL,32,0,0,0,0,0,0
2007-11-01,NL,21,0,0,0,0,0,0
2007-12-01,NL,30,0,0,0,0,0,0
2008-01-01,NL,21,0,23,0,0,5,0
2008-02-01,NL,34,28,0,0,0,0,0
2008-03-01,NL,32,0,0,34,0,0,0
2008-04-01,NL,41,27,0,0,16,5,0
2008-05-01,NL,37,32,0,0,0,0,0
2008-06-01,NL,41,0,0,30,0,0,0
2008-07-01,NL,43,0,0,0,0,0,8
2008-08-01,NL,43,14,0,0,0,0,0
2008-09-01,NL,39,0,0,0,28,0,8
2008-10-01,NL,38,0,0,0,0,0,0
2008-11-01,NL,23,0,0,0,16,0,0
2008-12-01,NL,31,0,0,0,0,0,0
2009-01-01,NL,31,23,0,18,0,0,0
2009-02-01,NL,32,15,18,0,0,6,0
2009-03-01,NL,32,42,0,0,32,0,0
2009-04-01,NL,37,0,0,0,0,0,0
2009-05-01,NL,41,0,0,0,0,0,0
2009-06-01,NL,34,0,0,0,0,11,0
2009-07-01,NL,38,0,0,0,12,0,0
2009-08-01,NL,41,23,24,14,0,8,0
2009-09-01,NL,38,13,26,0,0,0,0
2009-10-01,NL,39,0,0,0,0,6,0
2009-11-01,NL,35,0,0,0,0,0,11
2009-12-01,NL,25,14,0,0,0,0,0
2010-01-01,NL,23,40,0,17,0,0,0
2010-02-01,NL,32,0,44,0,0,0,0
2010-03-01,NL,33,0,0,0,0,0,0
2010-04-01,NL,39,0,27,0,0,0,0
2010-05-01,NL,37,20,0,35,0,0,8
2010-06-01,NL,36,0,0,29,10,0,15
2010-07-01,NL,40,16,0,0,18,9,9
2010-08-01,NL,32,0,0,0,0,5,0
2010-09-01,NL,33,0,0,0,0,0,0
2010-10-01,NL,37,0,0,15,0,6,0
2010-11-01,NL,27,0,0,15,10,0,0
2010-12-01,NL,29,0,20,0,8,0,0
2011-01-01,NL,27,0,31,0,0,3,0
2011-02-01,NL,31,11,20,16,0,3,18
2011-03-01,NL,29,11,31,0,0,0,0
2011-04-01,NL,42,24,14,23,0,0,0
2011-05-01,NL,39,11,0,0,0,0,4
2011-06-01,NL,47,18,14,0,0,0,0
2011-07-01,NL,46,0,0,0,0,0,0
2011-08-01,NL,36,14,0,0,0,0,0
2011-09-01,NL,36,17,0,0,0,2,0
2011-10-01,NL,33,11,0,0,0,0,0
2011-11-01,NL,33,14,0,11,8,0,0
2011-12-01,NL,30,30,13,19,0,0,0
2012-01-01,NL,31,17,0,0,0,0,0
2012-02-01,NL,35,11,14,0,0,0,0
2012-03-01,NL,40,0,0,9,0,0,4
2012-04-01,NL,41,13,0,0,0,0,0
2012-05-01,NL,42,0,12,0,0,0,0
2012-06-01,NL,37,17,0,11,0,0,4
2012-07-01,NL,40,7,0,9,0,0,0
2012-08-01,NL,43,11,0,0,0,0,0
2012-09-01,NL,38,13,9,13,0,0,0
2012-10-01,NL,39,7,12,0,0,0,2
2012-11-01,NL,36,0,0,0,0,2,0
2012-12-01,NL,24,0,0,0,0,0,0
2013-01-01,NL,29,5,7,0,0,0,0
2013-02-01,NL,30,13,18,0,5,0,0
2013-03-01,NL,34,13,0,0,0,2,0
2013-04-01,NL,37,13,0,0,0,0,0
2013-05-01,NL,39,11,8,0,0,0,9
2013-06-01,NL,46,0,0,0,0,0,4
2013-07-01,NL,39,15,0,0,0,0,6
2013-08-01,NL,37,18,52,0,9,0,0
2013-09-01,NL,37,9,0,0,7,0,0
2013-10-01,NL,38,0,0,14,5,0,5
2013-11-01,NL,33,0,0,0,0,0,0
2013-12-01,NL,29,11,0,0,0,0,0
2014-01-01,NL,32,5,0,0,0,0,0
2014-02-01,NL,37,7,0,0,0,3,0
2014-03-01,NL,38,16,0,0,6,0,4
2014-04-01,NL,42,16,12,0,0,0,0
2014-05-01,NL,41,13,8,6,0,0,0
2014-06-01,NL,43,12,21,0,0,0,9
2014-07-01,NL,47,29,12,0,0,0,0
2014-08-01,NL,41,10,0,0,9,0,0
2014-09-01,NL,37,10,0,0,0,0,0
2014-10-01,NL,36,16,0,0,0,3,0
2014-11-01,NL,32,0,0,9,6,0,0
2014-12-01,NL,26,12,0,0,0,0,0
2015-01-01,NL,31,8,0,0,4,0,7
2015-02-01,NL,37,12,25,0,0,0,0
2015-03-01,NL,32,25,0,0,0,0,0
2015-04-01,NL,46,0,0,0,6,0,0
2015-05-01,NL,43,5,0,9,0,0,0
2015-06-01,NL,40,0,0,18,0,0,0
2015-07-01,NL,52,24,13,0,0,0,0
2015-08-01,NL,47,9,8,0,0,2,0
2015-09-01,NL,38,10,0,0,0,0,5
2015-10-01,NL,37,17,0,0,0,0,0
2015-11-01,NL,34,0,13,0,5,0,0
2015-12-01,NL,29,0,0,0,0,0,0
2016-01-01,NL,34,8,13,0,0,0,7
2016-02-01,NL,37,8,0,0,0,0,0
2016-03-01,NL,41,14,8,0,0,2,3
2016-04-01,NL,44,0,0,0,0,0,0
2016-05-01,NL,49,13,0,0,0,0,0
2016-06-01,NL,43,11,0,0,7,0,5
2016-07-01,NL,42,18,0,0,8,0,0
2016-08-01,NL,42,14,14,7,0,0,0
2016-09-01,NL,44,9,0,0,0,2,0
2016-10-01,NL,34,13,0,0,0,0,0
2016-11-01,NL,35,0,0,0,6,0,0
2016-12-01,NL,28,0,0,0,10,0,0
2017-01-01,NL,37,4,14,0,0,0,0
2017-02-01,NL,41,9,0,0,0,2,0
2017-03-01,NL,39,18,12,0,0,1,0
2017-04-01,NL,51,20,15,0,0,0,4
2017-05-01,NL,56,25,0,0,0,0,0
2017-06-01,NL,49,19,11,0,0,2,0
2017-07-01,NL,52,27,0,0,0,0,0
2017-08-01,NL,46,11,0,0,0,0,2
2017-09-01,NL,48,13,0,6,0,0,0
2017-10-01,NL,44,11,12,0,0,0,0
2017-11-01,NL,37,8,0,6,5,0,0
2017-12-01,NL,39,16,0,0,0,0,0
2018-01-01,NL,35,9,0,0,0,2,4
2018-02-01,NL,40,7,0,0,0,0,0
2018-03-01,NL,46,10,0,0,0,0,0
2018-04-01,NL,52,0,0,10,0,0,2
2018-05-01,NL,56,12,0,0,0,0,6
2018-06-01,NL,52,18,0,0,0,0,0
2018-07-01,NL,56,23,0,0,0,0,5
2018-08-01,NL,58,18,0,0,0,8,2
2018-09-01,NL,47,19,8,0,4,1,2
2018-10-01,NL,49,10,0,0,4,0,0
2018-11-01,NL,39,16,0,0,0,0,0
2018-12-01,NL,35,15,0,0,4,0,0
2019-01-01,NL,36,0,0,15,0,0,0
2019-02-01,NL,44,8,6,8,17,0,0
2019-03-01,NL,46,20,0,9,0,0,0
2019-04-01,NL,53,9,0,0,0,0,2
2019-05-01,NL,53,4,0,0,0,0,0
2019-06-01,NL,56,8,0,0,4,0,0
2019-07-01,NL,56,18,0,0,0,0,0
2019-08-01,NL,61,25,10,10,0,2,0
2019-09-01,NL,48,6,0,0,0,2,0
2019-10-01,NL,46,8,0,0,7,0,0
2019-11-01,NL,43,9,0,7,0,0,2
2019-12-01,NL,36,7,0,0,0,0,0
2020-01-01,NL,43,18,0,0,3,0,0
2020-02-01,NL,53,9,0,0,0,0,0
2020-03-01,NL,69,15,0,0,0,0,0
2020-04-01,NL,43,3,6,0,0,0,0
2020-05-01,NL,49,12,0,0,0,0,2
2020-06-01,NL,60,9,0,0,0,0,2
2020-07-01,NL,64,10,0,0,0,0,0
2020-08-01,NL,66,19,13,9,6,0,0
2020-09-01,NL,66,15,8,0,0,0,1
2020-10-01,NL,57,11,6,4,0,0,0
2020-11-01,NL,40,11,0,0,0,0,0
2020-12-01,NL,46,9,0,0,0,2,0
2021-01-01,NL,39,9,0,0,0,0,0
2021-02-01,NL,45,8,0,0,0,0,0
2021-03-01,NL,51,7,0,12,8,0,0
2021-04-01,NL,61,11,30,0,0,0,0
2021-05-01,NL,67,14,0,4,0,0,4
2021-06-01,NL,87,28,8,0,5,0,0
2021-07-01,NL,100,12,0,10,0,0,0
2021-08-01,NL,95,20,10,0,0,0,4
