time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,SE,74,28,0,0,0,0,0
2004-02-01,SE,70,0,0,66,0,0,0
2004-03-01,SE,79,56,100,100,0,0,0
2004-04-01,SE,47,0,0,0,35,0,0
2004-05-01,SE,90,47,0,0,0,0,0
2004-06-01,SE,100,0,86,0,100,0,0
2004-07-01,SE,50,0,0,0,0,0,0
2004-08-01,SE,72,0,0,35,0,0,0
2004-09-01,SE,57,31,0,0,0,0,97
2004-10-01,SE,21,100,0,0,0,90,0
2004-11-01,SE,77,0,50,0,0,0,0
2004-12-01,SE,54,39,0,0,0,0,0
2005-01-01,SE,81,0,0,0,0,0,100
2005-02-01,SE,59,27,0,30,0,100,0
2005-03-01,SE,71,14,47,0,0,0,0
2005-04-01,SE,63,0,0,0,0,0,0
2005-05-01,SE,76,38,0,0,22,86,0
2005-06-01,SE,52,37,0,0,0,0,0
2005-07-01,SE,71,36,41,0,49,0,0
2005-08-01,SE,56,0,0,0,0,0,0
2005-09-01,SE,61,0,0,0,0,63,0
2005-10-01,SE,68,16,0,0,28,0,0
2005-11-01,SE,24,0,0,0,0,0,0
2005-12-01,SE,50,0,0,0,0,75,0
2006-01-01,SE,63,0,0,0,0,0,0
2006-02-01,SE,40,13,0,0,0,41,0
2006-03-01,SE,49,34,0,24,17,0,0
2006-04-01,SE,69,0,0,0,0,0,96
2006-05-01,SE,54,16,0,0,0,0,0
2006-06-01,SE,70,36,0,0,0,0,0
2006-07-01,SE,68,19,0,0,0,0,0
2006-08-01,SE,52,0,0,17,0,0,0
2006-09-01,SE,52,8,39,0,55,0,0
2006-10-01,SE,44,0,0,0,40,32,0
2006-11-01,SE,44,0,0,0,0,0,0
2006-12-01,SE,45,10,0,0,0,0,0
2007-01-01,SE,59,0,0,0,0,46,0
2007-02-01,SE,58,0,24,33,0,0,0
2007-03-01,SE,47,15,28,0,0,0,52
2007-04-01,SE,56,9,0,21,0,0,0
2007-05-01,SE,58,15,0,0,0,70,0
2007-06-01,SE,69,8,61,14,0,0,80
2007-07-01,SE,75,26,0,0,0,0,52
2007-08-01,SE,65,13,0,0,30,36,0
2007-09-01,SE,48,8,19,0,0,0,0
2007-10-01,SE,37,11,0,0,8,32,0
2007-11-01,SE,42,9,0,0,0,0,0
2007-12-01,SE,31,0,30,0,0,0,0
2008-01-01,SE,52,13,0,24,8,0,0
2008-02-01,SE,52,13,0,0,0,31,0
2008-03-01,SE,51,0,32,25,23,0,0
2008-04-01,SE,39,8,18,0,0,19,0
2008-05-01,SE,56,0,31,0,0,0,0
2008-06-01,SE,60,16,33,0,10,0,0
2008-07-01,SE,52,10,0,11,0,47,0
2008-08-01,SE,46,7,0,10,0,0,0
2008-09-01,SE,59,16,0,0,0,0,0
2008-10-01,SE,44,7,0,0,0,0,0
2008-11-01,SE,40,0,0,0,0,21,0
2008-12-01,SE,52,0,0,0,0,63,29
2009-01-01,SE,45,8,0,0,0,0,0
2009-02-01,SE,50,0,0,0,0,0,0
2009-03-01,SE,53,11,0,0,0,0,0
2009-04-01,SE,55,10,17,0,0,0,0
2009-05-01,SE,50,21,0,0,0,0,0
