time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,SK,49,0,100,0,100,0,0
2004-02-01,SK,77,0,0,100,0,0,0
2004-03-01,SK,99,0,0,0,0,0,0
2004-04-01,SK,68,0,75,0,0,0,0
2004-05-01,SK,35,0,0,42,0,0,0
2004-06-01,SK,0,38,69,0,0,0,0
2004-07-01,SK,73,0,0,0,0,100,0
2004-08-01,SK,0,30,0,0,61,0,0
2004-09-01,SK,0,52,0,0,0,0,0
2004-10-01,SK,59,0,0,0,0,0,0
2004-11-01,SK,0,0,0,0,49,0,0
2004-12-01,SK,34,0,0,0,0,0,0
2005-01-01,SK,47,46,0,0,0,0,0
2005-02-01,SK,47,0,0,0,0,0,0
2005-03-01,SK,26,0,0,0,59,0,0
2005-04-01,SK,28,0,0,0,0,0,0
2005-05-01,SK,43,25,0,0,0,0,0
2005-06-01,SK,0,0,0,83,0,0,0
2005-07-01,SK,100,27,0,0,0,0,0
2005-08-01,SK,0,0,0,0,0,0,0
2005-09-01,SK,17,0,0,0,0,0,0
2005-10-01,SK,26,0,0,0,0,0,0
2005-11-01,SK,30,0,0,0,37,0,100
2005-12-01,SK,39,0,0,0,32,0,0
2006-01-01,SK,30,0,0,0,0,0,0
2006-02-01,SK,15,100,0,0,0,0,0
2006-03-01,SK,33,0,0,0,0,0,38
2006-04-01,SK,14,25,18,0,66,42,0
2006-05-01,SK,43,0,0,32,0,0,0
2006-06-01,SK,32,0,0,0,0,0,0
2006-07-01,SK,0,0,0,22,36,78,43
2006-08-01,SK,39,0,0,55,35,0,0
2006-09-01,SK,25,0,0,0,0,0,67
2006-10-01,SK,25,0,0,0,0,0,0
2006-11-01,SK,13,0,0,0,0,0,23
2006-12-01,SK,10,0,0,0,0,0,57
2007-01-01,SK,14,37,0,0,0,52,17
2007-02-01,SK,20,0,0,73,0,0,20
2007-03-01,SK,20,0,24,0,0,0,0
2007-04-01,SK,22,0,12,0,0,0,0
2007-05-01,SK,21,0,23,0,0,0,0
2007-06-01,SK,29,0,0,0,0,80,0
2007-07-01,SK,28,0,16,0,0,0,0
2007-08-01,SK,35,0,10,0,0,0,0
2007-09-01,SK,24,0,27,0,0,0,0
2007-10-01,SK,18,14,0,0,0,57,0
2007-11-01,SK,14,0,0,31,0,0,0
2007-12-01,SK,33,0,0,0,0,0,0
2008-01-01,SK,14,0,0,0,0,0,30
2008-02-01,SK,17,8,0,15,0,0,0
2008-03-01,SK,17,16,0,0,0,0,0
2008-04-01,SK,28,10,0,11,0,16,0
2008-05-01,SK,24,17,9,0,0,0,20
2008-06-01,SK,23,0,0,0,0,0,14
2008-07-01,SK,40,0,0,26,0,15,0
2008-08-01,SK,33,11,0,0,0,15,0
2008-09-01,SK,20,0,0,0,0,0,0
2008-10-01,SK,17,0,0,0,14,0,0
2008-11-01,SK,8,0,16,0,0,0,0
2008-12-01,SK,18,0,0,22,0,0,0
