date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,CY,13,8,8,0
2004-02-01,CY,12,22,0,0
2004-03-01,CY,13,9,9,0
2004-04-01,CY,9,12,18,21
2004-05-01,CY,75,81,53,79
2004-06-01,CY,83,86,55,61
2004-07-01,CY,84,72,52,60
2004-08-01,CY,78,71,72,46
2004-09-01,CY,78,79,78,26
2004-10-01,CY,74,75,53,38
2004-11-01,CY,76,83,58,53
2004-12-01,CY,100,79,88,24
2005-01-01,CY,90,89,65,46
2005-02-01,CY,75,88,57,54
2005-03-01,CY,87,81,82,78
2005-04-01,CY,64,60,100,35
2005-05-01,CY,74,99,77,43
2005-06-01,CY,76,94,70,53
2005-07-01,CY,71,75,79,61
2005-08-01,CY,69,77,56,59
2005-09-01,CY,71,64,68,46
2005-10-01,CY,66,56,51,39
2005-11-01,CY,66,68,60,42
2005-12-01,CY,72,54,69,49
2006-01-01,CY,48,47,32,20
2006-02-01,CY,13,8,0,8
2006-03-01,CY,12,13,0,5
2006-04-01,CY,11,4,6,6
2006-05-01,CY,12,14,3,7
2006-06-01,CY,12,12,6,6
2006-07-01,CY,13,19,4,0
2006-08-01,CY,10,12,0,0
2006-09-01,CY,12,12,0,4
2006-10-01,CY,12,9,2,18
2006-11-01,CY,13,12,6,7
2006-12-01,CY,15,9,0,16
2007-01-01,CY,13,12,5,12
2007-02-01,CY,13,11,6,4
2007-03-01,CY,13,10,7,3
2007-04-01,CY,13,13,2,5
2007-05-01,CY,12,15,4,5
2007-06-01,CY,12,11,4,6
2007-07-01,CY,12,8,2,5
2007-08-01,CY,12,10,6,7
2007-09-01,CY,13,16,7,9
2007-10-01,CY,13,13,6,8
2007-11-01,CY,15,20,5,9
2007-12-01,CY,15,11,7,10
2008-01-01,CY,14,16,9,11
2008-02-01,CY,15,17,5,19
2008-03-01,CY,15,11,8,12
2008-04-01,CY,14,15,9,17
2008-05-01,CY,14,13,7,12
2008-06-01,CY,13,16,4,9
2008-07-01,CY,13,15,5,16
2008-08-01,CY,13,14,7,6
2008-09-01,CY,13,16,8,10
2008-10-01,CY,14,14,7,10
2008-11-01,CY,14,16,6,9
2008-12-01,CY,14,14,5,12
2009-01-01,CY,14,16,6,11
2009-02-01,CY,14,16,4,12
2009-03-01,CY,15,12,8,11
2009-04-01,CY,15,14,8,9
2009-05-01,CY,15,14,5,8
2009-06-01,CY,14,13,3,12
2009-07-01,CY,13,11,7,10
2009-08-01,CY,12,15,5,14
2009-09-01,CY,14,12,2,7
2009-10-01,CY,15,17,7,12
2009-11-01,CY,15,16,7,12
2009-12-01,CY,17,13,5,11
