date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,FR,35,40,23,25
2004-02-01,FR,35,48,20,27
2004-03-01,FR,37,41,24,27
2004-04-01,FR,37,44,25,29
2004-05-01,FR,36,43,26,29
2004-06-01,FR,37,46,26,33
2004-07-01,FR,37,44,24,32
2004-08-01,FR,35,41,24,26
2004-09-01,FR,41,46,29,31
2004-10-01,FR,45,45,31,30
2004-11-01,FR,49,48,34,32
2004-12-01,FR,51,43,35,30
2005-01-01,FR,48,44,32,30
2005-02-01,FR,46,54,30,32
2005-03-01,FR,47,47,32,33
2005-04-01,FR,43,51,30,36
2005-05-01,FR,41,50,31,33
2005-06-01,FR,42,52,29,35
2005-07-01,FR,41,54,30,35
2005-08-01,FR,42,46,32,32
2005-09-01,FR,45,46,38,33
2005-10-01,FR,49,53,43,34
2005-11-01,FR,52,51,42,35
2005-12-01,FR,59,53,50,33
2006-01-01,FR,48,53,43,36
2006-02-01,FR,50,62,35,38
2006-03-01,FR,47,57,39,41
2006-04-01,FR,47,58,39,39
2006-05-01,FR,46,57,41,40
2006-06-01,FR,47,56,39,39
2006-07-01,FR,44,57,38,37
2006-08-01,FR,48,56,37,36
2006-09-01,FR,53,59,42,41
2006-10-01,FR,59,61,46,45
2006-11-01,FR,55,61,50,49
2006-12-01,FR,67,63,65,41
2007-01-01,FR,54,57,45,38
2007-02-01,FR,58,71,40,40
2007-03-01,FR,53,63,39,45
2007-04-01,FR,49,57,40,45
2007-05-01,FR,51,63,42,44
2007-06-01,FR,51,62,40,42
2007-07-01,FR,47,63,38,41
2007-08-01,FR,47,60,37,40
2007-09-01,FR,50,59,41,41
2007-10-01,FR,55,61,42,43
2007-11-01,FR,55,61,48,41
2007-12-01,FR,65,61,61,40
2008-01-01,FR,53,54,43,39
2008-02-01,FR,52,62,37,40
2008-03-01,FR,54,60,42,41
2008-04-01,FR,53,59,40,41
2008-05-01,FR,53,58,44,39
2008-06-01,FR,50,59,38,40
2008-07-01,FR,45,54,35,36
2008-08-01,FR,46,49,34,35
2008-09-01,FR,49,52,38,37
2008-10-01,FR,53,58,42,40
2008-11-01,FR,57,54,49,42
2008-12-01,FR,64,55,52,40
2009-01-01,FR,51,52,39,44
2009-02-01,FR,54,59,36,41
2009-03-01,FR,49,55,37,46
2009-04-01,FR,47,51,34,41
2009-05-01,FR,48,48,36,42
2009-06-01,FR,46,50,33,44
2009-07-01,FR,43,52,31,40
2009-08-01,FR,45,49,31,40
2009-09-01,FR,49,52,35,46
2009-10-01,FR,51,53,36,44
2009-11-01,FR,52,51,41,44
2009-12-01,FR,58,52,47,44
2010-01-01,FR,46,47,34,44
2010-02-01,FR,48,52,30,44
2010-03-01,FR,46,49,29,42
2010-04-01,FR,43,49,32,41
2010-05-01,FR,43,49,38,46
2010-06-01,FR,40,49,33,40
2010-07-01,FR,40,51,30,42
2010-08-01,FR,43,47,28,40
2010-09-01,FR,46,50,33,41
2010-10-01,FR,51,53,30,52
2010-11-01,FR,48,55,38,56
2010-12-01,FR,56,50,44,39
2011-01-01,FR,54,57,40,47
2011-02-01,FR,56,61,34,49
2011-03-01,FR,53,58,36,48
2011-04-01,FR,53,58,38,47
2011-05-01,FR,49,60,38,54
2011-06-01,FR,49,64,41,55
2011-07-01,FR,49,63,36,53
2011-08-01,FR,52,56,35,47
2011-09-01,FR,51,59,37,53
2011-10-01,FR,56,63,42,68
2011-11-01,FR,60,65,50,63
2011-12-01,FR,68,62,53,51
2012-01-01,FR,55,58,43,52
2012-02-01,FR,55,63,35,52
2012-03-01,FR,53,57,38,52
2012-04-01,FR,55,62,46,59
2012-05-01,FR,50,58,45,52
2012-06-01,FR,50,59,39,54
2012-07-01,FR,49,61,38,51
2012-08-01,FR,49,58,38,48
2012-09-01,FR,53,61,42,48
2012-10-01,FR,56,58,43,53
2012-11-01,FR,58,56,47,56
2012-12-01,FR,69,52,55,49
2013-01-01,FR,51,55,41,50
2013-02-01,FR,57,62,41,53
2013-03-01,FR,56,59,40,51
2013-04-01,FR,53,57,41,54
2013-05-01,FR,52,60,47,53
2013-06-01,FR,51,56,38,52
2013-07-01,FR,49,55,39,49
2013-08-01,FR,51,60,39,52
2013-09-01,FR,52,57,42,51
2013-10-01,FR,58,60,46,52
2013-11-01,FR,60,55,52,53
2013-12-01,FR,71,59,57,52
2014-01-01,FR,56,55,44,54
2014-02-01,FR,56,63,38,56
2014-03-01,FR,53,57,36,53
2014-04-01,FR,54,60,43,54
2014-05-01,FR,57,56,47,54
2014-06-01,FR,51,54,41,53
2014-07-01,FR,52,59,40,56
2014-08-01,FR,50,57,39,56
2014-09-01,FR,51,55,39,48
2014-10-01,FR,55,58,43,57
2014-11-01,FR,60,56,49,58
2014-12-01,FR,72,54,56,53
2015-01-01,FR,56,55,43,55
2015-02-01,FR,59,64,40,59
2015-03-01,FR,59,57,40,56
2015-04-01,FR,54,59,42,54
2015-05-01,FR,59,60,49,58
2015-06-01,FR,55,58,42,54
2015-07-01,FR,55,62,44,63
2015-08-01,FR,54,61,43,62
2015-09-01,FR,56,60,42,58
2015-10-01,FR,64,65,47,67
2015-11-01,FR,64,60,52,62
2015-12-01,FR,76,65,58,62
2016-01-01,FR,62,65,43,66
2016-02-01,FR,66,74,38,68
2016-03-01,FR,61,65,40,66
2016-04-01,FR,60,66,39,67
2016-05-01,FR,59,64,45,63
2016-06-01,FR,58,65,39,66
2016-07-01,FR,53,74,41,66
2016-08-01,FR,53,69,40,68
2016-09-01,FR,56,67,40,63
2016-10-01,FR,59,69,41,71
2016-11-01,FR,64,67,47,71
2016-12-01,FR,75,67,53,70
2017-01-01,FR,59,65,42,68
2017-02-01,FR,62,70,37,74
2017-03-01,FR,61,67,40,68
2017-04-01,FR,63,70,47,74
2017-05-01,FR,62,70,52,71
2017-06-01,FR,57,72,45,77
2017-07-01,FR,62,84,49,79
2017-08-01,FR,65,84,46,80
2017-09-01,FR,63,77,49,76
2017-10-01,FR,69,81,46,90
2017-11-01,FR,69,76,55,80
2017-12-01,FR,83,77,65,75
