date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,PL,15,19,9,19
2004-02-01,PL,18,21,12,12
2004-03-01,PL,18,21,12,21
2004-04-01,PL,17,23,10,19
2004-05-01,PL,18,23,13,27
2004-06-01,PL,18,23,15,24
2004-07-01,PL,17,24,13,26
2004-08-01,PL,19,24,16,18
2004-09-01,PL,21,28,16,27
2004-10-01,PL,24,29,19,26
2004-11-01,PL,26,33,23,29
2004-12-01,PL,29,33,25,30
2005-01-01,PL,28,38,21,41
2005-02-01,PL,29,38,21,36
2005-03-01,PL,30,34,21,34
2005-04-01,PL,28,38,25,38
2005-05-01,PL,28,35,25,37
2005-06-01,PL,28,37,25,40
2005-07-01,PL,29,36,24,35
2005-08-01,PL,32,35,26,33
2005-09-01,PL,29,40,22,33
2005-10-01,PL,32,43,25,34
2005-11-01,PL,35,48,33,39
2005-12-01,PL,40,50,38,42
2006-01-01,PL,35,49,28,50
2006-02-01,PL,35,50,29,41
2006-03-01,PL,35,44,28,41
2006-04-01,PL,34,42,29,39
2006-05-01,PL,35,46,31,45
2006-06-01,PL,33,46,30,46
2006-07-01,PL,34,48,33,45
2006-08-01,PL,38,47,33,48
2006-09-01,PL,40,46,31,46
2006-10-01,PL,37,50,33,46
2006-11-01,PL,40,49,42,48
2006-12-01,PL,47,51,48,52
2007-01-01,PL,41,50,35,57
2007-02-01,PL,45,52,35,55
2007-03-01,PL,41,48,38,54
2007-04-01,PL,40,55,34,50
2007-05-01,PL,39,48,35,53
2007-06-01,PL,39,48,35,60
2007-07-01,PL,41,49,35,61
2007-08-01,PL,39,46,36,51
2007-09-01,PL,42,50,34,54
2007-10-01,PL,40,53,35,52
2007-11-01,PL,42,57,41,55
2007-12-01,PL,47,51,44,53
2008-01-01,PL,40,58,34,58
2008-02-01,PL,39,55,35,56
2008-03-01,PL,39,53,34,48
2008-04-01,PL,37,49,34,47
2008-05-01,PL,37,46,37,45
2008-06-01,PL,35,49,36,53
2008-07-01,PL,37,46,33,46
2008-08-01,PL,40,48,34,47
2008-09-01,PL,40,47,39,48
2008-10-01,PL,40,53,37,49
2008-11-01,PL,41,53,43,51
2008-12-01,PL,47,54,49,48
2009-01-01,PL,42,55,37,59
2009-02-01,PL,43,53,35,51
2009-03-01,PL,41,51,40,52
2009-04-01,PL,36,43,36,43
2009-05-01,PL,37,47,35,47
2009-06-01,PL,36,46,34,45
2009-07-01,PL,36,42,34,41
2009-08-01,PL,37,43,34,41
2009-09-01,PL,37,42,32,38
2009-10-01,PL,39,45,37,40
2009-11-01,PL,40,47,49,42
2009-12-01,PL,48,45,53,42
2010-01-01,PL,39,46,37,50
2010-02-01,PL,40,49,38,47
2010-03-01,PL,39,44,43,43
2010-04-01,PL,34,41,41,41
2010-05-01,PL,36,45,43,42
2010-06-01,PL,33,41,38,40
2010-07-01,PL,33,37,37,37
2010-08-01,PL,37,38,38,35
2010-09-01,PL,37,40,38,37
2010-10-01,PL,37,42,41,37
2010-11-01,PL,38,42,51,38
2010-12-01,PL,46,41,55,38
2011-01-01,PL,49,57,57,57
2011-02-01,PL,50,55,58,50
2011-03-01,PL,50,54,62,48
2011-04-01,PL,50,48,61,49
2011-05-01,PL,47,51,60,51
2011-06-01,PL,48,51,54,54
2011-07-01,PL,52,53,56,50
2011-08-01,PL,50,49,55,52
2011-09-01,PL,50,50,53,47
2011-10-01,PL,51,51,61,47
2011-11-01,PL,56,57,75,54
2011-12-01,PL,61,55,79,52
2012-01-01,PL,53,56,59,54
2012-02-01,PL,54,58,64,54
2012-03-01,PL,50,52,62,48
2012-04-01,PL,49,52,59,47
2012-05-01,PL,47,50,54,48
2012-06-01,PL,45,52,55,56
2012-07-01,PL,47,50,54,49
2012-08-01,PL,51,49,58,46
2012-09-01,PL,54,53,60,51
2012-10-01,PL,55,52,64,49
2012-11-01,PL,56,54,70,46
2012-12-01,PL,62,54,74,49
2013-01-01,PL,54,57,61,67
2013-02-01,PL,57,60,59,60
2013-03-01,PL,58,50,67,53
2013-04-01,PL,48,53,61,53
2013-05-01,PL,49,52,57,55
2013-06-01,PL,48,52,52,60
2013-07-01,PL,50,52,57,53
2013-08-01,PL,52,53,63,59
2013-09-01,PL,59,52,68,65
2013-10-01,PL,59,57,70,59
2013-11-01,PL,59,54,73,59
2013-12-01,PL,63,52,77,56
2014-01-01,PL,57,56,66,66
2014-02-01,PL,58,56,66,63
2014-03-01,PL,53,54,67,60
2014-04-01,PL,57,52,66,61
2014-05-01,PL,55,54,65,62
2014-06-01,PL,51,55,66,66
2014-07-01,PL,52,53,65,53
2014-08-01,PL,59,52,63,57
2014-09-01,PL,59,52,71,56
