time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,HU,22,27,20,9
2004-02-01,HU,23,27,21,12
2004-03-01,HU,20,27,14,17
2004-04-01,HU,23,27,19,14
2004-05-01,HU,22,28,21,20
2004-06-01,HU,23,30,24,16
2004-07-01,HU,23,32,22,17
2004-08-01,HU,21,31,17,20
2004-09-01,HU,26,35,24,17
2004-10-01,HU,28,35,23,23
2004-11-01,HU,30,37,39,23
2004-12-01,HU,31,38,27,23
2005-01-01,HU,30,35,19,17
2005-02-01,HU,33,42,26,25
2005-03-01,HU,30,36,29,19
2005-04-01,HU,31,41,27,30
2005-05-01,HU,31,40,23,25
2005-06-01,HU,29,43,25,28
2005-07-01,HU,28,38,21,23
2005-08-01,HU,29,37,26,19
2005-09-01,HU,29,41,19,25
2005-10-01,HU,31,42,18,25
2005-11-01,HU,35,42,25,32
2005-12-01,HU,36,47,20,35
2006-01-01,HU,31,43,22,34
2006-02-01,HU,33,50,23,36
2006-03-01,HU,33,54,26,38
2006-04-01,HU,31,47,24,39
2006-05-01,HU,32,49,23,44
2006-06-01,HU,32,52,20,45
2006-07-01,HU,36,59,25,61
2006-08-01,HU,36,54,30,63
2006-09-01,HU,33,52,26,49
2006-10-01,HU,40,56,29,59
2006-11-01,HU,44,62,31,58
2006-12-01,HU,53,63,30,63
2007-01-01,HU,45,64,30,66
2007-02-01,HU,49,84,30,73
2007-03-01,HU,46,67,30,70
2007-04-01,HU,43,62,29,60
2007-05-01,HU,42,63,29,61
2007-06-01,HU,43,63,29,64
2007-07-01,HU,42,67,30,70
2007-08-01,HU,46,65,33,68
2007-09-01,HU,47,64,37,59
2007-10-01,HU,49,71,39,72
2007-11-01,HU,50,65,37,67
2007-12-01,HU,57,65,38,69
2008-01-01,HU,50,69,34,68
2008-02-01,HU,50,76,40,63
2008-03-01,HU,50,63,55,63
2008-04-01,HU,48,59,56,62
2008-05-01,HU,48,67,42,65
2008-06-01,HU,46,62,38,60
2008-07-01,HU,48,63,38,62
2008-08-01,HU,49,67,41,67
2008-09-01,HU,48,67,41,61
2008-10-01,HU,50,60,44,62
2008-11-01,HU,50,59,47,60
2008-12-01,HU,62,68,45,78
2009-01-01,HU,58,56,46,78
2009-02-01,HU,58,74,46,62
2009-03-01,HU,51,60,45,65
2009-04-01,HU,47,58,37,61
2009-05-01,HU,48,54,39,66
2009-06-01,HU,47,57,39,66
2009-07-01,HU,49,56,36,64
2009-08-01,HU,52,58,35,69
2009-09-01,HU,50,54,41,63
2009-10-01,HU,54,54,40,60
2009-11-01,HU,54,55,47,63
2009-12-01,HU,63,57,41,63
2010-01-01,HU,55,57,39,62
2010-02-01,HU,57,68,35,64
2010-03-01,HU,51,51,39,55
2010-04-01,HU,49,50,35,56
2010-05-01,HU,49,48,34,55
2010-06-01,HU,48,49,32,57
2010-07-01,HU,44,48,32,52
2010-08-01,HU,45,46,30,49
2010-09-01,HU,47,48,36,52
2010-10-01,HU,47,57,33,48
2010-11-01,HU,50,52,38,50
2010-12-01,HU,58,48,38,56
2011-01-01,HU,64,71,48,71
2011-02-01,HU,64,75,48,69
2011-03-01,HU,62,74,49,71
2011-04-01,HU,62,67,45,67
2011-05-01,HU,62,68,46,69
2011-06-01,HU,62,68,46,73
2011-07-01,HU,61,67,44,77
2011-08-01,HU,60,68,42,77
2011-09-01,HU,59,66,51,70
2011-10-01,HU,63,64,49,75
2011-11-01,HU,67,69,54,79
2011-12-01,HU,79,66,58,77
2012-01-01,HU,67,67,53,76
2012-02-01,HU,71,71,55,71
2012-03-01,HU,63,67,54,70
2012-04-01,HU,70,67,51,72
2012-05-01,HU,60,66,49,74
2012-06-01,HU,63,67,45,76
2012-07-01,HU,63,66,47,72
2012-08-01,HU,61,70,45,74
2012-09-01,HU,63,64,46,69
2012-10-01,HU,63,63,46,70
2012-11-01,HU,66,66,62,60
2012-12-01,HU,81,66,53,89
2013-01-01,HU,68,71,51,73
2013-02-01,HU,69,69,53,71
2013-03-01,HU,68,65,50,69
2013-04-01,HU,60,61,46,66
2013-05-01,HU,64,62,46,62
2013-06-01,HU,64,64,49,73
2013-07-01,HU,65,64,49,67
2013-08-01,HU,66,68,48,72
2013-09-01,HU,64,63,47,71
2013-10-01,HU,68,63,44,67
2013-11-01,HU,70,65,48,66
2013-12-01,HU,82,65,56,64
2014-01-01,HU,73,67,54,70
2014-02-01,HU,70,64,50,70
2014-03-01,HU,65,70,53,65
2014-04-01,HU,67,62,51,66
2014-05-01,HU,66,67,49,66
2014-06-01,HU,61,61,53,78
2014-07-01,HU,64,63,53,64
2014-08-01,HU,63,68,51,71
2014-09-01,HU,62,69,52,67
2014-10-01,HU,66,64,55,61
2014-11-01,HU,67,62,52,64
2014-12-01,HU,83,66,54,68
2015-01-01,HU,73,69,55,68
2015-02-01,HU,74,75,56,65
2015-03-01,HU,68,68,56,61
2015-04-01,HU,70,65,52,66
2015-05-01,HU,66,70,50,62
2015-06-01,HU,66,70,51,63
2015-07-01,HU,65,71,55,63
2015-08-01,HU,64,71,48,63
2015-09-01,HU,63,67,47,63
2015-10-01,HU,69,67,47,60
2015-11-01,HU,73,70,53,60
2015-12-01,HU,82,67,57,61
2016-01-01,HU,69,66,43,62
2016-02-01,HU,70,69,48,64
2016-03-01,HU,67,65,52,56
2016-04-01,HU,60,63,49,57
2016-05-01,HU,64,69,49,58
2016-06-01,HU,57,65,55,62
2016-07-01,HU,62,69,51,69
2016-08-01,HU,60,68,50,63
2016-09-01,HU,61,68,50,62
2016-10-01,HU,66,68,51,60
2016-11-01,HU,66,68,52,60
2016-12-01,HU,74,66,54,59
2017-01-01,HU,66,66,46,60
2017-02-01,HU,68,69,50,65
2017-03-01,HU,64,69,55,59
2017-04-01,HU,69,70,52,64
2017-05-01,HU,59,70,55,60
2017-06-01,HU,62,71,51,67
2017-07-01,HU,69,71,52,66
2017-08-01,HU,64,75,53,67
2017-09-01,HU,66,73,53,66
2017-10-01,HU,70,76,57,69
2017-11-01,HU,70,74,61,62
2017-12-01,HU,86,75,59,69
2018-01-01,HU,71,74,58,65
2018-02-01,HU,74,78,57,68
2018-03-01,HU,76,81,57,74
2018-04-01,HU,63,75,54,64
2018-05-01,HU,68,82,58,69
2018-06-01,HU,68,82,57,79
2018-07-01,HU,70,90,63,83
2018-08-01,HU,66,88,58,80
2018-09-01,HU,68,77,61,68
2018-10-01,HU,70,78,62,74
2018-11-01,HU,76,77,60,70
2018-12-01,HU,90,80,77,74
2019-01-01,HU,75,76,59,71
2019-02-01,HU,69,80,57,72
2019-03-01,HU,74,81,62,72
2019-04-01,HU,73,78,65,71
2019-05-01,HU,72,85,68,89
2019-06-01,HU,68,88,74,83
2019-07-01,HU,73,91,70,85
2019-08-01,HU,75,96,76,88
2019-09-01,HU,69,81,78,75
2019-10-01,HU,75,84,80,75
2019-11-01,HU,81,86,78,83
2019-12-01,HU,93,85,93,82
2020-01-01,HU,79,81,77,80
2020-02-01,HU,79,88,79,82
2020-03-01,HU,79,63,86,75
2020-04-01,HU,91,53,100,88
2020-05-01,HU,88,74,89,96
2020-06-01,HU,82,83,83,94
2020-07-01,HU,80,98,83,100
2020-08-01,HU,76,100,76,99
2020-09-01,HU,73,80,77,81
2020-10-01,HU,80,82,91,89
2020-11-01,HU,80,66,83,83
2020-12-01,HU,100,66,92,87
2021-01-01,HU,83,58,77,78
2021-02-01,HU,78,62,76,82
2021-03-01,HU,81,62,84,88
2021-04-01,HU,74,67,82,87
2021-05-01,HU,79,84,82,93
2021-06-01,HU,70,90,78,88
2021-07-01,HU,73,98,81,100
2021-08-01,HU,77,95,77,92
2021-09-01,HU,68,80,70,71
2021-10-01,HU,71,78,70,64
2021-11-01,HU,71,72,76,63
2021-12-01,HU,81,70,74,62
2022-01-01,HU,84,76,75,65
2022-02-01,HU,79,85,76,68
2022-03-01,HU,71,80,80,74
2022-04-01,HU,79,82,84,72
2022-05-01,HU,72,82,72,67
2022-06-01,HU,75,82,80,74
2022-07-01,HU,78,89,90,80
2022-08-01,HU,80,91,82,77
2022-09-01,HU,76,79,80,62
