time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,IT,24,27,16,27
2004-02-01,IT,25,29,18,28
2004-03-01,IT,24,29,18,30
2004-04-01,IT,23,31,16,31
2004-05-01,IT,25,30,18,30
2004-06-01,IT,22,29,19,27
2004-07-01,IT,24,32,18,26
2004-08-01,IT,19,24,15,24
2004-09-01,IT,26,33,21,32
2004-10-01,IT,26,31,22,29
2004-11-01,IT,27,32,24,34
2004-12-01,IT,27,31,21,28
2005-01-01,IT,24,28,21,29
2005-02-01,IT,28,33,22,37
2005-03-01,IT,26,30,20,29
2005-04-01,IT,25,30,21,30
2005-05-01,IT,26,30,21,31
2005-06-01,IT,23,30,20,32
2005-07-01,IT,24,36,19,30
2005-08-01,IT,20,24,18,20
2005-09-01,IT,27,35,25,32
2005-10-01,IT,27,30,24,31
2005-11-01,IT,27,31,27,34
2005-12-01,IT,29,30,23,26
2006-01-01,IT,25,29,26,29
2006-02-01,IT,27,34,23,31
2006-03-01,IT,26,34,25,29
2006-04-01,IT,25,30,21,29
2006-05-01,IT,27,36,24,27
2006-06-01,IT,26,33,25,31
2006-07-01,IT,25,35,26,29
2006-08-01,IT,21,28,22,22
2006-09-01,IT,28,37,28,34
2006-10-01,IT,29,37,30,34
2006-11-01,IT,28,37,30,32
2006-12-01,IT,30,36,24,27
2007-01-01,IT,26,33,26,32
2007-02-01,IT,29,38,26,31
2007-03-01,IT,29,39,27,35
2007-04-01,IT,27,37,27,32
2007-05-01,IT,28,39,26,31
2007-06-01,IT,29,39,29,29
2007-07-01,IT,26,37,25,28
2007-08-01,IT,22,32,23,27
2007-09-01,IT,29,39,30,34
2007-10-01,IT,31,43,30,33
2007-11-01,IT,31,39,30,32
2007-12-01,IT,31,36,27,26
2008-01-01,IT,28,34,25,29
2008-02-01,IT,31,41,27,32
2008-03-01,IT,30,41,27,30
2008-04-01,IT,30,41,27,29
2008-05-01,IT,32,42,26,36
2008-06-01,IT,28,36,24,32
2008-07-01,IT,27,38,23,31
2008-08-01,IT,22,31,21,27
2008-09-01,IT,29,39,26,35
2008-10-01,IT,31,38,26,35
2008-11-01,IT,32,37,28,42
2008-12-01,IT,32,36,25,30
2009-01-01,IT,28,35,23,32
2009-02-01,IT,30,39,23,32
2009-03-01,IT,29,37,22,30
2009-04-01,IT,26,33,21,29
2009-05-01,IT,25,31,20,26
2009-06-01,IT,24,31,22,26
2009-07-01,IT,24,33,20,25
2009-08-01,IT,21,26,18,22
2009-09-01,IT,25,33,20,32
2009-10-01,IT,26,31,22,27
2009-11-01,IT,27,30,23,30
2009-12-01,IT,28,29,19,25
2010-01-01,IT,24,27,18,25
2010-02-01,IT,26,30,20,29
2010-03-01,IT,26,29,19,25
2010-04-01,IT,25,30,18,26
2010-05-01,IT,24,27,19,24
2010-06-01,IT,23,28,18,23
2010-07-01,IT,23,29,16,24
2010-08-01,IT,20,25,14,21
2010-09-01,IT,25,31,18,27
2010-10-01,IT,26,28,18,26
2010-11-01,IT,27,27,20,25
2010-12-01,IT,27,27,19,24
2011-01-01,IT,36,41,27,36
2011-02-01,IT,37,43,26,35
2011-03-01,IT,38,44,27,38
2011-04-01,IT,38,47,26,35
2011-05-01,IT,37,43,27,37
2011-06-01,IT,37,46,25,40
2011-07-01,IT,35,44,24,35
2011-08-01,IT,32,40,22,32
2011-09-01,IT,40,44,26,39
2011-10-01,IT,42,46,26,42
2011-11-01,IT,42,44,29,43
2011-12-01,IT,47,46,26,36
2012-01-01,IT,41,41,28,39
2012-02-01,IT,44,45,27,44
2012-03-01,IT,41,44,27,41
2012-04-01,IT,43,46,30,42
2012-05-01,IT,39,46,30,41
2012-06-01,IT,38,44,28,41
2012-07-01,IT,38,47,25,43
2012-08-01,IT,36,43,25,41
2012-09-01,IT,43,49,33,48
2012-10-01,IT,46,47,30,47
2012-11-01,IT,50,47,33,45
2012-12-01,IT,48,45,30,43
2013-01-01,IT,44,44,30,63
2013-02-01,IT,43,47,29,45
2013-03-01,IT,49,48,30,44
2013-04-01,IT,43,47,29,43
2013-05-01,IT,45,49,29,49
2013-06-01,IT,42,48,28,44
