time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,RO,22,24,19,17
2004-02-01,RO,20,25,16,16
2004-03-01,RO,23,35,7,20
2004-04-01,RO,21,28,14,21
2004-05-01,RO,25,28,18,21
2004-06-01,RO,22,22,13,12
2004-07-01,RO,21,29,19,18
2004-08-01,RO,19,23,19,13
2004-09-01,RO,21,22,20,9
2004-10-01,RO,25,32,17,16
2004-11-01,RO,26,35,19,21
2004-12-01,RO,25,36,21,17
2005-01-01,RO,27,39,21,34
2005-02-01,RO,31,45,24,30
2005-03-01,RO,31,42,28,39
2005-04-01,RO,28,40,27,26
2005-05-01,RO,28,42,26,34
2005-06-01,RO,28,38,29,26
2005-07-01,RO,26,38,24,30
2005-08-01,RO,26,38,27,16
2005-09-01,RO,28,40,23,32
2005-10-01,RO,31,45,28,31
2005-11-01,RO,31,50,37,29
2005-12-01,RO,30,47,45,28
2006-01-01,RO,36,58,39,42
2006-02-01,RO,36,57,35,44
2006-03-01,RO,38,59,32,41
2006-04-01,RO,32,53,32,38
2006-05-01,RO,37,56,31,41
2006-06-01,RO,35,60,32,42
2006-07-01,RO,33,54,38,34
2006-08-01,RO,31,50,34,31
2006-09-01,RO,36,59,34,34
2006-10-01,RO,40,65,34,49
2006-11-01,RO,47,64,48,43
2006-12-01,RO,43,60,57,36
2007-01-01,RO,47,72,48,54
2007-02-01,RO,53,73,46,47
2007-03-01,RO,48,71,49,46
2007-04-01,RO,46,66,47,48
2007-05-01,RO,49,62,48,45
2007-06-01,RO,45,61,50,42
2007-07-01,RO,41,57,46,41
2007-08-01,RO,41,57,41,39
2007-09-01,RO,43,59,42,37
2007-10-01,RO,47,62,44,39
2007-11-01,RO,50,72,53,47
2007-12-01,RO,46,60,61,36
2008-01-01,RO,50,66,41,47
2008-02-01,RO,47,66,41,46
2008-03-01,RO,45,55,39,39
2008-04-01,RO,39,51,43,38
2008-05-01,RO,42,56,34,42
2008-06-01,RO,38,49,31,38
2008-07-01,RO,34,46,29,38
2008-08-01,RO,34,47,29,42
2008-09-01,RO,37,50,34,35
2008-10-01,RO,39,48,35,32
2008-11-01,RO,39,50,41,33
2008-12-01,RO,37,46,52,27
2009-01-01,RO,40,50,36,37
2009-02-01,RO,41,51,32,38
2009-03-01,RO,40,45,35,32
2009-04-01,RO,36,38,37,30
2009-05-01,RO,35,40,29,30
2009-06-01,RO,34,39,29,25
2009-07-01,RO,31,34,28,25
2009-08-01,RO,30,32,26,21
2009-09-01,RO,35,33,24,25
2009-10-01,RO,34,37,27,25
2009-11-01,RO,33,37,30,23
2009-12-01,RO,32,31,35,20
2010-01-01,RO,37,37,25,26
2010-02-01,RO,34,39,25,26
2010-03-01,RO,33,35,25,23
2010-04-01,RO,31,35,22,25
2010-05-01,RO,30,34,22,25
2010-06-01,RO,31,34,23,24
2010-07-01,RO,28,30,20,18
2010-08-01,RO,28,30,19,21
2010-09-01,RO,30,31,20,20
2010-10-01,RO,31,32,23,23
2010-11-01,RO,31,35,29,23
2010-12-01,RO,32,30,31,20
2011-01-01,RO,76,77,54,48
2011-02-01,RO,79,71,48,49
2011-03-01,RO,71,73,47,46
2011-04-01,RO,70,62,48,46
2011-05-01,RO,67,66,43,48
2011-06-01,RO,66,83,43,54
2011-07-01,RO,66,69,42,47
2011-08-01,RO,67,62,46,45
2011-09-01,RO,70,66,48,50
2011-10-01,RO,70,63,63,53
2011-11-01,RO,76,75,76,59
2011-12-01,RO,81,68,87,55
2012-01-01,RO,79,75,67,62
2012-02-01,RO,80,82,69,59
2012-03-01,RO,73,72,65,61
2012-04-01,RO,72,57,57,62
2012-05-01,RO,67,68,55,57
2012-06-01,RO,66,67,52,59
2012-07-01,RO,59,54,48,57
2012-08-01,RO,59,58,51,54
2012-09-01,RO,66,49,52,56
2012-10-01,RO,66,63,56,57
2012-11-01,RO,70,58,71,59
2012-12-01,RO,75,62,81,62
2013-01-01,RO,73,68,57,75
2013-02-01,RO,73,67,65,68
2013-03-01,RO,69,64,58,68
2013-04-01,RO,65,55,60,64
2013-05-01,RO,64,58,58,61
2013-06-01,RO,64,63,63,70
2013-07-01,RO,62,59,56,68
2013-08-01,RO,64,56,56,69
2013-09-01,RO,69,60,54,66
2013-10-01,RO,71,64,60,66
2013-11-01,RO,71,67,76,69
2013-12-01,RO,81,64,86,75
2014-01-01,RO,78,69,67,78
2014-02-01,RO,80,64,66,71
2014-03-01,RO,68,62,57,71
2014-04-01,RO,72,64,62,73
2014-05-01,RO,71,69,59,77
2014-06-01,RO,70,68,58,79
2014-07-01,RO,67,69,57,83
2014-08-01,RO,67,67,54,85
2014-09-01,RO,70,69,58,74
2014-10-01,RO,78,66,65,74
2014-11-01,RO,77,71,75,79
2014-12-01,RO,86,73,85,79
2015-01-01,RO,80,83,69,82
2015-02-01,RO,85,89,66,83
2015-03-01,RO,83,83,67,74
2015-04-01,RO,77,75,62,74
2015-05-01,RO,78,86,59,79
2015-06-01,RO,79,85,65,75
2015-07-01,RO,69,70,58,82
2015-08-01,RO,72,70,50,74
2015-09-01,RO,74,64,57,69
2015-10-01,RO,79,74,65,69
2015-11-01,RO,77,75,75,78
2015-12-01,RO,85,77,83,100
2016-01-01,RO,84,82,62,86
2016-02-01,RO,81,80,50,83
2016-03-01,RO,77,77,54,81
2016-04-01,RO,73,69,56,80
2016-05-01,RO,72,71,53,81
2016-06-01,RO,70,68,52,76
2016-07-01,RO,67,70,52,81
2016-08-01,RO,70,79,55,72
2016-09-01,RO,73,69,50,70
2016-10-01,RO,77,77,55,67
2016-11-01,RO,78,71,64,67
2016-12-01,RO,81,61,63,63
2017-01-01,RO,80,74,56,67
2017-02-01,RO,76,70,56,65
2017-03-01,RO,73,67,54,62
2017-04-01,RO,76,64,54,62
2017-05-01,RO,69,66,52,62
2017-06-01,RO,69,64,52,61
2017-07-01,RO,69,67,49,63
2017-08-01,RO,70,75,52,59
2017-09-01,RO,73,63,51,59
2017-10-01,RO,79,78,57,68
2017-11-01,RO,78,73,69,66
2017-12-01,RO,86,70,69,63
2018-01-01,RO,77,74,62,70
2018-02-01,RO,80,77,54,70
2018-03-01,RO,78,84,59,78
2018-04-01,RO,69,68,52,63
2018-05-01,RO,72,75,54,64
2018-06-01,RO,73,77,53,65
2018-07-01,RO,75,83,54,77
2018-08-01,RO,71,79,54,66
2018-09-01,RO,72,79,52,65
2018-10-01,RO,74,80,57,67
2018-11-01,RO,79,86,64,83
2018-12-01,RO,90,84,78,69
2019-01-01,RO,82,84,71,78
2019-02-01,RO,77,85,76,74
2019-03-01,RO,72,84,65,77
2019-04-01,RO,77,77,66,75
2019-05-01,RO,71,75,60,68
2019-06-01,RO,70,82,58,77
2019-07-01,RO,72,86,56,78
2019-08-01,RO,71,87,57,76
2019-09-01,RO,75,85,53,73
2019-10-01,RO,80,82,62,73
2019-11-01,RO,87,88,79,82
2019-12-01,RO,96,87,89,80
2020-01-01,RO,86,91,76,81
2020-02-01,RO,83,85,76,79
2020-03-01,RO,77,73,89,80
2020-04-01,RO,96,73,100,86
2020-05-01,RO,96,73,85,81
2020-06-01,RO,84,78,77,80
2020-07-01,RO,74,86,75,79
2020-08-01,RO,79,87,71,76
2020-09-01,RO,78,79,70,76
2020-10-01,RO,87,94,77,88
2020-11-01,RO,87,71,86,77
2020-12-01,RO,100,76,97,81
2021-01-01,RO,86,89,75,88
2021-02-01,RO,87,86,72,90
2021-03-01,RO,82,80,75,83
2021-04-01,RO,92,79,78,77
2021-05-01,RO,83,86,75,83
2021-06-01,RO,78,93,68,83
2021-07-01,RO,76,97,67,85
2021-08-01,RO,78,100,72,84
2021-09-01,RO,76,87,57,85
2021-10-01,RO,78,81,67,79
2021-11-01,RO,85,84,82,87
2021-12-01,RO,81,75,82,75
2022-01-01,RO,87,89,71,88
2022-02-01,RO,83,86,69,77
2022-03-01,RO,79,84,70,73
2022-04-01,RO,91,86,67,85
2022-05-01,RO,77,86,66,78
2022-06-01,RO,78,90,64,79
2022-07-01,RO,78,91,60,76
2022-08-01,RO,84,93,63,85
2022-09-01,RO,77,79,56,72
