month_end,geo,yhat,fourier_order,bic,aicc,sigma2,loglik,rmse,mae,acf
2022-06-01,AT,16938096.067595642,3,-1822.5352880290402,-1876.9024041872922,4.4983706852340827e-4,953.0126994198492,0.30896442607253966,0.19375820205517838,0.012774058582508073
2022-07-01,AT,18059515.79088928,3,-1822.5352880290402,-1876.9024041872922,4.4983706852340827e-4,953.0126994198492,0.30896442607253966,0.19375820205517838,0.012774058582508073
2022-08-01,AT,13531619.968585405,3,-1822.5352880290402,-1876.9024041872922,4.4983706852340827e-4,953.0126994198492,0.30896442607253966,0.19375820205517838,0.012774058582508073
2022-09-01,AT,6980637.130526118,3,-1822.5352880290402,-1876.9024041872922,4.4983706852340827e-4,953.0126994198492,0.30896442607253966,0.19375820205517838,0.012774058582508073
2022-08-01,BE,4391069.755823713,6,-2009.5453122305794,-2067.7540908575415,2.776881682988226e-4,1049.5187566587174,0.2145917726207341,0.11221697398562931,0.004040895479060248
2022-09-01,BE,2344411.2230543876,6,-2009.5453122305794,-2067.7540908575415,2.776881682988226e-4,1049.5187566587174,0.2145917726207341,0.11221697398562931,0.004040895479060248
2022-10-01,BE,2286776.867983454,6,-2009.5453122305794,-2067.7540908575415,2.776881682988226e-4,1049.5187566587174,0.2145917726207341,0.11221697398562931,0.004040895479060248
2022-11-01,BE,1682422.3075282283,6,-2009.5453122305794,-2067.7540908575415,2.776881682988226e-4,1049.5187566587174,0.2145917726207341,0.11221697398562931,0.004040895479060248
2022-07-01,CY,2110635.535110136,6,-879.4410007343655,-931.464438226812,0.0017070149230169723,481.6808357141965,0.41596654895476665,0.17212485694123106,-0.027571828282687227
2022-08-01,CY,1666414.999088992,6,-879.4410007343655,-931.464438226812,0.0017070149230169723,481.6808357141965,0.41596654895476665,0.17212485694123106,-0.027571828282687227
2022-09-01,CY,1168929.2848788523,6,-879.4410007343655,-931.464438226812,0.0017070149230169723,481.6808357141965,0.41596654895476665,0.17212485694123106,-0.027571828282687227
2022-10-01,CY,984086.5430940358,6,-879.4410007343655,-931.464438226812,0.0017070149230169723,481.6808357141965,0.41596654895476665,0.17212485694123106,-0.027571828282687227
2022-08-01,CZ,11629089.043783888,5,-1186.9690754698438,-1234.290167355049,3.684706737015957e-4,632.0502560913177,0.2455756129766552,0.10856474761890433,0.056519916393693075
2022-09-01,CZ,5703268.311860844,5,-1186.9690754698438,-1234.290167355049,3.684706737015957e-4,632.0502560913177,0.2455756129766552,0.10856474761890433,0.056519916393693075
