geo,date,yhat
AT,2023-04-01,148.1
BE,2023-04-01,192.3
BG,2023-04-01,165.4
CY,2023-04-01,150.8
CZ,2023-04-01,146.8
DE,2023-04-01,147
DK,2023-04-01,189.1
EE,2023-04-01,175.8
EL,2023-04-01,134.3
ES,2023-04-01,155
FI,2023-04-01,141.7
FR,2023-04-01,152.5
HR,2023-04-01,147.9
HU,2023-04-01,258.7
IE,2023-04-01,158
IT,2023-04-01,162
LT,2023-04-01,159.5
LU,2023-04-01,148.4
LV,2023-04-01,186.6
MT,2023-04-01,117.2
NL,2023-04-01,163.3
PL,2023-04-01,168
PT,2023-04-01,134.3
RO,2023-04-01,238.9
SI,2023-04-01,151.5
SK,2023-04-01,203.2
