geo,ma1,sigma,ar1,sma1,drift,ar2,sar1
AT,-0.7973002747870116,0.01146635133711234,NA,NA,NA,NA,NA
BE,-0.6325264743372291,0.013870181523328194,0.895805569999264,NA,NA,NA,NA
BG,0.796381583527823,0.04340295754047409,NA,NA,NA,NA,NA
CY,NA,0.018782833469609655,NA,0.8279531393886593,0.04245542726214687,NA,NA
CZ,-0.8142310832348193,0.016868281480306134,NA,NA,NA,NA,NA
DE,NA,0.014352544819176138,0.7182885861217417,NA,0.05978196133653988,-0.3632035478669891,NA
DK,0.41889130431543076,0.014773350777235482,NA,NA,0.05749286237730354,NA,NA
EE,NA,0.019858969649006183,NA,NA,0.05928727883878676,NA,NA
ES,-0.5180317988264448,0.010663261328468473,0.8757083328960684,NA,NA,NA,NA
FI,NA,0.01855375905502608,NA,NA,0.05567814470966154,NA,NA
FR,-0.7144276295023192,0.008477499930357214,NA,0.44294403150546546,NA,NA,NA
HR,-0.7109159403347265,0.010128442371309223,NA,NA,NA,NA,NA
HU,-0.7211050659196663,0.008313054677708048,NA,NA,NA,NA,NA
IT,NA,0.025387041647972154,NA,NA,0.06410649498440342,NA,-0.5554036774342214
LT,-0.5481716452106252,0.008595528995804135,NA,NA,NA,NA,NA
LU,NA,0.02301681629370574,NA,NA,0.06345788877382318,NA,NA
LV,NA,0.021620045198827893,0.3383547388384341,NA,0.06016279503425891,NA,NA
MT,NA,0.010621243777519638,0.4030767864175067,NA,0.0717019356532692,NA,NA
NL,0.5561174537355181,0.01220887263144811,NA,NA,0.05908887131557034,NA,NA
PL,-0.6394542978596968,0.008142605791010093,NA,NA,NA,NA,NA
PT,NA,0.026159857656592702,NA,NA,0.05592927499705431,NA,NA
RO,-0.7775857478045941,0.012174037981996939,NA,NA,NA,NA,NA
SI,-0.5202733291565291,0.006724010570030356,NA,NA,NA,NA,0.3984805602257734
SK,0.3103216747452311,0.0607050856343522,NA,NA,0.08867562371796536,NA,NA
