geo,p,d,q,P,D,Q,Frequency
AT,0,2,1,0,0,1,12
BE,0,2,1,NA,NA,NA,NA
BG,3,1,2,0,0,1,12
CY,2,1,0,0,0,1,12
CZ,2,1,1,1,0,2,12
DE,1,1,2,NA,NA,NA,NA
DK,0,2,3,NA,NA,NA,NA
EE,1,2,3,NA,NA,NA,NA
EL,0,1,2,0,0,2,12
ES,3,1,1,NA,NA,NA,NA
FI,2,1,3,0,0,2,12
FR,2,2,3,0,0,2,12
HR,0,2,2,0,0,2,12
HU,1,2,2,0,0,1,12
IE,1,1,3,0,0,1,12
IT,2,1,5,0,0,2,12
LT,5,1,1,NA,NA,NA,NA
LU,0,1,3,NA,NA,NA,NA
LV,1,2,1,0,0,1,12
MT,0,1,0,NA,NA,NA,NA
NL,1,2,2,NA,NA,NA,NA
PL,1,2,2,0,0,1,12
PT,1,1,1,0,0,1,12
RO,3,2,1,NA,NA,NA,NA
SI,3,2,1,1,0,0,12
SK,0,2,2,0,0,2,12
