country_code,start,end,timestamp,period,val
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T00:00:00Z,1,58.82
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T01:00:00Z,2,58.23
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T02:00:00Z,3,51.95
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T03:00:00Z,4,47.27
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T04:00:00Z,5,45.49
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T05:00:00Z,6,44.5
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T06:00:00Z,7,44.5
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T07:00:00Z,8,44.72
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T08:00:00Z,9,44.22
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T09:00:00Z,10,42.06
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T10:00:00Z,11,45.7
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T11:00:00Z,12,47.91
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T12:00:00Z,13,49.57
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T13:00:00Z,14,48.69
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T14:00:00Z,15,46.91
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T15:00:00Z,16,46.51
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T16:00:00Z,17,46.52
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T17:00:00Z,18,51.59
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T18:00:00Z,19,59.07
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T19:00:00Z,20,62.1
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T20:00:00Z,21,56.26
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T21:00:00Z,22,55
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T22:00:00Z,23,56.02
FR,2016-12-31T23:00:00Z,2017-01-01T23:00:00Z,2017-01-01T23:00:00Z,24,52
FR,2017-01-01T23:00:00Z,2017-01-02T23:00:00Z,2017-01-02T00:00:00Z,1,54.99
FR,2017-01-01T23:00:00Z,2017-01-02T23:00:00Z,2017-01-02T01:00:00Z,2,50.18
FR,2017-01-01T23:00:00Z,2017-01-02T23:00:00Z,2017-01-02T02:00:00Z,3,49.11
FR,2017-01-01T23:00:00Z,2017-01-02T23:00:00Z,2017-01-02T03:00:00Z,4,45.78
FR,2017-01-01T23:00:00Z,2017-01-02T23:00:00Z,2017-01-02T04:00:00Z,5,44.99
FR,2017-01-01T23:00:00Z,2017-01-02T23:00:00Z,2017-01-02T05:00:00Z,6,46.97
