country_code,start,end,timestamp,period,val
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T00:00:00Z,1,24.95
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T01:00:00Z,2,24.35
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T02:00:00Z,3,23.98
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T03:00:00Z,4,23.72
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T04:00:00Z,5,23.73
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T05:00:00Z,6,24.06
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T06:00:00Z,7,24.44
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T07:00:00Z,8,24.93
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T08:00:00Z,9,24.9
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T09:00:00Z,10,25.07
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T10:00:00Z,11,30.02
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T11:00:00Z,12,37.14
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T12:00:00Z,13,39.05
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T13:00:00Z,14,40.59
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T14:00:00Z,15,40.79
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T15:00:00Z,16,45.47
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T16:00:00Z,17,51.72
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T17:00:00Z,18,55.39
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T18:00:00Z,19,53.01
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T19:00:00Z,20,55.74
LT,2020-12-31T23:00:00Z,2021-01-01T23:00:00Z,2021-01-01T20:00:00Z,21,54.94
