country_code,start,end,timestamp,period,val
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T00:00:00Z,1,22779
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T01:00:00Z,2,22009
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T02:00:00Z,3,20589
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T03:00:00Z,4,19547
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T04:00:00Z,5,18871
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T05:00:00Z,6,18688
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T06:00:00Z,7,18869
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T07:00:00Z,8,19263
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T08:00:00Z,9,19046
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T09:00:00Z,10,19563
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T10:00:00Z,11,21063
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T11:00:00Z,12,22448
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T12:00:00Z,13,23033
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T13:00:00Z,14,23680
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T14:00:00Z,15,23918
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T15:00:00Z,16,22626
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T16:00:00Z,17,22130
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T17:00:00Z,18,22607
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T18:00:00Z,19,25198
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T19:00:00Z,20,26477
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T20:00:00Z,21,27326
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T21:00:00Z,22,27534
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T22:00:00Z,23,26946
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-01T23:00:00Z,24,24878
ES,2017-12-31T23:00:00Z,2018-11-06T17:00:00Z,2018-01-02T00:00:00Z,25,22657
