country,TrainRMSE,TrainRsquared,TrainMAE,method
Austria,0.38188585832975147,0.8672683910365073,0.2966001163032058,RAI
Austria,0.5391668965232997,0.7777327299093735,0.4236232030636679,svmRadialSigma
Austria,0.4920708489190253,0.7763878628872252,0.3831354688631034,gbm
Austria,0.5939588411416838,0.7465824879820011,0.46692272311540867,rf
Austria,0.5853174116846708,0.7212150115784307,0.4486617249297322,brnn
Austria,0.5301077272115315,0.7623801864518869,0.4047564250997457,xgbTree
Austria,0.4524865924084731,0.8284785924052305,0.34762420751817347,svmPoly
Austria,0.5208342981221582,0.771602326188415,0.3899686744150679,svmLinear3
Belgium,0.42028225660826113,0.7901789833172869,0.33754376182937873,RAI
Belgium,0.4959930689528285,0.7327747099275156,0.36871520614346076,svmRadialSigma
Belgium,0.42027034361358573,0.8029576716501726,0.3288920514763239,gbm
Belgium,0.48966395224731246,0.7551542840454186,0.3716906102004823,rf
Belgium,0.4738310497455068,0.7608179984602547,0.36904018751612655,brnn
Belgium,0.4658115181175341,0.7491480550681805,0.35440910987289637,xgbTree
Belgium,0.39405715593119267,0.822286191698593,0.30683451419349755,svmPoly
Belgium,0.5092189875426544,0.7082656749651338,0.4095383747057153,svmLinear3
Cyprus,0.38470228110066973,0.8540654279249066,0.30626570443237094,RAI
Cyprus,0.39261967221180577,0.856749120261408,0.29471660726325527,svmRadialSigma
Cyprus,0.3131886057807204,0.905142785743913,0.24099951056836807,gbm
Cyprus,0.3927634465281059,0.8778563964949713,0.31298313438961134,rf
Cyprus,0.3409605458075507,0.9019220961689026,0.2540387083380261,brnn
Cyprus,0.3471432674400522,0.8940600546039169,0.25826230566533925,xgbTree
Cyprus,0.26760835339540834,0.9336874464124887,0.20914641510557613,svmPoly
Cyprus,0.49090967076973363,0.7860567958891631,0.3765045606978209,svmLinear3
Czech Republic,0.8733586662147207,0.2758863396432602,0.6425743952222294,RAI
Czech Republic,0.7700378293295254,0.5395943667041639,0.5316242114746204,svmRadialSigma
Czech Republic,0.60636740633957,0.6678835947728065,0.457736811455768,gbm
Czech Republic,0.6755463296110632,0.6347289538808268,0.5088281930042378,rf
Czech Republic,0.6128532718459059,0.6790923287857747,0.4827248217319715,brnn
Czech Republic,0.6510954581116164,0.610627934786291,0.4625876450466644,xgbTree
Czech Republic,0.7313444569932745,0.5766116211620403,0.5352794683162193,svmPoly
Czech Republic,0.6429117004436367,0.6172316159274746,0.48804040291605355,svmLinear3
Germany,0.34806993215260407,0.8930607893691492,0.2759974252944361,RAI
Germany,0.4088360261873809,0.8655876120870559,0.28206190433923806,svmRadialSigma
Germany,0.3307176758795758,0.9057527250871393,0.2549946847632074,gbm
Germany,0.3780323439194949,0.8945657499188099,0.28205407025723855,rf
Germany,0.3880226979494831,0.8835294079489324,0.286557729543025,brnn
Germany,0.3729630967779578,0.8778869111728053,0.2755825841243044,xgbTree
Germany,0.29012866804955745,0.9324466257569526,0.21035752153916862,svmPoly
Germany,0.433873840234325,0.8555685979092937,0.3416654634387041,svmLinear3
Denmark,0.35741810560293746,0.8568303523215546,0.2822122030004521,RAI
Denmark,0.418042595306593,0.8170677156374679,0.27863341047508705,svmRadialSigma
Denmark,0.38391040207021987,0.828480295055779,0.2748230871314921,gbm
Denmark,0.3870309682408859,0.8373295571298739,0.277086692796776,rf
Denmark,0.41867703747398766,0.807319111582581,0.3003705577640054,brnn
Denmark,0.39537415594093384,0.8320891772485269,0.2836614699766777,xgbTree
Denmark,0.3467422610001734,0.8850165917045032,0.24188636023743929,svmPoly
Denmark,0.3535546906387827,0.8705124054607452,0.2647810900827468,svmLinear3
Greece,0.3324203525163802,0.9179650288743264,0.2582424735059988,RAI
Greece,0.2607182675988691,0.9569968308887483,0.19437600265617985,svmRadialSigma
Greece,0.27012681318522336,0.9449802438603281,0.19939144664854216,gbm
Greece,0.3005063737834409,0.9438807511473524,0.21957642062529123,rf
Greece,0.34915476409935936,0.9170859809562452,0.26044590581737037,brnn
Greece,0.29763988834571664,0.9376741696986327,0.19696702674790983,xgbTree
Greece,0.2484718035199133,0.9542891443465826,0.1881226525304621,svmPoly
Greece,0.5363090244573685,0.8225139890048205,0.42891966027803446,svmLinear3
Spain,0.2673146961362128,0.9329261791132728,0.20670082294062753,RAI
Spain,0.30712315070978624,0.9276524081451637,0.2131869238723825,svmRadialSigma
Spain,0.29025180560566743,0.9226815818662362,0.2129585571257194,gbm
Spain,0.3726356993804531,0.8857074637467999,0.2653072256727911,rf
Spain,0.29735797475932463,0.9205355306483572,0.21557201871244225,brnn
Spain,0.3190860938052196,0.9068011194243873,0.23038461959376058,xgbTree
Spain,0.2642172667109009,0.9314014697659195,0.1770878952735966,svmPoly
Spain,0.3569501717736418,0.8939428027990155,0.26732829441209066,svmLinear3
Finland,0.59931890280452,0.6085759299576383,0.4494534122339276,RAI
Finland,0.694114988728934,0.5769124509148567,0.48532527493112376,svmRadialSigma
Finland,0.5780405223065492,0.6357856368156681,0.4378998237096911,gbm
Finland,0.6835752445919121,0.5583686407914962,0.5121496889583478,rf
Finland,0.6348102177373532,0.6478409557422905,0.46927910736792744,brnn
Finland,0.6360584886692111,0.5675272353932034,0.458204492810707,xgbTree
Finland,0.5508937084520159,0.6596590251996034,0.4164033135812121,svmPoly
Finland,0.5935743356316047,0.6265762221303723,0.4594978319965888,svmLinear3
France,0.23546519108846142,0.9469183998472216,0.1904095081347513,RAI
France,0.3239949070574147,0.9184945744417291,0.23345564407215635,svmRadialSigma
France,0.28174934839745713,0.931480781778625,0.2031373650583602,gbm
France,0.29928410863099625,0.9164914764128155,0.19844034515559983,rf
France,0.28142861833693833,0.9250818770866635,0.2095405479094601,brnn
France,0.25068884820568516,0.9445860413949403,0.16613116025157468,xgbTree
France,0.2608956988613153,0.9443241583124137,0.20064359125818526,svmPoly
France,0.3600187008220631,0.89986224685452,0.2855391349020635,svmLinear3
Croatia,0.21178387027221376,0.9580501484980761,0.1499314218289638,RAI
Croatia,0.267055840478363,0.946043363377431,0.18326721108662072,svmRadialSigma
Croatia,0.24094873780785572,0.9402091507268632,0.157610515539341,gbm
Croatia,0.29758352720918524,0.9337998122471817,0.18014183648974322,rf
Croatia,0.27412674887363114,0.9343726215507727,0.18886974910201615,brnn
Croatia,0.2865941070600449,0.9215432262523942,0.16518614293699763,xgbTree
Croatia,0.20374516254673003,0.9568124514096984,0.1566546490244118,svmPoly
Croatia,0.4555197343802404,0.8310914449068035,0.35789698759810434,svmLinear3
Hungary,0.3275790829960812,0.8972336080922834,0.26231944031723503,RAI
Hungary,0.4893332360786017,0.8019611149899086,0.36896809635699906,svmRadialSigma
Hungary,0.4600283593609132,0.7918464523039435,0.3588761238186216,gbm
Hungary,0.537882946079419,0.7441146821969871,0.4132688265732154,rf
Hungary,0.41878484368315727,0.8510135279516579,0.32491619679902783,brnn
Hungary,0.5285667983449912,0.7443103108229535,0.3790025877019686,xgbTree
Hungary,0.4468212031533729,0.8037051138927069,0.34268748700141377,svmPoly
Hungary,0.4225832941168051,0.8559170750802715,0.3327879174721327,svmLinear3
Italy,0.3300260879290973,0.9051808235635975,0.2611504312520434,RAI
Italy,0.3754933260429854,0.9000645480982413,0.2521559318462058,svmRadialSigma
Italy,0.31236218273632677,0.9215077247323783,0.2289448429293145,gbm
Italy,0.3523152421410814,0.9086535277409867,0.2448848520486325,rf
Italy,0.32934313605150295,0.9079862230093739,0.2262441188796569,brnn
