date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,DE,42,84,48,42,44,0,23
2004-02-01,DE,33,72,64,24,45,0,92
2004-03-01,DE,60,91,49,84,98,0,87
2004-04-01,DE,55,95,75,62,43,0,0
2004-05-01,DE,66,91,59,81,52,0,91
2004-06-01,DE,55,89,58,99,51,0,47
2004-07-01,DE,67,93,60,85,20,0,93
2004-08-01,DE,73,84,55,100,100,0,100
2004-09-01,DE,49,75,50,65,76,0,22
2004-10-01,DE,61,81,48,54,31,0,58
2004-11-01,DE,47,74,47,56,0,0,54
2004-12-01,DE,41,60,33,26,19,0,26
2005-01-01,DE,41,72,41,71,26,0,43
2005-02-01,DE,58,82,55,64,39,0,59
2005-03-01,DE,69,89,59,83,71,0,70
2005-04-01,DE,71,85,52,65,56,0,56
2005-05-01,DE,77,88,49,77,70,0,71
2005-06-01,DE,77,86,56,76,48,0,75
2005-07-01,DE,87,93,52,88,66,0,60
2005-08-01,DE,89,87,48,46,45,0,36
2005-09-01,DE,64,75,48,46,36,0,0
2005-10-01,DE,72,72,38,34,46,0,50
2005-11-01,DE,51,67,36,52,41,0,29
2005-12-01,DE,41,64,37,33,19,0,29
2006-01-01,DE,43,74,48,50,55,0,51
2006-02-01,DE,40,73,47,52,27,0,71
2006-03-01,DE,46,75,47,75,47,0,41
2006-04-01,DE,61,83,48,59,48,0,44
2006-05-01,DE,69,91,55,80,41,0,53
2006-06-01,DE,84,100,58,79,36,0,46
2006-07-01,DE,75,85,51,67,54,0,47
2006-08-01,DE,65,72,44,45,42,0,45
2006-09-01,DE,61,69,43,48,13,0,27
2006-10-01,DE,62,63,41,48,42,0,36
2006-11-01,DE,41,58,35,29,38,0,32
2006-12-01,DE,43,49,24,31,36,0,19
2007-01-01,DE,45,63,35,41,32,0,35
2007-02-01,DE,47,63,41,45,45,0,29
2007-03-01,DE,55,64,35,42,43,0,33
2007-04-01,DE,67,71,42,46,31,0,68
2007-05-01,DE,64,73,38,63,64,0,75
2007-06-01,DE,70,70,42,61,46,0,71
2007-07-01,DE,81,78,45,50,43,0,56
2007-08-01,DE,68,68,40,48,55,0,48
2007-09-01,DE,65,63,37,45,40,0,38
2007-10-01,DE,57,59,35,42,36,0,38
2007-11-01,DE,44,50,31,40,58,0,22
2007-12-01,DE,42,44,27,31,47,0,35
2008-01-01,DE,47,57,34,42,42,0,28
2008-02-01,DE,40,56,29,41,46,0,44
2008-03-01,DE,49,59,29,43,36,0,35
2008-04-01,DE,53,60,32,44,30,0,40
2008-05-01,DE,58,60,34,49,38,0,32
2008-06-01,DE,63,59,31,40,43,0,43
2008-07-01,DE,71,60,30,41,51,0,27
2008-08-01,DE,61,57,29,42,38,0,31
2008-09-01,DE,51,52,29,35,35,0,14
2008-10-01,DE,55,41,27,26,34,0,32
2008-11-01,DE,42,42,22,25,22,0,27
2008-12-01,DE,37,38,19,26,23,0,24
2009-01-01,DE,49,49,26,40,36,0,24
2009-02-01,DE,44,46,26,34,34,0,37
2009-03-01,DE,45,45,25,33,40,0,32
2009-04-01,DE,56,54,25,46,34,0,26
2009-05-01,DE,49,51,27,43,28,0,36
2009-06-01,DE,55,53,30,46,32,0,34
2009-07-01,DE,58,56,29,46,39,0,32
2009-08-01,DE,59,53,30,36,45,0,29
2009-09-01,DE,47,52,28,37,38,0,44
2009-10-01,DE,47,44,24,31,40,0,28
2009-11-01,DE,38,41,24,33,26,0,32
2009-12-01,DE,35,37,18,28,34,0,25
2010-01-01,DE,37,43,22,29,38,0,30
2010-02-01,DE,43,44,26,33,37,0,35
2010-03-01,DE,46,45,26,39,32,0,29
2010-04-01,DE,54,52,25,33,31,0,26
2010-05-01,DE,52,51,25,34,30,0,32
2010-06-01,DE,49,50,25,39,37,0,37
2010-07-01,DE,54,54,24,34,44,75,36
2010-08-01,DE,48,44,24,34,39,64,16
2010-09-01,DE,38,38,22,32,34,38,24
2010-10-01,DE,41,36,20,25,31,32,18
2010-11-01,DE,33,33,18,21,35,22,28
2010-12-01,DE,33,32,16,19,27,30,19
2011-01-01,DE,36,36,20,27,34,52,24
2011-02-01,DE,37,32,18,25,26,37,21
2011-03-01,DE,43,37,20,27,32,53,25
2011-04-01,DE,51,40,20,29,36,44,26
2011-05-01,DE,51,44,22,27,32,71,37
2011-06-01,DE,62,46,23,32,38,67,32
2011-07-01,DE,64,48,22,30,41,80,32
2011-08-01,DE,63,44,22,26,36,55,26
2011-09-01,DE,51,37,21,24,34,29,17
2011-10-01,DE,64,37,19,19,32,38,18
2011-11-01,DE,44,32,19,21,28,30,23
2011-12-01,DE,51,31,17,14,30,29,27
2012-01-01,DE,55,40,21,24,40,52,22
2012-02-01,DE,54,38,22,21,46,52,27
2012-03-01,DE,52,37,21,23,37,52,29
2012-04-01,DE,55,43,22,22,36,48,31
2012-05-01,DE,58,45,22,24,31,63,29
2012-06-01,DE,61,49,22,31,40,77,35
2012-07-01,DE,65,48,22,29,40,77,27
2012-08-01,DE,64,44,21,26,40,58,29
2012-09-01,DE,58,39,22,24,41,46,31
2012-10-01,DE,62,39,19,19,37,38,24
2012-11-01,DE,50,32,17,15,30,28,26
2012-12-01,DE,44,29,15,14,28,28,20
2013-01-01,DE,39,34,18,23,34,47,20
2013-02-01,DE,43,34,17,23,38,47,27
2013-03-01,DE,51,37,18,23,31,57,24
2013-04-01,DE,49,39,19,23,34,53,32
2013-05-01,DE,58,40,21,26,35,62,33
2013-06-01,DE,57,45,21,25,38,66,28
2013-07-01,DE,68,47,22,26,35,79,33
2013-08-01,DE,66,43,21,25,37,67,27
2013-09-01,DE,52,35,21,22,39,37,26
2013-10-01,DE,59,35,18,18,42,36,24
2013-11-01,DE,48,32,17,19,36,37,25
2013-12-01,DE,48,30,14,17,33,34,21
2014-01-01,DE,44,35,16,16,40,47,26
2014-02-01,DE,44,33,18,18,33,43,28
2014-03-01,DE,46,37,19,21,35,56,24
2014-04-01,DE,54,39,17,21,32,55,29
2014-05-01,DE,54,42,21,25,38,53,33
2014-06-01,DE,57,46,22,31,45,74,30
2014-07-01,DE,74,68,27,31,59,99,44
2014-08-01,DE,65,45,22,23,46,64,32
2014-09-01,DE,54,39,24,23,43,47,29
2014-10-01,DE,62,37,17,20,35,43,34
2014-11-01,DE,48,32,16,17,38,29,27
