date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,HU,58,75,54,0,91,0,0
2004-02-01,HU,0,84,76,34,0,0,0
2004-03-01,HU,43,86,0,0,0,94,100
2004-04-01,HU,0,78,44,100,0,61,41
2004-05-01,HU,74,100,67,0,0,0,32
2004-06-01,HU,100,96,100,0,0,0,24
2004-07-01,HU,0,82,98,38,0,100,0
2004-08-01,HU,29,84,66,0,0,0,27
2004-09-01,HU,0,84,86,45,45,0,77
2004-10-01,HU,48,60,36,63,0,0,0
2004-11-01,HU,35,61,60,0,0,0,0
2004-12-01,HU,25,68,40,0,0,0,61
2005-01-01,HU,35,68,57,0,100,0,40
2005-02-01,HU,36,74,21,79,0,0,0
2005-03-01,HU,22,47,28,21,0,28,0
2005-04-01,HU,38,62,44,0,25,33,0
2005-05-01,HU,31,79,48,17,0,0,15
2005-06-01,HU,28,85,64,0,30,0,0
2005-07-01,HU,71,84,22,21,0,0,0
2005-08-01,HU,38,80,73,34,0,0,26
2005-09-01,HU,19,60,40,0,0,0,0
2005-10-01,HU,24,52,15,26,0,0,0
2005-11-01,HU,12,47,47,0,0,76,0
2005-12-01,HU,27,59,39,26,0,0,0
2006-01-01,HU,22,62,65,24,0,36,0
2006-02-01,HU,40,57,61,22,20,37,0
2006-03-01,HU,35,67,49,20,18,28,22
2006-04-01,HU,19,60,52,42,0,0,20
2006-05-01,HU,26,58,32,24,0,0,10
2006-06-01,HU,32,66,49,29,26,0,0
2006-07-01,HU,31,71,55,34,0,19,0
2006-08-01,HU,39,59,66,0,0,0,12
2006-09-01,HU,11,47,14,20,0,0,0
2006-10-01,HU,22,43,34,12,10,0,0
2006-11-01,HU,19,45,24,9,10,0,0
2006-12-01,HU,22,38,27,0,0,0,0
2007-01-01,HU,17,53,29,19,0,0,0
2007-02-01,HU,28,42,14,13,0,0,0
2007-03-01,HU,21,48,43,15,24,0,0
2007-04-01,HU,26,52,32,27,0,0,0
2007-05-01,HU,16,55,29,23,0,34,0
2007-06-01,HU,12,50,36,10,12,0,9
2007-07-01,HU,18,63,35,11,0,0,14
