date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,LT,86,59,0,54,100,0,0
2004-02-01,LT,54,65,0,0,0,96,0
2004-03-01,LT,100,34,38,89,0,0,0
2004-04-01,LT,0,50,0,100,0,94,0
2004-05-01,LT,67,100,0,0,0,0,0
2004-06-01,LT,0,57,0,0,0,0,0
2004-07-01,LT,0,38,0,0,0,0,0
2004-08-01,LT,86,44,0,0,0,0,61
2004-09-01,LT,0,63,0,0,0,0,0
2004-10-01,LT,86,56,0,29,67,0,50
2004-11-01,LT,0,38,0,0,0,0,0
2004-12-01,LT,0,54,36,0,0,0,0
2005-01-01,LT,0,30,0,0,0,0,0
2005-02-01,LT,0,62,56,0,0,0,0
2005-03-01,LT,0,52,16,0,0,0,0
2005-04-01,LT,36,62,100,0,38,86,0
2005-05-01,LT,82,63,51,0,0,0,0
2005-06-01,LT,51,58,0,0,76,0,0
2005-07-01,LT,0,22,0,0,0,68,0
2005-08-01,LT,25,82,45,0,40,47,26
2005-09-01,LT,0,34,62,0,0,0,0
2005-10-01,LT,0,38,24,0,26,0,0
2005-11-01,LT,22,55,21,0,21,100,27
2005-12-01,LT,23,36,42,35,0,0,0
2006-01-01,LT,25,57,0,17,0,0,19
2006-02-01,LT,19,41,25,0,0,0,0
2006-03-01,LT,26,27,17,0,0,0,0
2006-04-01,LT,47,39,0,21,0,64,0
2006-05-01,LT,96,49,0,25,0,0,0
2006-06-01,LT,36,49,11,0,0,20,16
2006-07-01,LT,48,46,10,0,0,0,100
2006-08-01,LT,0,39,28,0,0,17,0
2006-09-01,LT,19,38,0,0,0,0,0
2006-10-01,LT,14,33,10,0,0,31,0
2006-11-01,LT,0,20,0,0,0,0,0
2006-12-01,LT,26,32,0,22,0,0,0
2007-01-01,LT,0,39,0,13,0,0,0
2007-02-01,LT,0,34,0,15,0,0,0
2007-03-01,LT,19,36,20,0,0,0,0
2007-04-01,LT,0,34,0,0,0,0,0
2007-05-01,LT,18,43,0,0,0,31,0
2007-06-01,LT,0,31,0,9,9,10,18
2007-07-01,LT,0,44,12,0,0,0,0
2007-08-01,LT,0,37,13,0,21,0,0
2007-09-01,LT,6,29,10,0,0,0,0
2007-10-01,LT,0,23,11,0,12,0,0
2007-11-01,LT,26,31,14,0,0,0,0
2007-12-01,LT,29,20,16,0,0,10,0
2008-01-01,LT,23,34,12,0,11,9,0
2008-02-01,LT,33,24,9,0,0,0,0
2008-03-01,LT,6,24,14,7,8,0,0
2008-04-01,LT,0,35,4,17,8,0,17
2008-05-01,LT,12,30,11,0,0,0,0
2008-06-01,LT,9,27,10,0,0,0,24
2008-07-01,LT,6,31,11,13,12,17,0
2008-08-01,LT,10,26,18,0,0,0,0
2008-09-01,LT,13,20,4,0,0,14,0
2008-10-01,LT,0,20,0,5,6,0,7
2008-11-01,LT,13,22,7,6,0,0,0
2008-12-01,LT,0,16,0,0,0,0,0
2009-01-01,LT,11,22,9,0,0,0,0
2009-02-01,LT,20,23,9,0,0,0,0
2009-03-01,LT,6,22,12,0,0,0,0
2009-04-01,LT,5,22,0,15,7,0,0
2009-05-01,LT,11,23,6,6,0,0,16
2009-06-01,LT,6,31,7,7,9,0,0
2009-07-01,LT,10,25,6,10,6,0,0
2009-08-01,LT,15,25,0,0,0,6,0
2009-09-01,LT,13,23,0,0,0,0,0
2009-10-01,LT,6,20,7,0,0,0,0
2009-11-01,LT,10,21,0,0,0,0,0
2009-12-01,LT,4,18,0,10,0,5,6
2010-01-01,LT,11,16,0,0,0,7,0
2010-02-01,LT,20,23,9,9,7,0,0
2010-03-01,LT,9,25,4,0,4,0,0
2010-04-01,LT,14,24,8,0,4,0,5
2010-05-01,LT,11,22,11,0,0,0,0
2010-06-01,LT,16,19,10,4,11,0,5
2010-07-01,LT,0,19,5,0,0,0,6
2010-08-01,LT,14,24,3,5,0,0,8
2010-09-01,LT,7,14,4,6,0,10,0
2010-10-01,LT,13,16,5,0,0,0,0
2010-11-01,LT,7,11,6,4,8,0,0
2010-12-01,LT,5,19,7,5,6,0,0
2011-01-01,LT,20,20,3,0,0,0,0
2011-02-01,LT,9,20,5,0,0,0,0
2011-03-01,LT,7,16,2,0,0,7,8
2011-04-01,LT,20,19,3,0,6,0,4
2011-05-01,LT,5,21,6,4,0,0,4
2011-06-01,LT,6,19,4,0,0,9,0
2011-07-01,LT,11,21,6,4,0,0,4
2011-08-01,LT,7,17,4,4,0,9,5
2011-09-01,LT,11,19,8,2,0,0,0
2011-10-01,LT,12,20,5,3,0,3,4
2011-11-01,LT,9,14,4,0,6,0,0
2011-12-01,LT,9,14,6,0,0,0,0
2012-01-01,LT,8,16,4,0,0,0,4
2012-02-01,LT,11,15,6,6,0,0,0
2012-03-01,LT,12,15,7,2,2,3,4
2012-04-01,LT,12,19,5,4,0,0,0
2012-05-01,LT,11,24,9,4,4,9,15
2012-06-01,LT,16,23,4,4,2,11,0
2012-07-01,LT,14,24,5,4,0,0,5
2012-08-01,LT,17,22,7,2,0,0,3
2012-09-01,LT,15,22,3,2,0,0,5
2012-10-01,LT,8,15,4,4,5,0,2
2012-11-01,LT,9,14,5,2,4,0,0
2012-12-01,LT,7,11,6,0,0,0,0
2013-01-01,LT,11,13,1,3,9,0,0
2013-02-01,LT,12,20,4,0,0,0,0
2013-03-01,LT,10,18,5,6,2,0,0
2013-04-01,LT,8,19,4,5,0,3,3
2013-05-01,LT,11,21,3,2,0,5,4
2013-06-01,LT,16,23,3,4,5,0,12
2013-07-01,LT,17,23,6,0,2,7,3
2013-08-01,LT,12,16,4,0,4,4,0
2013-09-01,LT,15,20,4,2,3,0,0
2013-10-01,LT,13,19,7,5,4,0,2
2013-11-01,LT,7,16,3,0,0,7,5
2013-12-01,LT,14,13,3,3,0,0,0
2014-01-01,LT,11,19,2,3,0,0,0
2014-02-01,LT,22,18,5,0,2,5,7
2014-03-01,LT,9,18,4,6,4,2,6
2014-04-01,LT,18,21,7,2,0,0,0
2014-05-01,LT,13,22,6,0,2,0,3
2014-06-01,LT,18,21,6,6,2,0,0
2014-07-01,LT,19,24,8,6,0,3,5
2014-08-01,LT,15,18,5,2,7,0,2
2014-09-01,LT,17,18,6,0,4,0,0
2014-10-01,LT,14,18,5,2,2,4,0
2014-11-01,LT,12,16,6,0,2,0,0
2014-12-01,LT,10,16,5,3,0,0,2
2015-01-01,LT,7,19,3,2,3,3,4
2015-02-01,LT,10,19,6,1,0,0,5
2015-03-01,LT,7,20,4,2,4,0,3
2015-04-01,LT,19,20,3,0,3,2,0
2015-05-01,LT,14,21,4,3,5,0,5
2015-06-01,LT,17,21,5,3,2,0,0
2015-07-01,LT,18,25,4,5,2,3,5
2015-08-01,LT,15,21,5,0,2,4,2
2015-09-01,LT,21,24,12,4,2,0,2
2015-10-01,LT,12,18,5,3,2,0,4
2015-11-01,LT,11,17,6,0,0,2,0
2015-12-01,LT,11,14,3,0,2,0,7
2016-01-01,LT,11,22,6,4,0,0,5
2016-02-01,LT,13,19,7,2,5,0,5
2016-03-01,LT,11,20,3,5,4,0,2
2016-04-01,LT,8,18,5,6,0,4,3
2016-05-01,LT,16,21,5,5,0,7,4
2016-06-01,LT,16,23,4,3,4,0,0
2016-07-01,LT,19,22,7,3,4,0,5
2016-08-01,LT,21,23,7,2,5,0,2
2016-09-01,LT,24,18,4,5,2,0,2
2016-10-01,LT,10,17,7,7,1,0,2
2016-11-01,LT,16,18,2,3,0,0,0
2016-12-01,LT,14,15,5,4,2,0,0
2017-01-01,LT,11,18,5,0,0,0,2
2017-02-01,LT,14,20,5,0,1,2,2
2017-03-01,LT,8,23,6,2,1,2,2
2017-04-01,LT,19,23,4,0,0,1,3
2017-05-01,LT,13,19,6,2,3,0,1
2017-06-01,LT,9,23,6,3,1,4,2
2017-07-01,LT,16,22,9,4,2,6,2
2017-08-01,LT,18,22,4,7,5,8,3
2017-09-01,LT,20,17,5,2,0,0,3
2017-10-01,LT,16,22,7,9,0,0,0
2017-11-01,LT,16,17,5,4,4,0,3
2017-12-01,LT,7,20,5,3,2,0,2
2018-01-01,LT,9,27,6,3,0,2,2
2018-02-01,LT,11,23,6,3,0,2,0
2018-03-01,LT,12,24,6,6,3,4,0
2018-04-01,LT,13,20,8,1,8,5,0
2018-05-01,LT,16,23,8,7,0,3,2
2018-06-01,LT,16,24,7,7,5,2,3
2018-07-01,LT,21,25,6,3,9,2,3
2018-08-01,LT,27,24,6,5,2,3,5
2018-09-01,LT,8,19,7,3,2,0,0
2018-10-01,LT,7,16,4,3,0,0,3
2018-11-01,LT,14,16,3,3,1,0,0
2018-12-01,LT,12,16,5,4,0,0,0
2019-01-01,LT,12,21,6,4,2,3,4
2019-02-01,LT,13,19,3,2,3,5,2
2019-03-01,LT,12,19,5,0,0,2,4
2019-04-01,LT,20,19,4,3,2,2,0
2019-05-01,LT,16,26,8,6,3,4,6
2019-06-01,LT,13,27,6,8,4,4,2
2019-07-01,LT,19,21,3,6,4,3,0
2019-08-01,LT,20,25,6,0,4,0,1
2019-09-01,LT,23,23,7,1,2,2,3
2019-10-01,LT,13,19,5,2,4,6,0
2019-11-01,LT,12,23,6,2,5,0,0
2019-12-01,LT,16,20,6,3,3,0,2
2020-01-01,LT,10,23,4,5,4,4,0
2020-02-01,LT,18,23,5,3,2,0,0
2020-03-01,LT,5,25,5,3,2,3,2
2020-04-01,LT,9,16,4,0,2,2,0
2020-05-01,LT,13,18,6,2,1,2,2
2020-06-01,LT,18,22,5,5,6,4,3
2020-07-01,LT,19,29,10,0,4,4,4
2020-08-01,LT,14,27,9,3,6,0,3
2020-09-01,LT,11,20,7,2,6,6,0
2020-10-01,LT,10,22,6,3,5,5,0
2020-11-01,LT,11,13,5,1,2,2,1
2020-12-01,LT,12,17,6,2,2,0,0
2021-01-01,LT,11,13,1,0,1,2,0
2021-02-01,LT,11,15,4,1,0,3,2
2021-03-01,LT,14,14,4,1,1,6,3
2021-04-01,LT,15,15,4,4,2,2,1
2021-05-01,LT,15,18,4,3,7,3,5
2021-06-01,LT,14,25,5,2,3,6,7
2021-07-01,LT,27,27,8,4,3,6,5
2021-08-01,LT,27,25,4,2,2,2,8
2021-09-01,LT,22,25,5,0,1,7,7
2021-10-01,LT,21,24,7,2,3,4,4
2021-11-01,LT,23,22,6,2,1,3,6
2021-12-01,LT,24,20,8,4,4,5,5
2022-01-01,LT,20,24,9,0,2,3,5
2022-02-01,LT,22,26,6,0,3,4,5
2022-03-01,LT,22,25,8,3,3,5,5
2022-04-01,LT,18,25,6,4,2,5,2
2022-05-01,LT,22,24,6,3,2,6,3
2022-06-01,LT,22,32,6,5,3,8,5
2022-07-01,LT,28,27,6,2,2,13,4
2022-08-01,LT,22,24,8,3,3,9,2
2022-09-01,LT,22,20,4,9,3,2,1
2022-10-01,LT,17,19,6,3,0,8,2
2022-11-01,LT,12,18,5,4,2,2,2
2022-12-01,LT,16,19,9,3,0,2,3
2023-01-01,LT,13,23,7,1,3,2,1
2023-02-01,LT,18,21,6,2,1,2,1
2023-03-01,LT,19,21,5,3,1,3,0
2023-04-01,LT,21,22,7,3,2,5,0
