time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,CY,63,0,51,0,70,71,0
2004-02-01,CY,68,0,45,38,0,0,0
2004-03-01,CY,69,0,0,100,0,0,0
2004-04-01,CY,39,53,90,95,0,0,82
2004-05-01,CY,11,100,100,31,0,0,0
2004-06-01,CY,12,72,0,0,0,0,0
2004-07-01,CY,19,0,0,0,0,0,100
2004-08-01,CY,13,73,33,0,63,0,0
2004-09-01,CY,9,68,0,0,0,0,0
2004-10-01,CY,13,44,0,47,0,0,0
2004-11-01,CY,9,53,0,0,79,0,0
2004-12-01,CY,11,0,0,0,0,100,0
2005-01-01,CY,9,0,34,80,0,0,0
2005-02-01,CY,8,0,0,0,0,0,0
2005-03-01,CY,6,31,0,0,0,0,0
2005-04-01,CY,11,0,0,31,0,0,0
2005-05-01,CY,15,48,0,0,0,0,0
2005-06-01,CY,12,29,0,0,46,0,0
2005-07-01,CY,17,33,0,0,0,0,0
2005-08-01,CY,11,34,0,24,0,0,0
2005-09-01,CY,11,58,31,0,0,0,0
2005-10-01,CY,10,20,0,26,0,31,0
2005-11-01,CY,10,0,0,0,0,0,30
2005-12-01,CY,12,0,0,0,0,0,0
2006-01-01,CY,14,0,0,0,0,0,22
2006-02-01,CY,35,0,19,0,0,0,0
2006-03-01,CY,41,26,0,0,0,30,0
2006-04-01,CY,57,35,0,59,0,0,0
2006-05-01,CY,72,0,0,0,0,0,23
2006-06-01,CY,68,0,0,0,0,0,0
2006-07-01,CY,68,71,0,0,0,27,56
2006-08-01,CY,74,39,0,0,0,0,17
2006-09-01,CY,60,33,0,0,100,0,0
2006-10-01,CY,57,42,0,0,41,0,15
2006-11-01,CY,50,27,0,0,0,46,0
2006-12-01,CY,61,0,0,0,0,0,0
2007-01-01,CY,68,18,0,20,35,0,0
2007-02-01,CY,69,39,0,16,0,0,31
2007-03-01,CY,71,59,0,0,0,31,26
2007-04-01,CY,81,0,0,0,0,0,0
2007-05-01,CY,64,22,0,0,0,0,0
2007-06-01,CY,92,41,21,0,38,0,0
2007-07-01,CY,100,54,0,0,0,0,0
2007-08-01,CY,79,20,0,0,0,0,0
2007-09-01,CY,76,45,0,12,24,0,0
2007-10-01,CY,63,17,0,0,0,0,0
2007-11-01,CY,53,32,8,16,0,0,0
2007-12-01,CY,52,0,0,0,0,0,0
2008-01-01,CY,50,46,7,0,0,24,0
2008-02-01,CY,54,18,0,13,0,0,0
2008-03-01,CY,67,33,0,0,0,0,10
2008-04-01,CY,66,41,10,0,0,0,0
2008-05-01,CY,80,0,0,0,0,12,0
2008-06-01,CY,84,33,0,0,0,0,0
2008-07-01,CY,96,35,11,0,0,0,0
2008-08-01,CY,81,49,7,11,0,0,0
2008-09-01,CY,74,17,0,0,0,14,0
2008-10-01,CY,73,41,17,0,0,0,8
2008-11-01,CY,65,24,0,11,0,15,0
2008-12-01,CY,62,16,0,8,0,0,0
2009-01-01,CY,67,20,0,0,35,14,0
2009-02-01,CY,62,15,0,0,20,0,0
2009-03-01,CY,69,41,0,0,0,0,0
2009-04-01,CY,76,29,23,8,0,0,20
2009-05-01,CY,73,30,16,7,11,0,0
2009-06-01,CY,92,11,0,0,16,10,22
2009-07-01,CY,87,26,0,0,0,0,0
2009-08-01,CY,78,0,0,0,0,0,0
2009-09-01,CY,72,45,9,0,0,0,0
2009-10-01,CY,67,0,0,0,0,0,0
2009-11-01,CY,62,8,0,0,0,0,0
2009-12-01,CY,49,11,0,0,0,0,0
2010-01-01,CY,71,31,5,6,0,0,10
2010-02-01,CY,68,33,6,0,32,0,16
2010-03-01,CY,57,21,5,0,10,0,0
2010-04-01,CY,83,19,20,0,17,0,8
2010-05-01,CY,69,19,6,6,0,0,0
2010-06-01,CY,83,21,5,0,22,0,0
2010-07-01,CY,84,28,10,0,0,0,0
2010-08-01,CY,83,27,0,0,0,0,0
2010-09-01,CY,68,19,0,15,0,0,0
2010-10-01,CY,61,24,0,0,11,0,0
2010-11-01,CY,55,14,0,0,0,0,0
2010-12-01,CY,50,12,5,0,0,0,0
2011-01-01,CY,49,11,0,0,0,0,0
2011-02-01,CY,46,25,3,0,9,0,0
2011-03-01,CY,40,13,4,0,0,5,0
2011-04-01,CY,45,14,0,0,0,0,0
2011-05-01,CY,49,13,0,0,0,11,6
2011-06-01,CY,60,13,0,0,6,0,0
2011-07-01,CY,55,36,4,0,0,0,0
2011-08-01,CY,58,17,0,5,0,0,0
2011-09-01,CY,43,15,0,7,0,0,0
2011-10-01,CY,44,27,0,0,0,0,4
2011-11-01,CY,36,15,0,0,9,0,0
2011-12-01,CY,34,8,0,0,10,0,0
2012-01-01,CY,47,38,0,0,0,0,0
2012-02-01,CY,36,6,0,0,0,0,0
2012-03-01,CY,41,13,0,5,0,0,7
2012-04-01,CY,46,14,0,0,5,0,13
2012-05-01,CY,47,9,0,0,6,0,0
2012-06-01,CY,51,17,5,0,0,0,0
2012-07-01,CY,53,34,4,0,0,0,13
2012-08-01,CY,64,15,0,0,0,0,0
2012-09-01,CY,48,22,0,0,0,0,0
2012-10-01,CY,47,16,0,0,0,0,0
2012-11-01,CY,36,16,2,0,0,0,0
2012-12-01,CY,30,19,0,0,0,0,0
2013-01-01,CY,34,21,0,0,0,0,5
2013-02-01,CY,33,15,0,0,0,5,0
2013-03-01,CY,29,26,0,2,0,0,0
2013-04-01,CY,30,17,2,0,0,0,5
2013-05-01,CY,40,15,2,0,5,0,0
2013-06-01,CY,44,15,0,0,0,0,0
2013-07-01,CY,46,25,0,6,0,0,4
2013-08-01,CY,45,25,0,0,4,7,0
2013-09-01,CY,33,16,0,0,0,0,3
2013-10-01,CY,31,12,0,0,0,0,0
