time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,DK,39,0,0,49,0,0,0
2004-02-01,DK,52,87,0,0,0,100,0
2004-03-01,DK,56,100,0,0,0,0,0
2004-04-01,DK,44,0,0,0,0,0,0
2004-05-01,DK,65,0,0,100,0,0,0
2004-06-01,DK,43,34,0,0,0,0,0
2004-07-01,DK,84,0,0,0,0,0,0
2004-08-01,DK,75,0,0,0,0,0,0
2004-09-01,DK,55,71,0,0,34,0,58
2004-10-01,DK,41,0,0,0,89,0,0
2004-11-01,DK,0,0,100,0,0,0,93
2004-12-01,DK,55,0,0,0,0,42,0
2005-01-01,DK,51,25,0,0,100,0,0
2005-02-01,DK,42,0,0,0,0,0,0
2005-03-01,DK,62,0,0,36,0,0,0
2005-04-01,DK,48,0,0,0,87,0,0
2005-05-01,DK,56,0,0,0,70,0,0
2005-06-01,DK,34,0,49,0,31,0,0
2005-07-01,DK,55,0,0,0,41,0,0
2005-08-01,DK,60,43,0,0,0,0,0
2005-09-01,DK,49,0,0,0,0,0,46
2005-10-01,DK,59,24,0,0,0,73,34
2005-11-01,DK,36,28,0,0,0,0,0
2005-12-01,DK,26,0,0,0,0,0,100
2006-01-01,DK,49,0,0,0,0,0,79
2006-02-01,DK,33,0,0,49,53,0,0
2006-03-01,DK,30,0,0,0,23,0,0
2006-04-01,DK,56,45,0,0,0,0,0
2006-05-01,DK,44,0,0,38,0,28,0
2006-06-01,DK,52,0,57,0,0,0,0
2006-07-01,DK,44,0,0,0,0,0,0
2006-08-01,DK,53,0,0,23,0,0,0
2006-09-01,DK,42,24,0,0,47,0,0
2006-10-01,DK,31,25,0,0,0,0,0
2006-11-01,DK,21,0,0,0,48,0,81
2006-12-01,DK,31,0,0,0,0,0,0
2007-01-01,DK,35,0,52,0,0,0,20
2007-02-01,DK,42,21,0,16,0,14,0
2007-03-01,DK,44,0,0,15,0,0,0
2007-04-01,DK,53,15,0,39,32,0,21
2007-05-01,DK,61,0,37,0,0,0,46
2007-06-01,DK,64,9,0,0,0,0,0
2007-07-01,DK,72,0,0,0,0,0,0
2007-08-01,DK,60,10,0,0,0,0,20
2007-09-01,DK,50,0,28,0,0,0,0
2007-10-01,DK,38,0,0,0,0,0,0
2007-11-01,DK,28,7,0,0,13,0,0
2007-12-01,DK,32,0,0,0,0,13,0
2008-01-01,DK,29,0,0,0,0,0,0
2008-02-01,DK,42,0,0,0,0,0,13
2008-03-01,DK,35,0,53,0,0,0,0
2008-04-01,DK,49,13,0,0,0,0,0
2008-05-01,DK,34,9,0,0,0,0,17
2008-06-01,DK,50,19,0,0,0,0,0
2008-07-01,DK,78,10,0,0,0,0,19
2008-08-01,DK,49,0,0,0,0,0,0
2008-09-01,DK,44,10,0,0,0,13,0
2008-10-01,DK,39,13,0,12,0,0,0
2008-11-01,DK,31,0,0,0,0,0,11
2008-12-01,DK,35,10,0,0,0,0,0
2009-01-01,DK,38,11,0,0,0,0,0
2009-02-01,DK,33,0,0,0,0,0,0
2009-03-01,DK,47,0,0,0,0,11,0
2009-04-01,DK,44,0,0,0,0,0,0
2009-05-01,DK,51,8,0,0,12,0,0
2009-06-01,DK,71,12,15,0,0,11,58
2009-07-01,DK,75,22,0,0,0,0,0
2009-08-01,DK,63,0,0,0,0,0,0
2009-09-01,DK,75,0,22,0,0,11,0
2009-10-01,DK,48,0,15,0,0,0,0
2009-11-01,DK,52,0,0,0,0,0,0
2009-12-01,DK,37,0,0,0,0,23,0
2010-01-01,DK,43,0,0,18,0,0,0
2010-02-01,DK,40,11,0,0,0,8,0
2010-03-01,DK,48,0,0,0,0,9,0
2010-04-01,DK,71,10,0,12,0,0,0
2010-05-01,DK,52,0,0,13,0,0,0
2010-06-01,DK,64,0,38,20,13,0,0
2010-07-01,DK,77,0,0,0,0,0,0
2010-08-01,DK,44,10,0,0,0,0,0
2010-09-01,DK,41,16,0,0,10,0,0
2010-10-01,DK,49,0,41,0,0,0,0
2010-11-01,DK,38,0,0,0,0,0,15
2010-12-01,DK,33,9,0,38,0,0,0
2011-01-01,DK,32,0,0,0,0,0,0
2011-02-01,DK,39,12,0,0,16,0,0
2011-03-01,DK,35,0,0,0,0,9,0
2011-04-01,DK,40,0,0,0,6,0,0
2011-05-01,DK,42,6,0,6,0,0,0
2011-06-01,DK,47,0,13,0,0,0,0
2011-07-01,DK,56,4,0,0,0,0,0
2011-08-01,DK,54,9,0,6,0,7,0
2011-09-01,DK,42,0,12,5,17,0,41
2011-10-01,DK,47,14,26,0,0,7,13
2011-11-01,DK,30,10,0,0,0,0,0
2011-12-01,DK,35,0,0,0,0,0,0
2012-01-01,DK,40,7,0,0,0,0,0
2012-02-01,DK,38,0,0,0,0,11,0
2012-03-01,DK,45,0,0,0,0,0,0
2012-04-01,DK,48,4,0,0,0,12,0
2012-05-01,DK,51,3,0,7,0,0,6
2012-06-01,DK,50,7,7,0,0,0,0
2012-07-01,DK,66,20,0,0,0,0,0
2012-08-01,DK,57,7,0,0,0,5,0
2012-09-01,DK,49,0,0,0,0,0,10
2012-10-01,DK,45,3,0,0,5,7,8
2012-11-01,DK,31,11,0,0,0,0,0
2012-12-01,DK,30,0,0,0,0,0,0
2013-01-01,DK,36,9,0,0,0,0,6
2013-02-01,DK,31,0,0,0,0,0,0
2013-03-01,DK,32,7,0,7,0,0,0
2013-04-01,DK,43,8,11,0,0,0,0
2013-05-01,DK,46,6,0,0,0,0,0
2013-06-01,DK,55,10,22,0,0,0,0
2013-07-01,DK,71,5,25,5,0,0,0
2013-08-01,DK,52,0,0,5,0,5,0
2013-09-01,DK,47,7,15,0,0,0,0
2013-10-01,DK,39,0,7,0,0,0,0
2013-11-01,DK,35,8,0,0,0,0,5
2013-12-01,DK,31,0,0,0,0,0,0
2014-01-01,DK,30,4,0,0,0,0,10
2014-02-01,DK,32,4,0,0,0,0,0
2014-03-01,DK,41,14,0,0,0,0,0
2014-04-01,DK,47,10,0,0,0,6,12
2014-05-01,DK,50,0,0,0,0,0,0
2014-06-01,DK,56,13,11,0,0,0,0
2014-07-01,DK,77,8,26,5,0,0,0
2014-08-01,DK,69,7,0,0,0,0,0
2014-09-01,DK,48,0,0,0,0,0,0
2014-10-01,DK,43,7,0,5,0,0,5
2014-11-01,DK,35,4,0,0,0,0,0
2014-12-01,DK,34,0,0,9,0,0,0
2015-01-01,DK,35,0,0,0,10,0,0
2015-02-01,DK,35,5,0,0,0,0,0
2015-03-01,DK,47,7,0,10,0,11,6
2015-04-01,DK,51,11,8,0,0,0,5
2015-05-01,DK,45,7,0,0,0,0,0
2015-06-01,DK,56,9,0,6,7,0,0
2015-07-01,DK,70,9,9,0,0,0,0
2015-08-01,DK,64,6,0,0,4,0,0
2015-09-01,DK,50,5,0,0,0,0,0
2015-10-01,DK,41,3,0,0,16,0,0
2015-11-01,DK,36,10,20,0,0,7,0
2015-12-01,DK,31,5,0,0,0,0,0
2016-01-01,DK,42,4,7,0,0,4,0
2016-02-01,DK,44,7,0,8,0,0,0
2016-03-01,DK,40,0,0,0,5,4,5
2016-04-01,DK,50,5,0,0,0,0,13
2016-05-01,DK,60,9,19,5,0,0,7
2016-06-01,DK,61,9,0,0,0,0,8
2016-07-01,DK,76,8,0,0,0,0,0
2016-08-01,DK,61,8,16,0,12,0,0
2016-09-01,DK,53,8,0,0,0,0,0
2016-10-01,DK,43,5,0,0,0,0,0
2016-11-01,DK,41,7,0,0,13,6,0
2016-12-01,DK,38,7,9,0,0,0,0
2017-01-01,DK,38,5,0,0,4,0,7
2017-02-01,DK,41,4,21,0,0,0,0
2017-03-01,DK,52,8,0,0,0,8,0
2017-04-01,DK,54,16,0,0,0,0,0
2017-05-01,DK,53,0,0,0,0,0,5
2017-06-01,DK,54,10,0,0,4,0,0
2017-07-01,DK,72,8,7,0,0,7,0
2017-08-01,DK,67,3,0,0,0,0,17
2017-09-01,DK,50,12,0,7,0,0,7
2017-10-01,DK,46,5,12,6,0,8,0
2017-11-01,DK,41,4,0,3,0,0,0
2017-12-01,DK,33,9,0,9,0,0,0
2018-01-01,DK,42,10,0,0,0,0,0
2018-02-01,DK,50,7,24,0,0,0,0
2018-03-01,DK,48,7,0,0,0,0,0
2018-04-01,DK,43,5,12,0,0,0,0
2018-05-01,DK,52,7,5,0,0,0,7
2018-06-01,DK,68,9,0,3,0,0,0
2018-07-01,DK,90,9,0,9,0,0,8
2018-08-01,DK,74,16,0,5,5,0,13
2018-09-01,DK,53,5,0,8,0,0,0
2018-10-01,DK,48,0,0,0,0,0,9
2018-11-01,DK,33,12,0,3,0,3,0
2018-12-01,DK,38,4,17,6,0,6,0
2019-01-01,DK,38,0,0,0,0,0,0
2019-02-01,DK,39,5,0,4,0,0,0
2019-03-01,DK,43,5,5,3,0,0,0
2019-04-01,DK,54,4,0,0,0,0,0
2019-05-01,DK,51,8,7,0,0,0,0
2019-06-01,DK,63,6,0,0,0,4,0
2019-07-01,DK,79,7,0,0,0,0,0
2019-08-01,DK,73,5,0,0,0,0,0
2019-09-01,DK,49,5,0,0,0,0,0
2019-10-01,DK,46,2,0,0,0,0,0
2019-11-01,DK,39,3,0,0,0,0,4
2019-12-01,DK,35,2,6,0,0,0,0
2020-01-01,DK,37,3,0,0,0,0,3
2020-02-01,DK,43,8,8,9,0,0,3
2020-03-01,DK,57,4,0,0,0,0,0
2020-04-01,DK,35,10,0,0,0,0,0
2020-05-01,DK,40,7,11,0,7,0,0
2020-06-01,DK,58,7,0,0,4,5,0
2020-07-01,DK,72,9,0,0,3,0,3
2020-08-01,DK,59,10,6,0,0,0,0
2020-09-01,DK,47,10,0,3,3,0,0
2020-10-01,DK,47,2,0,0,0,0,0
2020-11-01,DK,39,3,11,0,5,0,0
2020-12-01,DK,31,2,7,0,0,0,0
2021-01-01,DK,32,5,0,0,0,0,0
2021-02-01,DK,33,0,0,0,4,0,0
2021-03-01,DK,37,4,16,0,0,0,0
2021-04-01,DK,36,8,0,0,0,4,4
2021-05-01,DK,47,0,0,0,0,0,5
2021-06-01,DK,60,12,0,0,0,0,0
2021-07-01,DK,100,49,6,0,3,3,0
2021-08-01,DK,73,6,0,0,4,0,0
2021-09-01,DK,55,3,0,0,4,0,0
2021-10-01,DK,70,7,0,0,4,0,0
2021-11-01,DK,50,4,5,4,0,0,4
2021-12-01,DK,48,2,0,0,0,5,6
2022-01-01,DK,50,6,8,0,0,0,0
2022-02-01,DK,55,9,0,0,0,0,0
2022-03-01,DK,58,6,8,0,0,0,0
2022-04-01,DK,68,5,5,9,0,0,4
2022-05-01,DK,61,11,6,0,0,0,3
2022-06-01,DK,95,14,0,0,3,3,6
2022-07-01,DK,87,9,0,0,0,5,0
2022-08-01,DK,75,2,0,0,0,4,0
2022-09-01,DK,54,8,0,6,2,0,12
