time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,FI,66,100,0,0,100,0,0
2004-02-01,FI,81,0,0,100,0,0,0
2004-03-01,FI,97,0,0,0,0,0,0
2004-04-01,FI,84,0,0,24,0,0,0
2004-05-01,FI,55,0,0,14,0,0,0
2004-06-01,FI,78,0,47,0,0,0,0
2004-07-01,FI,83,0,0,0,0,0,0
2004-08-01,FI,85,56,0,28,0,0,0
2004-09-01,FI,62,0,0,0,0,100,0
2004-10-01,FI,65,0,100,0,0,0,87
2004-11-01,FI,52,39,0,0,0,99,0
2004-12-01,FI,59,52,0,0,14,0,49
2005-01-01,FI,66,0,0,0,0,0,0
2005-02-01,FI,69,27,0,0,28,0,0
2005-03-01,FI,76,23,0,0,0,33,0
2005-04-01,FI,63,0,0,0,0,0,75
2005-05-01,FI,41,0,0,0,0,0,0
2005-06-01,FI,80,20,40,18,0,0,0
2005-07-01,FI,63,0,0,27,12,0,0
2005-08-01,FI,63,58,59,11,0,0,0
2005-09-01,FI,57,0,0,0,21,46,0
2005-10-01,FI,41,0,0,12,0,0,0
2005-11-01,FI,43,0,0,0,0,0,0
2005-12-01,FI,36,0,0,0,0,0,0
2006-01-01,FI,62,0,0,6,15,38,0
2006-02-01,FI,56,23,0,0,0,60,0
2006-03-01,FI,61,14,0,0,9,0,0
2006-04-01,FI,50,0,0,0,0,50,100
2006-05-01,FI,50,0,0,0,0,0,0
2006-06-01,FI,58,25,0,0,0,0,0
2006-07-01,FI,59,26,0,0,0,0,0
2006-08-01,FI,38,0,0,0,0,0,0
2006-09-01,FI,37,16,0,0,0,0,0
2006-10-01,FI,38,0,0,0,0,0,0
2006-11-01,FI,34,0,38,0,0,65,66
2006-12-01,FI,34,0,0,0,0,0,0
2007-01-01,FI,42,0,0,0,0,18,0
2007-02-01,FI,37,16,0,0,7,0,0
2007-03-01,FI,44,18,0,0,0,0,0
2007-04-01,FI,43,0,58,12,0,50,0
2007-05-01,FI,36,12,0,7,0,0,0
2007-06-01,FI,51,0,0,0,0,24,0
2007-07-01,FI,45,0,32,0,14,0,0
2007-08-01,FI,42,0,16,0,0,0,0
2007-09-01,FI,34,33,42,0,0,0,0
2007-10-01,FI,40,9,0,0,0,0,0
2007-11-01,FI,33,0,0,0,0,0,0
2007-12-01,FI,32,0,0,0,0,0,0
2008-01-01,FI,48,0,33,0,4,19,20
2008-02-01,FI,52,20,0,0,0,0,0
2008-03-01,FI,53,0,0,0,0,0,0
2008-04-01,FI,41,10,15,0,17,12,0
2008-05-01,FI,33,10,0,0,0,0,0
2008-06-01,FI,43,0,0,0,0,0,0
2008-07-01,FI,43,11,0,0,0,0,0
2008-08-01,FI,38,16,0,0,0,0,0
2008-09-01,FI,34,18,22,0,0,20,0
2008-10-01,FI,27,0,0,0,0,0,0
2008-11-01,FI,31,16,22,0,0,0,0
2008-12-01,FI,32,0,24,0,0,0,22
2009-01-01,FI,34,13,0,0,0,0,0
2009-02-01,FI,39,0,0,0,0,0,12
2009-03-01,FI,32,13,0,0,0,17,0
2009-04-01,FI,32,0,0,0,0,0,0
2009-05-01,FI,39,10,0,5,0,0,0
2009-06-01,FI,48,0,0,0,0,0,0
2009-07-01,FI,41,16,0,0,0,0,0
2009-08-01,FI,31,21,0,6,4,0,22
2009-09-01,FI,36,6,0,5,0,0,0
2009-10-01,FI,36,0,0,0,5,0,0
2009-11-01,FI,37,10,16,0,0,0,11
2009-12-01,FI,34,0,19,0,0,0,18
2010-01-01,FI,45,0,0,0,0,0,0
2010-02-01,FI,54,20,0,0,4,0,0
2010-03-01,FI,50,16,0,0,0,0,0
2010-04-01,FI,56,0,0,0,0,0,0
2010-05-01,FI,43,8,0,4,0,0,0
2010-06-01,FI,51,8,0,0,4,0,0
2010-07-01,FI,44,0,0,0,0,0,0
2010-08-01,FI,51,12,0,0,4,10,0
2010-09-01,FI,45,17,0,0,0,0,0
2010-10-01,FI,59,11,0,0,8,0,0
2010-11-01,FI,53,6,11,0,0,0,13
2010-12-01,FI,52,0,11,0,0,0,0
2011-01-01,FI,78,0,10,0,0,0,0
2011-02-01,FI,60,5,0,8,0,0,0
2011-03-01,FI,58,0,0,0,0,12,7
2011-04-01,FI,62,10,0,5,4,0,0
2011-05-01,FI,53,6,8,0,0,0,0
2011-06-01,FI,59,10,0,0,5,0,0
2011-07-01,FI,63,13,0,0,3,24,0
2011-08-01,FI,57,0,8,0,0,9,9
2011-09-01,FI,58,0,0,2,0,0,0
2011-10-01,FI,67,0,0,4,0,0,18
2011-11-01,FI,63,0,0,0,0,0,0
2011-12-01,FI,52,0,0,0,2,0,0
2012-01-01,FI,76,12,4,0,2,0,0
2012-02-01,FI,70,13,0,0,0,0,0
2012-03-01,FI,71,8,0,2,0,0,0
2012-04-01,FI,78,6,0,0,0,5,0
2012-05-01,FI,56,7,0,0,0,15,0
2012-06-01,FI,100,0,26,0,3,0,0
2012-07-01,FI,38,12,15,0,0,7,9
2012-08-01,FI,26,0,0,1,0,0,0
2012-09-01,FI,26,10,0,0,0,0,0
2012-10-01,FI,26,6,5,0,0,0,0
2012-11-01,FI,26,0,9,2,0,0,0
2012-12-01,FI,26,7,0,0,0,6,0
2013-01-01,FI,27,13,0,0,3,0,8
2013-02-01,FI,26,6,0,0,0,0,0
2013-03-01,FI,29,8,5,2,0,4,0
2013-04-01,FI,25,3,0,1,0,0,0
2013-05-01,FI,25,12,6,0,0,4,15
2013-06-01,FI,28,0,0,0,0,0,0
2013-07-01,FI,29,0,0,3,0,0,0
2013-08-01,FI,30,6,0,0,5,0,0
2013-09-01,FI,25,0,0,0,0,0,0
2013-10-01,FI,25,9,0,0,0,0,0
2013-11-01,FI,18,11,0,0,2,0,0
2013-12-01,FI,23,11,0,0,3,0,0
2014-01-01,FI,27,3,0,0,0,9,0
2014-02-01,FI,28,0,0,1,0,0,11
2014-03-01,FI,23,6,5,0,2,5,0
2014-04-01,FI,26,6,0,0,0,5,0
2014-05-01,FI,22,0,4,0,0,0,11
2014-06-01,FI,26,9,6,3,4,0,0
2014-07-01,FI,31,0,0,2,4,0,12
2014-08-01,FI,29,14,0,4,0,6,0
2014-09-01,FI,27,3,0,0,0,8,0
2014-10-01,FI,20,5,0,0,0,4,0
2014-11-01,FI,26,7,0,0,0,0,0
2014-12-01,FI,24,6,0,0,0,0,8
2015-01-01,FI,26,10,0,0,0,0,5
2015-02-01,FI,25,6,0,0,0,6,0
2015-03-01,FI,25,5,0,0,2,0,6
2015-04-01,FI,26,0,0,0,0,7,0
2015-05-01,FI,25,8,8,2,0,8,0
2015-06-01,FI,28,0,0,0,0,5,0
2015-07-01,FI,29,4,0,0,0,7,0
2015-08-01,FI,29,9,4,0,0,0,0
2015-09-01,FI,26,0,5,0,0,5,0
2015-10-01,FI,24,3,0,0,0,4,0
2015-11-01,FI,24,13,0,0,0,0,9
2015-12-01,FI,27,7,0,1,3,0,0
2016-01-01,FI,26,11,6,2,0,4,0
2016-02-01,FI,29,7,0,0,0,0,0
2016-03-01,FI,24,4,0,0,0,0,0
2016-04-01,FI,20,8,0,0,0,0,0
2016-05-01,FI,26,6,6,0,0,0,0
2016-06-01,FI,29,5,0,0,0,0,0
2016-07-01,FI,29,3,0,0,0,0,0
2016-08-01,FI,24,5,0,0,0,0,0
2016-09-01,FI,27,9,0,0,0,0,15
2016-10-01,FI,25,2,0,1,0,0,6
2016-11-01,FI,22,3,0,0,2,0,0
2016-12-01,FI,26,7,0,1,0,0,6
2017-01-01,FI,29,0,0,0,0,0,0
2017-02-01,FI,24,5,0,0,2,0,0
2017-03-01,FI,25,6,4,0,0,0,0
2017-04-01,FI,28,3,0,0,1,0,0
2017-05-01,FI,26,4,0,0,1,0,0
2017-06-01,FI,31,9,0,0,0,0,0
2017-07-01,FI,32,6,0,1,0,5,0
2017-08-01,FI,33,0,0,0,2,4,0
2017-09-01,FI,28,7,9,1,0,0,0
2017-10-01,FI,26,11,0,2,0,5,0
