time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,FR,62,56,30,0,0,52,0
2004-02-01,FR,62,61,39,0,54,0,0
2004-03-01,FR,56,71,95,100,0,0,100
2004-04-01,FR,65,70,37,0,74,42,0
2004-05-01,FR,67,77,68,0,0,51,92
2004-06-01,FR,66,79,73,0,41,84,0
2004-07-01,FR,80,99,100,0,100,95,0
2004-08-01,FR,76,54,43,0,44,100,0
2004-09-01,FR,61,68,46,49,0,56,40
2004-10-01,FR,52,60,40,0,0,0,0
2004-11-01,FR,52,49,31,0,46,0,30
2004-12-01,FR,51,41,27,47,0,20,0
2005-01-01,FR,56,75,43,84,0,52,0
2005-02-01,FR,60,65,62,0,0,33,0
2005-03-01,FR,62,74,34,0,32,66,24
2005-04-01,FR,64,67,65,0,0,82,0
2005-05-01,FR,59,72,30,0,0,48,0
2005-06-01,FR,72,80,48,0,32,48,0
2005-07-01,FR,82,79,80,0,47,79,0
2005-08-01,FR,77,62,48,93,61,43,0
2005-09-01,FR,53,61,34,0,85,0,0
2005-10-01,FR,52,60,34,0,49,22,13
2005-11-01,FR,48,36,41,0,19,0,0
2005-12-01,FR,47,38,21,0,25,0,0
2006-01-01,FR,50,47,16,29,17,0,11
2006-02-01,FR,53,50,20,0,39,44,0
2006-03-01,FR,51,61,31,0,19,51,0
2006-04-01,FR,56,60,36,0,44,46,40
2006-05-01,FR,53,63,52,21,48,47,58
2006-06-01,FR,60,64,36,0,35,63,17
2006-07-01,FR,73,83,68,0,0,58,13
2006-08-01,FR,66,63,48,37,25,65,15
2006-09-01,FR,47,46,29,0,0,10,0
2006-10-01,FR,48,45,28,0,0,32,43
2006-11-01,FR,43,36,17,17,24,10,0
2006-12-01,FR,43,50,19,0,46,10,10
2007-01-01,FR,55,48,11,0,24,31,0
2007-02-01,FR,55,54,22,0,19,14,0
2007-03-01,FR,57,59,37,0,10,34,9
2007-04-01,FR,59,49,38,0,0,35,0
2007-05-01,FR,58,64,35,0,41,42,0
2007-06-01,FR,58,66,42,0,0,35,34
2007-07-01,FR,74,78,37,0,27,77,0
2007-08-01,FR,68,55,32,16,26,45,0
2007-09-01,FR,51,53,35,0,26,16,0
2007-10-01,FR,52,49,29,0,17,27,0
2007-11-01,FR,44,37,24,0,13,0,0
2007-12-01,FR,42,32,11,35,26,13,0
2008-01-01,FR,52,44,18,0,44,20,0
2008-02-01,FR,53,50,27,0,50,37,0
2008-03-01,FR,56,54,31,29,21,54,0
2008-04-01,FR,57,48,27,0,41,39,0
2008-05-01,FR,52,48,30,0,19,42,9
2008-06-01,FR,56,50,27,13,32,32,13
2008-07-01,FR,71,71,47,0,37,54,0
2008-08-01,FR,63,56,31,0,28,42,0
2008-09-01,FR,53,52,25,20,28,8,0
2008-10-01,FR,48,45,25,17,24,20,0
2008-11-01,FR,44,38,15,0,11,14,0
2008-12-01,FR,41,38,14,0,16,10,11
2009-01-01,FR,51,39,16,12,28,29,0
2009-02-01,FR,54,44,15,0,29,23,6
2009-03-01,FR,55,45,17,11,15,15,0
2009-04-01,FR,56,55,32,19,22,50,0
2009-05-01,FR,53,56,32,12,45,43,7
2009-06-01,FR,61,67,24,14,20,31,6
2009-07-01,FR,72,70,28,0,49,48,8
2009-08-01,FR,66,54,22,11,34,35,0
2009-09-01,FR,49,48,21,50,22,17,0
2009-10-01,FR,49,44,21,0,27,12,0
2009-11-01,FR,47,43,16,0,33,18,0
2009-12-01,FR,47,40,17,15,18,18,0
2010-01-01,FR,52,43,11,0,25,36,0
2010-02-01,FR,55,51,20,10,17,32,0
2010-03-01,FR,57,54,18,14,27,27,0
2010-04-01,FR,68,51,16,0,23,23,0
2010-05-01,FR,60,47,27,23,30,22,16
2010-06-01,FR,58,50,24,21,27,43,0
2010-07-01,FR,65,68,29,32,23,57,0
2010-08-01,FR,65,43,15,23,37,22,6
2010-09-01,FR,44,40,13,26,33,16,0
2010-10-01,FR,46,41,16,0,15,17,0
2010-11-01,FR,41,30,11,7,25,8,0
2010-12-01,FR,47,35,11,12,22,13,0
2011-01-01,FR,46,40,12,0,31,27,5
2011-02-01,FR,46,38,12,0,38,23,0
2011-03-01,FR,47,41,16,0,24,16,6
2011-04-01,FR,51,46,19,16,26,30,9
2011-05-01,FR,48,43,23,22,31,24,11
2011-06-01,FR,53,51,22,0,30,27,9
2011-07-01,FR,65,62,26,22,45,44,0
2011-08-01,FR,59,50,25,0,47,37,10
2011-09-01,FR,47,47,23,0,33,17,12
2011-10-01,FR,46,47,17,7,29,6,0
2011-11-01,FR,39,37,11,0,29,5,0
2011-12-01,FR,38,38,15,8,23,0,9
2012-01-01,FR,46,40,16,11,34,19,0
2012-02-01,FR,49,40,16,13,37,18,0
2012-03-01,FR,49,42,14,0,38,25,4
2012-04-01,FR,51,46,18,10,41,27,6
2012-05-01,FR,50,46,18,30,35,19,9
2012-06-01,FR,55,50,21,40,28,33,0
2012-07-01,FR,64,59,23,23,37,47,10
2012-08-01,FR,64,49,17,16,34,27,6
2012-09-01,FR,48,46,17,5,32,15,10
2012-10-01,FR,45,39,17,18,43,12,5
2012-11-01,FR,37,30,10,12,30,11,0
2012-12-01,FR,39,33,12,8,12,12,0
2013-01-01,FR,50,39,13,0,19,17,2
2013-02-01,FR,50,37,11,0,29,10,3
2013-03-01,FR,53,45,16,8,20,16,5
2013-04-01,FR,52,41,19,14,33,13,6
2013-05-01,FR,52,44,21,5,40,24,5
2013-06-01,FR,56,46,23,0,41,30,5
2013-07-01,FR,65,52,26,21,40,35,9
2013-08-01,FR,62,44,23,14,26,19,4
2013-09-01,FR,50,40,15,7,25,15,0
2013-10-01,FR,45,37,13,0,26,6,3
2013-11-01,FR,39,30,9,17,16,4,2
2013-12-01,FR,39,35,10,18,9,8,0
2014-01-01,FR,45,39,10,14,22,18,3
2014-02-01,FR,49,35,13,7,36,19,7
2014-03-01,FR,47,40,12,0,31,21,7
2014-04-01,FR,53,44,18,18,24,14,3
2014-05-01,FR,54,44,16,18,28,24,5
2014-06-01,FR,67,56,14,18,28,30,0
2014-07-01,FR,69,57,21,30,27,31,3
2014-08-01,FR,68,47,21,0,29,31,8
2014-09-01,FR,50,46,13,0,32,17,5
2014-10-01,FR,46,38,10,0,20,10,3
2014-11-01,FR,39,28,8,15,19,11,2
2014-12-01,FR,38,37,14,5,20,10,8
2015-01-01,FR,44,39,10,7,31,12,4
2015-02-01,FR,48,44,12,6,29,17,4
2015-03-01,FR,47,41,14,22,34,16,5
2015-04-01,FR,52,45,20,14,27,17,7
2015-05-01,FR,47,44,18,20,26,32,0
2015-06-01,FR,52,43,16,20,22,31,0
2015-07-01,FR,64,56,18,32,25,37,4
2015-08-01,FR,61,44,13,19,33,27,0
