time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,GR,57,0,0,0,0,38,0
2004-02-01,GR,64,46,44,43,0,0,0
2004-03-01,GR,67,80,0,0,0,100,0
2004-04-01,GR,47,55,100,0,0,0,0
2004-05-01,GR,75,97,38,0,100,0,0
2004-06-01,GR,80,27,53,0,95,0,29
2004-07-01,GR,100,0,0,0,0,0,0
2004-08-01,GR,96,71,23,100,0,0,0
2004-09-01,GR,63,30,0,0,0,24,0
2004-10-01,GR,52,19,0,0,0,36,0
2004-11-01,GR,29,0,0,0,90,0,0
2004-12-01,GR,28,16,33,19,0,0,20
2005-01-01,GR,30,43,16,0,0,0,0
2005-02-01,GR,32,44,36,0,50,0,100
2005-03-01,GR,29,56,0,0,84,0,23
2005-04-01,GR,29,14,37,0,83,21,0
2005-05-01,GR,41,60,0,0,0,0,0
2005-06-01,GR,45,58,72,0,0,0,0
2005-07-01,GR,51,60,0,0,0,0,0
2005-08-01,GR,41,48,0,0,49,0,27
2005-09-01,GR,31,34,0,0,0,0,0
2005-10-01,GR,26,36,0,0,0,16,0
2005-11-01,GR,22,0,16,0,0,18,0
2005-12-01,GR,16,26,0,0,0,19,0
2006-01-01,GR,21,34,16,13,0,0,34
2006-02-01,GR,34,12,30,0,0,23,0
2006-03-01,GR,37,27,20,0,0,23,13
2006-04-01,GR,42,46,25,0,0,0,0
2006-05-01,GR,41,60,0,0,0,0,0
2006-06-01,GR,58,52,0,0,0,0,0
2006-07-01,GR,52,51,0,28,65,0,28
2006-08-01,GR,41,30,0,0,69,12,0
2006-09-01,GR,30,17,15,0,0,15,0
2006-10-01,GR,31,7,0,0,0,0,0
2006-11-01,GR,25,0,0,0,0,0,0
2006-12-01,GR,24,11,0,0,0,0,0
2007-01-01,GR,23,14,0,0,49,0,0
2007-02-01,GR,21,34,0,0,31,0,0
2007-03-01,GR,27,31,12,7,0,0,0
2007-04-01,GR,31,37,0,0,0,0,0
2007-05-01,GR,34,41,24,7,0,0,0
2007-06-01,GR,39,43,0,0,0,0,0
2007-07-01,GR,45,37,12,0,0,0,11
2007-08-01,GR,37,56,0,0,0,0,0
2007-09-01,GR,27,27,7,0,18,0,7
2007-10-01,GR,21,7,0,0,0,9,8
2007-11-01,GR,20,21,0,10,0,0,0
2007-12-01,GR,16,0,0,0,50,0,0
2008-01-01,GR,16,20,0,0,0,9,0
2008-02-01,GR,19,30,0,0,0,0,0
2008-03-01,GR,20,29,0,0,0,0,0
2008-04-01,GR,20,34,25,5,0,0,0
2008-05-01,GR,24,23,0,0,0,5,0
2008-06-01,GR,29,44,21,0,0,0,0
2008-07-01,GR,32,50,0,24,0,0,0
2008-08-01,GR,27,28,9,0,32,11,0
2008-09-01,GR,21,26,11,0,0,0,0
2008-10-01,GR,18,16,0,0,81,0,0
2008-11-01,GR,13,28,0,0,35,0,0
2008-12-01,GR,16,25,10,0,50,0,0
2009-01-01,GR,15,15,9,5,0,0,0
2009-02-01,GR,15,21,0,0,0,0,0
2009-03-01,GR,18,26,8,6,26,0,0
2009-04-01,GR,21,27,0,10,0,0,0
2009-05-01,GR,25,44,6,0,0,0,0
2009-06-01,GR,30,32,9,0,0,0,17
2009-07-01,GR,30,40,12,0,0,0,0
2009-08-01,GR,29,37,0,0,0,6,0
2009-09-01,GR,18,28,6,0,0,0,6
2009-10-01,GR,17,0,4,5,0,0,0
2009-11-01,GR,15,16,0,0,15,0,0
2009-12-01,GR,15,10,0,0,56,0,0
2010-01-01,GR,14,25,0,9,0,0,0
