time,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,MT,38,49,0,42,0,0,45
2004-02-01,MT,53,41,0,0,0,0,0
2004-03-01,MT,67,68,50,0,0,100,0
2004-04-01,MT,51,64,100,0,0,0,0
2004-05-01,MT,43,72,0,0,0,0,0
2004-06-01,MT,46,73,19,0,39,0,0
2004-07-01,MT,67,52,32,0,56,0,66
2004-08-01,MT,60,100,21,0,0,27,0
2004-09-01,MT,65,47,0,0,0,0,47
2004-10-01,MT,50,29,0,100,0,79,0
2004-11-01,MT,51,30,0,0,0,0,0
2004-12-01,MT,43,34,0,0,53,0,0
2005-01-01,MT,49,58,27,28,0,0,53
2005-02-01,MT,55,49,15,0,0,0,0
2005-03-01,MT,55,44,0,33,100,0,27
2005-04-01,MT,53,84,0,62,0,0,29
2005-05-01,MT,51,54,0,0,0,0,0
2005-06-01,MT,65,72,17,0,0,0,43
2005-07-01,MT,61,58,41,0,0,0,0
2005-08-01,MT,67,86,0,0,0,0,0
2005-09-01,MT,58,35,17,0,38,0,0
2005-10-01,MT,64,51,25,27,19,0,0
2005-11-01,MT,51,0,0,0,0,36,0
2005-12-01,MT,46,37,0,0,0,0,0
2006-01-01,MT,54,50,15,0,0,34,0
2006-02-01,MT,51,55,0,0,0,0,100
2006-03-01,MT,54,59,0,0,0,0,0
2006-04-01,MT,58,64,10,0,0,0,20
2006-05-01,MT,53,41,0,0,19,0,0
2006-06-01,MT,55,47,28,0,0,0,0
2006-07-01,MT,60,46,0,0,0,0,0
2006-08-01,MT,67,63,9,0,0,0,0
2006-09-01,MT,59,47,0,28,0,0,0
2006-10-01,MT,50,50,0,0,0,0,0
2006-11-01,MT,51,32,0,0,0,0,0
2006-12-01,MT,54,25,13,0,0,0,12
2007-01-01,MT,46,33,0,0,0,17,0
2007-02-01,MT,55,51,0,0,0,0,33
2007-03-01,MT,52,42,0,0,13,0,0
2007-04-01,MT,56,65,0,0,0,0,17
2007-05-01,MT,48,47,0,21,0,16,0
2007-06-01,MT,56,41,6,0,0,0,23
2007-07-01,MT,58,56,0,0,0,0,16
2007-08-01,MT,59,65,9,0,0,0,0
2007-09-01,MT,56,51,0,0,0,0,0
2007-10-01,MT,51,31,0,23,0,0,0
2007-11-01,MT,48,24,12,0,0,8,0
2007-12-01,MT,43,25,12,0,0,0,0
2008-01-01,MT,46,34,0,12,0,0,0
2008-02-01,MT,44,54,0,0,0,0,0
2008-03-01,MT,42,42,10,0,0,0,12
2008-04-01,MT,49,48,8,28,0,14,0
2008-05-01,MT,48,51,10,0,0,0,0
2008-06-01,MT,53,37,0,28,0,0,0
2008-07-01,MT,55,42,19,0,9,0,15
2008-08-01,MT,57,39,0,27,0,0,21
2008-09-01,MT,56,36,0,24,0,0,0
2008-10-01,MT,45,30,4,0,0,0,0
2008-11-01,MT,44,26,23,0,0,0,13
2008-12-01,MT,46,23,0,0,14,9,0
2009-01-01,MT,41,48,12,10,0,0,17
2009-02-01,MT,51,43,0,0,0,9,0
2009-03-01,MT,43,49,0,0,0,0,0
2009-04-01,MT,51,34,8,0,0,0,0
2009-05-01,MT,44,33,0,0,0,0,0
2009-06-01,MT,49,59,12,0,0,0,11
2009-07-01,MT,54,61,0,0,0,0,0
2009-08-01,MT,53,35,4,0,8,0,9
2009-09-01,MT,53,24,0,0,0,10,0
