date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,HU,21,26,18,16
2004-02-01,HU,22,26,17,9
2004-03-01,HU,20,24,34,14
2004-04-01,HU,22,28,18,18
2004-05-01,HU,21,26,20,16
2004-06-01,HU,23,30,26,13
2004-07-01,HU,22,33,22,15
2004-08-01,HU,21,31,18,19
2004-09-01,HU,25,35,21,17
2004-10-01,HU,26,34,25,24
2004-11-01,HU,29,36,39,29
2004-12-01,HU,30,37,30,25
2005-01-01,HU,29,35,26,18
2005-02-01,HU,31,41,25,22
2005-03-01,HU,29,36,28,16
2005-04-01,HU,30,40,28,32
2005-05-01,HU,31,39,24,26
2005-06-01,HU,30,43,27,29
2005-07-01,HU,27,37,22,21
2005-08-01,HU,28,37,26,24
2005-09-01,HU,29,40,23,22
2005-10-01,HU,30,42,22,25
2005-11-01,HU,31,40,25,29
2005-12-01,HU,36,46,20,35
2006-01-01,HU,30,42,23,32
2006-02-01,HU,33,49,24,33
2006-03-01,HU,33,53,24,38
2006-04-01,HU,30,47,25,38
2006-05-01,HU,32,49,25,42
2006-06-01,HU,30,52,21,46
2006-07-01,HU,35,58,26,62
2006-08-01,HU,35,54,31,63
2006-09-01,HU,32,52,27,49
2006-10-01,HU,38,56,30,58
2006-11-01,HU,44,61,31,56
2006-12-01,HU,51,63,30,62
2007-01-01,HU,43,63,30,65
2007-02-01,HU,47,85,32,72
2007-03-01,HU,43,66,33,69
2007-04-01,HU,43,62,30,62
2007-05-01,HU,41,62,30,61
2007-06-01,HU,42,62,31,64
2007-07-01,HU,43,67,30,69
2007-08-01,HU,44,65,34,67
2007-09-01,HU,44,62,38,57
2007-10-01,HU,49,69,41,71
2007-11-01,HU,47,68,39,65
2007-12-01,HU,54,62,39,67
2008-01-01,HU,48,76,35,69
2008-02-01,HU,48,68,41,62
2008-03-01,HU,48,65,56,61
2008-04-01,HU,47,60,58,62
2008-05-01,HU,47,59,44,66
2008-06-01,HU,45,64,39,58
2008-07-01,HU,45,62,39,60
2008-08-01,HU,47,62,43,67
2008-09-01,HU,47,56,43,60
2008-10-01,HU,49,55,46,61
2008-11-01,HU,46,54,49,60
2008-12-01,HU,59,63,47,78
2009-01-01,HU,55,64,47,77
2009-02-01,HU,55,75,46,61
2009-03-01,HU,51,58,47,65
2009-04-01,HU,45,54,39,61
2009-05-01,HU,47,56,40,65
2009-06-01,HU,48,56,39,65
2009-07-01,HU,48,54,36,64
2009-08-01,HU,51,56,37,68
2009-09-01,HU,49,54,42,62
2009-10-01,HU,50,56,41,59
2009-11-01,HU,55,57,49,61
2009-12-01,HU,60,55,42,63
2010-01-01,HU,52,54,38,62
2010-02-01,HU,56,67,37,62
2010-03-01,HU,52,52,40,54
2010-04-01,HU,48,49,36,55
2010-05-01,HU,49,51,36,55
2010-06-01,HU,45,53,34,56
2010-07-01,HU,45,46,33,50
2010-08-01,HU,44,46,32,48
2010-09-01,HU,44,46,36,51
2010-10-01,HU,45,49,35,48
2010-11-01,HU,48,53,39,49
2010-12-01,HU,59,48,39,56
2011-01-01,HU,61,68,50,71
2011-02-01,HU,60,71,49,67
2011-03-01,HU,62,75,51,70
2011-04-01,HU,60,67,46,65
2011-05-01,HU,60,68,48,68
2011-06-01,HU,58,66,48,73
2011-07-01,HU,60,67,46,77
2011-08-01,HU,58,67,44,75
2011-09-01,HU,58,65,53,70
2011-10-01,HU,62,63,51,74
2011-11-01,HU,64,71,57,77
2011-12-01,HU,76,67,60,77
2012-01-01,HU,65,67,54,75
2012-02-01,HU,70,73,57,71
2012-03-01,HU,62,65,56,69
2012-04-01,HU,65,65,54,72
2012-05-01,HU,59,66,50,72
2012-06-01,HU,57,66,46,74
2012-07-01,HU,60,66,49,71
2012-08-01,HU,56,69,46,72
2012-09-01,HU,62,64,48,68
2012-10-01,HU,61,62,48,71
2012-11-01,HU,67,64,59,71
2012-12-01,HU,76,64,58,75
2013-01-01,HU,67,70,54,74
2013-02-01,HU,70,65,56,71
2013-03-01,HU,69,63,52,68
2013-04-01,HU,59,61,48,67
2013-05-01,HU,61,63,47,62
2013-06-01,HU,64,62,51,70
2013-07-01,HU,64,64,51,66
2013-08-01,HU,62,66,49,71
