date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,IT,25,27,17,27
2004-02-01,IT,26,30,18,29
2004-03-01,IT,25,29,19,25
2004-04-01,IT,26,32,17,28
2004-05-01,IT,26,31,19,30
2004-06-01,IT,24,29,19,26
2004-07-01,IT,25,32,19,25
2004-08-01,IT,20,24,16,25
2004-09-01,IT,26,31,23,33
2004-10-01,IT,28,29,23,31
2004-11-01,IT,28,32,25,34
2004-12-01,IT,29,36,22,27
2005-01-01,IT,27,32,21,28
2005-02-01,IT,29,34,22,39
2005-03-01,IT,27,26,20,29
2005-04-01,IT,26,33,22,31
2005-05-01,IT,27,31,22,33
2005-06-01,IT,25,29,21,32
2005-07-01,IT,25,33,20,31
2005-08-01,IT,21,25,19,20
2005-09-01,IT,29,33,25,31
2005-10-01,IT,29,31,25,31
2005-11-01,IT,30,32,29,35
2005-12-01,IT,30,32,23,28
2006-01-01,IT,26,29,26,28
2006-02-01,IT,27,33,23,31
2006-03-01,IT,27,33,26,29
2006-04-01,IT,26,30,21,29
2006-05-01,IT,28,35,25,27
2006-06-01,IT,27,34,26,33
2006-07-01,IT,25,36,27,30
2006-08-01,IT,22,28,23,23
2006-09-01,IT,30,37,30,34
2006-10-01,IT,31,36,32,35
2006-11-01,IT,30,37,31,32
2006-12-01,IT,30,37,25,26
2007-01-01,IT,28,34,27,33
2007-02-01,IT,31,41,27,32
2007-03-01,IT,30,38,28,35
2007-04-01,IT,28,38,28,33
2007-05-01,IT,30,40,27,33
2007-06-01,IT,29,38,29,29
2007-07-01,IT,28,38,26,29
2007-08-01,IT,23,32,24,28
2007-09-01,IT,30,40,31,35
2007-10-01,IT,32,43,31,33
2007-11-01,IT,32,39,31,33
2007-12-01,IT,34,37,28,27
2008-01-01,IT,29,34,28,30
2008-02-01,IT,31,40,28,33
2008-03-01,IT,32,38,27,31
2008-04-01,IT,32,41,26,30
2008-05-01,IT,33,42,32,37
2008-06-01,IT,29,37,25,33
2008-07-01,IT,27,39,26,32
2008-08-01,IT,24,31,21,28
2008-09-01,IT,31,39,26,36
2008-10-01,IT,32,39,28,36
2008-11-01,IT,31,38,26,42
2008-12-01,IT,34,36,28,30
2009-01-01,IT,30,36,26,33
2009-02-01,IT,31,40,25,34
