time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,DK,60,77,36,47
2004-02-01,DK,59,81,38,53
2004-03-01,DK,63,84,38,51
2004-04-01,DK,54,82,31,51
2004-05-01,DK,53,77,35,48
2004-06-01,DK,57,78,40,46
2004-07-01,DK,51,69,36,40
2004-08-01,DK,60,79,38,39
2004-09-01,DK,66,89,40,56
2004-10-01,DK,64,84,41,51
2004-11-01,DK,71,88,48,47
2004-12-01,DK,84,75,60,54
2005-01-01,DK,68,82,46,56
2005-02-01,DK,67,99,43,51
2005-03-01,DK,65,91,41,57
2005-04-01,DK,64,88,43,42
2005-05-01,DK,64,85,45,55
2005-06-01,DK,63,82,42,40
2005-07-01,DK,56,74,43,51
2005-08-01,DK,67,85,48,53
2005-09-01,DK,67,85,45,44
2005-10-01,DK,69,87,45,56
2005-11-01,DK,73,90,51,50
2005-12-01,DK,82,75,64,47
2006-01-01,DK,68,90,49,60
2006-02-01,DK,64,83,46,51
2006-03-01,DK,64,89,47,48
2006-04-01,DK,63,83,46,47
2006-05-01,DK,59,82,48,45
2006-06-01,DK,60,83,46,51
2006-07-01,DK,56,70,45,44
2006-08-01,DK,66,87,52,53
2006-09-01,DK,65,89,48,56
2006-10-01,DK,70,91,53,55
2006-11-01,DK,73,98,58,57
2006-12-01,DK,84,81,68,54
2007-01-01,DK,68,87,52,58
2007-02-01,DK,69,97,46,57
2007-03-01,DK,62,90,47,51
2007-04-01,DK,59,88,48,54
2007-05-01,DK,63,86,47,50
2007-06-01,DK,61,84,47,51
2007-07-01,DK,54,79,41,51
2007-08-01,DK,61,84,49,47
2007-09-01,DK,65,87,50,55
2007-10-01,DK,67,87,48,50
2007-11-01,DK,67,89,54,51
2007-12-01,DK,79,74,71,55
2008-01-01,DK,65,74,49,51
2008-02-01,DK,63,88,49,52
2008-03-01,DK,63,88,50,54
2008-04-01,DK,60,80,43,50
2008-05-01,DK,56,73,45,50
2008-06-01,DK,54,76,46,53
2008-07-01,DK,50,69,38,46
2008-08-01,DK,60,77,48,51
2008-09-01,DK,57,74,42,49
2008-10-01,DK,61,67,46,49
2008-11-01,DK,63,71,51,50
2008-12-01,DK,76,57,77,48
2009-01-01,DK,60,70,51,50
2009-02-01,DK,58,68,45,50
2009-03-01,DK,59,67,46,53
2009-04-01,DK,53,63,45,43
2009-05-01,DK,54,67,45,47
2009-06-01,DK,54,66,49,44
2009-07-01,DK,48,59,40,43
2009-08-01,DK,56,66,44,46
2009-09-01,DK,57,67,43,43
2009-10-01,DK,55,64,50,47
2009-11-01,DK,56,62,51,42
2009-12-01,DK,67,59,62,41
2010-01-01,DK,55,61,47,46
2010-02-01,DK,55,63,41,40
2010-03-01,DK,56,64,42,40
2010-04-01,DK,52,58,44,42
2010-05-01,DK,51,58,44,38
2010-06-01,DK,46,54,39,36
2010-07-01,DK,39,47,33,32
2010-08-01,DK,48,54,40,41
2010-09-01,DK,50,57,38,39
2010-10-01,DK,51,54,42,40
2010-11-01,DK,52,58,42,39
2010-12-01,DK,58,46,53,37
2011-01-01,DK,66,77,56,54
2011-02-01,DK,65,79,50,53
2011-03-01,DK,67,84,50,54
2011-04-01,DK,65,75,53,54
2011-05-01,DK,66,77,52,56
2011-06-01,DK,62,76,53,53
2011-07-01,DK,60,75,51,52
2011-08-01,DK,70,78,57,55
2011-09-01,DK,65,81,54,57
2011-10-01,DK,67,82,59,58
2011-11-01,DK,76,90,64,79
2011-12-01,DK,87,80,81,63
2012-01-01,DK,71,82,65,64
2012-02-01,DK,70,83,62,57
2012-03-01,DK,69,83,61,60
2012-04-01,DK,79,93,69,77
2012-05-01,DK,66,76,65,60
2012-06-01,DK,68,84,69,66
2012-07-01,DK,62,78,55,59
2012-08-01,DK,65,81,61,64
2012-09-01,DK,78,85,68,63
2012-10-01,DK,74,79,63,60
2012-11-01,DK,75,85,68,67
2012-12-01,DK,94,73,92,67
2013-01-01,DK,77,76,64,56
2013-02-01,DK,77,87,60,66
2013-03-01,DK,77,84,68,62
2013-04-01,DK,71,82,68,69
2013-05-01,DK,71,79,66,60
2013-06-01,DK,69,78,64,69
2013-07-01,DK,63,71,57,51
2013-08-01,DK,75,80,60,66
2013-09-01,DK,77,75,58,59
2013-10-01,DK,78,78,57,57
2013-11-01,DK,73,73,65,56
2013-12-01,DK,94,71,100,56
2014-01-01,DK,77,77,63,61
2014-02-01,DK,73,79,57,57
2014-03-01,DK,74,81,60,60
2014-04-01,DK,77,75,67,59
2014-05-01,DK,68,74,64,56
2014-06-01,DK,67,76,64,61
2014-07-01,DK,62,68,57,55
2014-08-01,DK,76,80,68,66
2014-09-01,DK,72,74,59,57
2014-10-01,DK,71,79,63,60
2014-11-01,DK,74,76,68,58
2014-12-01,DK,95,71,98,56
2015-01-01,DK,74,75,63,58
2015-02-01,DK,77,86,58,62
2015-03-01,DK,77,81,58,60
2015-04-01,DK,73,78,67,62
2015-05-01,DK,76,84,67,66
2015-06-01,DK,69,76,59,61
2015-07-01,DK,62,77,56,63
2015-08-01,DK,69,76,61,59
2015-09-01,DK,71,78,53,65
2015-10-01,DK,74,78,56,64
2015-11-01,DK,77,75,67,62
2015-12-01,DK,90,73,90,68
2016-01-01,DK,72,76,59,68
2016-02-01,DK,73,83,52,65
2016-03-01,DK,74,79,60,65
2016-04-01,DK,72,80,65,66
2016-05-01,DK,68,74,63,66
2016-06-01,DK,69,76,56,65
2016-07-01,DK,68,79,54,68
2016-08-01,DK,69,77,52,66
2016-09-01,DK,68,75,51,64
2016-10-01,DK,74,80,55,65
2016-11-01,DK,69,78,60,64
2016-12-01,DK,88,75,79,69
2017-01-01,DK,69,77,51,69
2017-02-01,DK,71,83,48,69
2017-03-01,DK,71,78,50,62
2017-04-01,DK,76,88,67,71
2017-05-01,DK,67,79,58,67
2017-06-01,DK,69,85,58,66
2017-07-01,DK,69,87,52,71
2017-08-01,DK,72,81,54,68
2017-09-01,DK,74,87,57,73
2017-10-01,DK,77,83,52,77
2017-11-01,DK,74,80,64,67
2017-12-01,DK,95,77,87,78
2018-01-01,DK,73,79,54,69
2018-02-01,DK,72,84,48,67
2018-03-01,DK,76,85,63,79
2018-04-01,DK,69,81,58,68
2018-05-01,DK,71,82,63,76
2018-06-01,DK,74,80,59,73
2018-07-01,DK,72,85,57,77
2018-08-01,DK,73,85,52,75
2018-09-01,DK,73,82,55,76
2018-10-01,DK,72,86,52,71
2018-11-01,DK,77,82,65,71
2018-12-01,DK,95,81,92,86
2019-01-01,DK,71,80,52,74
2019-02-01,DK,71,87,48,71
2019-03-01,DK,71,83,52,78
2019-04-01,DK,73,80,61,71
2019-05-01,DK,69,85,58,80
2019-06-01,DK,67,84,61,83
2019-07-01,DK,67,87,50,78
2019-08-01,DK,70,85,51,80
2019-09-01,DK,71,82,48,70
2019-10-01,DK,70,82,49,73
2019-11-01,DK,78,80,60,75
2019-12-01,DK,91,76,79,80
2020-01-01,DK,72,78,49,73
2020-02-01,DK,69,83,44,73
2020-03-01,DK,74,60,48,72
2020-04-01,DK,79,60,62,83
2020-05-01,DK,82,74,60,89
2020-06-01,DK,73,80,60,79
2020-07-01,DK,76,97,54,93
2020-08-01,DK,71,79,52,79
2020-09-01,DK,71,77,47,78
2020-10-01,DK,73,76,53,77
2020-11-01,DK,76,69,59,70
2020-12-01,DK,100,62,89,84
2021-01-01,DK,78,53,55,90
2021-02-01,DK,79,58,51,85
2021-03-01,DK,73,57,54,83
2021-04-01,DK,77,76,62,92
2021-05-01,DK,74,88,61,93
2021-06-01,DK,64,81,53,81
2021-07-01,DK,66,100,53,100
