time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,GR,12,12,5,6
2004-02-01,GR,11,11,11,9
2004-03-01,GR,11,12,7,14
2004-04-01,GR,11,10,4,10
2004-05-01,GR,11,10,6,7
2004-06-01,GR,11,10,9,6
2004-07-01,GR,10,12,8,8
2004-08-01,GR,9,10,5,7
2004-09-01,GR,11,12,7,6
2004-10-01,GR,13,10,21,5
2004-11-01,GR,21,19,19,20
2004-12-01,GR,22,16,23,13
2005-01-01,GR,20,15,20,15
2005-02-01,GR,21,16,27,19
2005-03-01,GR,20,16,24,19
2005-04-01,GR,20,18,33,17
2005-05-01,GR,20,17,28,19
2005-06-01,GR,20,17,31,17
2005-07-01,GR,20,16,27,12
2005-08-01,GR,19,16,27,17
2005-09-01,GR,22,20,29,17
2005-10-01,GR,24,21,36,21
2005-11-01,GR,27,20,43,18
2005-12-01,GR,31,22,47,17
2006-01-01,GR,25,21,32,16
2006-02-01,GR,15,16,9,11
2006-03-01,GR,15,16,9,13
2006-04-01,GR,13,12,10,8
2006-05-01,GR,14,14,12,12
2006-06-01,GR,15,16,12,9
2006-07-01,GR,14,16,12,14
2006-08-01,GR,13,14,11,14
2006-09-01,GR,16,15,15,14
2006-10-01,GR,19,18,15,12
2006-11-01,GR,22,17,17,14
2006-12-01,GR,20,18,13,16
2007-01-01,GR,20,19,13,17
2007-02-01,GR,20,20,13,14
2007-03-01,GR,19,17,14,16
2007-04-01,GR,17,17,13,17
2007-05-01,GR,17,16,15,15
2007-06-01,GR,18,17,13,15
2007-07-01,GR,17,17,15,14
2007-08-01,GR,15,15,10,13
2007-09-01,GR,18,20,16,18
2007-10-01,GR,20,21,17,16
2007-11-01,GR,23,24,17,21
2007-12-01,GR,23,23,14,22
2008-01-01,GR,20,20,17,20
2008-02-01,GR,21,21,15,19
2008-03-01,GR,20,19,14,19
2008-04-01,GR,19,17,13,15
2008-05-01,GR,19,19,15,18
2008-06-01,GR,20,17,15,15
2008-07-01,GR,16,19,15,18
2008-08-01,GR,13,17,12,20
2008-09-01,GR,18,19,16,21
2008-10-01,GR,19,19,17,19
2008-11-01,GR,20,21,18,22
2008-12-01,GR,20,20,14,23
2009-01-01,GR,18,19,15,19
2009-02-01,GR,19,19,16,20
2009-03-01,GR,19,17,14,16
2009-04-01,GR,19,18,14,19
2009-05-01,GR,20,18,15,21
2009-06-01,GR,18,19,15,21
2009-07-01,GR,16,17,16,19
2009-08-01,GR,14,16,12,18
2009-09-01,GR,19,20,17,21
2009-10-01,GR,20,22,18,24
2009-11-01,GR,22,22,19,27
2009-12-01,GR,25,24,22,28
2010-01-01,GR,22,25,20,28
2010-02-01,GR,24,25,22,26
2010-03-01,GR,24,22,23,25
2010-04-01,GR,22,19,21,22
2010-05-01,GR,21,18,22,23
2010-06-01,GR,21,20,24,24
2010-07-01,GR,18,18,23,21
2010-08-01,GR,16,17,20,21
2010-09-01,GR,21,20,25,22
2010-10-01,GR,22,22,23,23
2010-11-01,GR,23,22,24,27
2010-12-01,GR,25,24,23,25
2011-01-01,GR,51,44,49,60
2011-02-01,GR,51,43,53,58
2011-03-01,GR,52,41,46,57
2011-04-01,GR,51,40,46,56
2011-05-01,GR,50,39,52,57
2011-06-01,GR,44,35,51,50
2011-07-01,GR,40,35,43,45
2011-08-01,GR,40,37,34,48
2011-09-01,GR,45,41,43,54
2011-10-01,GR,50,41,45,55
2011-11-01,GR,55,40,48,57
2011-12-01,GR,61,47,49,68
2012-01-01,GR,55,49,47,67
2012-02-01,GR,53,46,46,60
2012-03-01,GR,52,44,48,59
2012-04-01,GR,48,38,43,56
2012-05-01,GR,48,42,44,56
2012-06-01,GR,46,37,48,55
2012-07-01,GR,41,38,43,50
2012-08-01,GR,43,37,41,50
2012-09-01,GR,51,45,50,59
2012-10-01,GR,50,44,53,59
2012-11-01,GR,55,49,57,60
2012-12-01,GR,59,50,59,68
2013-01-01,GR,55,49,52,64
2013-02-01,GR,59,51,60,66
2013-03-01,GR,55,48,56,60
2013-04-01,GR,54,44,61,55
2013-05-01,GR,49,40,52,54
2013-06-01,GR,53,46,53,57
2013-07-01,GR,48,42,58,53
2013-08-01,GR,48,44,52,54
2013-09-01,GR,51,46,62,58
2013-10-01,GR,54,50,64,67
2013-11-01,GR,57,47,66,64
2013-12-01,GR,66,55,71,72
2014-01-01,GR,58,53,74,69
2014-02-01,GR,57,56,73,63
2014-03-01,GR,59,51,65,63
2014-04-01,GR,57,48,64,60
2014-05-01,GR,55,49,68,62
2014-06-01,GR,54,51,73,62
2014-07-01,GR,52,49,70,58
2014-08-01,GR,50,49,62,55
2014-09-01,GR,57,50,75,62
2014-10-01,GR,58,53,73,64
2014-11-01,GR,59,51,77,66
2014-12-01,GR,70,60,75,80
2015-01-01,GR,57,54,70,74
2015-02-01,GR,64,58,66,66
2015-03-01,GR,62,56,75,66
2015-04-01,GR,60,50,66,56
2015-05-01,GR,57,51,76,62
2015-06-01,GR,54,50,71,64
2015-07-01,GR,52,46,69,52
2015-08-01,GR,49,50,59,55
2015-09-01,GR,53,51,100,59
2015-10-01,GR,54,49,67,58
2015-11-01,GR,53,48,66,60
2015-12-01,GR,61,55,61,65
2016-01-01,GR,65,59,79,70
2016-02-01,GR,63,59,66,63
2016-03-01,GR,64,59,55,57
2016-04-01,GR,58,53,56,60
2016-05-01,GR,57,55,52,63
2016-06-01,GR,59,57,57,64
2016-07-01,GR,55,58,53,58
2016-08-01,GR,55,58,47,57
2016-09-01,GR,60,59,46,61
2016-10-01,GR,58,58,47,63
2016-11-01,GR,59,57,48,63
2016-12-01,GR,68,64,43,72
2017-01-01,GR,61,59,44,68
2017-02-01,GR,61,61,42,66
2017-03-01,GR,63,54,59,63
2017-04-01,GR,60,59,52,65
2017-05-01,GR,60,60,51,66
2017-06-01,GR,62,61,46,66
2017-07-01,GR,59,64,41,62
2017-08-01,GR,57,67,38,68
2017-09-01,GR,63,64,50,63
2017-10-01,GR,61,62,66,71
2017-11-01,GR,60,57,56,62
2017-12-01,GR,72,72,43,78
2018-01-01,GR,63,66,38,71
2018-02-01,GR,68,72,40,68
2018-03-01,GR,67,65,42,70
2018-04-01,GR,62,64,38,67
2018-05-01,GR,63,67,43,69
2018-06-01,GR,64,69,44,66
2018-07-01,GR,66,77,46,66
2018-08-01,GR,64,80,41,68
2018-09-01,GR,66,74,43,68
2018-10-01,GR,64,68,43,69
2018-11-01,GR,63,64,37,72
2018-12-01,GR,76,80,42,85
2019-01-01,GR,65,70,37,74
2019-02-01,GR,65,74,41,72
2019-03-01,GR,72,75,50,69
2019-04-01,GR,69,71,53,72
2019-05-01,GR,63,71,43,64
2019-06-01,GR,66,78,53,69
2019-07-01,GR,68,85,42,73
2019-08-01,GR,71,91,43,67
2019-09-01,GR,69,75,47,71
2019-10-01,GR,67,76,42,73
