date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,AT,79,78,89,57,43,73,58
2004-02-01,AT,84,76,78,29,93,19,26
2004-03-01,AT,94,65,79,26,100,46,64
2004-04-01,AT,84,60,85,24,38,64,40
2004-05-01,AT,76,59,89,22,40,50,60
2004-06-01,AT,81,63,96,100,0,44,100
2004-07-01,AT,80,67,100,47,36,100,70
2004-08-01,AT,93,60,89,12,45,72,49
2004-09-01,AT,73,62,77,15,90,22,30
2004-10-01,AT,78,57,65,0,30,39,36
2004-11-01,AT,71,66,57,16,31,0,37
2004-12-01,AT,69,64,86,32,76,36,50
2005-01-01,AT,66,71,80,16,49,0,42
2005-02-01,AT,69,67,66,36,59,27,89
2005-03-01,AT,74,57,65,51,0,25,73
2005-04-01,AT,71,50,63,18,0,41,53
2005-05-01,AT,80,55,77,19,70,43,44
2005-06-01,AT,68,53,70,21,54,57,44
2005-07-01,AT,75,57,65,24,23,91,48
2005-08-01,AT,76,63,81,25,22,69,47
2005-09-01,AT,77,53,57,17,0,40,41
2005-10-01,AT,67,55,61,9,47,0,35
2005-11-01,AT,77,56,57,0,36,20,31
2005-12-01,AT,62,58,62,36,16,16,25
2006-01-01,AT,62,68,63,19,37,0,41
2006-02-01,AT,62,63,60,21,20,26,40
2006-03-01,AT,64,54,52,12,19,46,56
2006-04-01,AT,61,46,68,18,38,31,44
2006-05-01,AT,66,50,64,29,0,50,25
2006-06-01,AT,72,47,68,30,47,31,46
2006-07-01,AT,77,53,83,26,16,69,78
2006-08-01,AT,74,53,74,14,19,29,59
2006-09-01,AT,65,49,72,24,28,31,21
2006-10-01,AT,62,52,64,6,39,9,38
2006-11-01,AT,62,54,59,18,21,21,36
2006-12-01,AT,63,56,60,17,29,23,28
2007-01-01,AT,64,58,63,21,6,20,28
2007-02-01,AT,64,57,62,20,36,23,27
2007-03-01,AT,62,47,47,22,24,23,30
2007-04-01,AT,60,40,50,25,33,32,37
2007-05-01,AT,62,43,56,27,26,30,42
2007-06-01,AT,67,45,63,25,47,32,47
2007-07-01,AT,65,47,67,22,34,73,49
2007-08-01,AT,63,47,58,19,24,40,52
2007-09-01,AT,67,46,56,22,26,17,36
2007-10-01,AT,69,44,52,16,18,12,40
2007-11-01,AT,59,55,55,16,29,15,43
2007-12-01,AT,59,49,55,20,14,5,26
2008-01-01,AT,58,53,54,23,35,23,37
2008-02-01,AT,58,45,54,22,14,14,36
2008-03-01,AT,63,42,41,14,22,27,34
2008-04-01,AT,63,40,44,12,7,32,40
2008-05-01,AT,61,46,53,21,32,34,52
2008-06-01,AT,65,45,56,9,16,56,62
2008-07-01,AT,65,44,57,23,23,33,43
2008-08-01,AT,60,39,58,21,20,37,42
2008-09-01,AT,62,38,46,15,19,12,31
2008-10-01,AT,59,39,45,13,30,12,26
2008-11-01,AT,60,39,51,15,22,20,23
2008-12-01,AT,61,40,46,11,23,17,31
2009-01-01,AT,56,46,47,16,29,12,32
2009-02-01,AT,59,38,34,12,15,20,31
2009-03-01,AT,57,35,38,17,24,14,28
2009-04-01,AT,60,32,35,10,7,20,39
2009-05-01,AT,61,30,41,17,15,20,41
2009-06-01,AT,57,35,43,18,22,23,36
2009-07-01,AT,67,36,49,13,22,45,43
2009-08-01,AT,62,34,52,12,23,35,47
2009-09-01,AT,63,36,46,8,21,16,48
2009-10-01,AT,63,34,40,10,27,9,32
2009-11-01,AT,63,36,44,10,26,15,34
2009-12-01,AT,55,36,38,14,23,12,63
2010-01-01,AT,53,45,40,12,24,12,33
2010-02-01,AT,61,36,33,10,24,25,31
2010-03-01,AT,67,34,38,7,21,14,29
2010-04-01,AT,58,28,37,13,27,15,44
2010-05-01,AT,64,28,38,9,15,15,44
2010-06-01,AT,62,28,43,15,33,27,35
