country_code,rmse_min,rmse_mean,transform
AT,1978043.3783095493,1978043.3783095493,sqrt
BE,368828.977374045,368828.977374045,sqrt
CY,240891.39120856056,240891.39120856056,std
CZ,456888.77980346733,456888.77980346733,std
DE,3218691.4597044946,3218691.4597044946,std
DK,475586.71053736197,475586.71053736197,std
ES,3916546.5860163923,3916546.5860163923,sqrt
FI,231626.90600758736,231626.90600758736,std
FR,3664773.1633794555,3664773.1633794555,std
GR,1848696.0737045147,1848696.0737045147,sqrt
HR,1172046.798927435,1172046.798927435,sqrt
HU,270526.00483013113,270526.00483013113,std
IT,3088071.091889602,3088071.091889602,sqrt
LT,59343.75656906589,59343.75656906589,sqrt
LU,31029.970580564084,31029.970580564084,sqrt
LV,41599.61704811472,41599.61704811472,std
MT,81994.84027708125,81994.84027708125,std
NL,996297.9125071097,996297.9125071097,sqrt
PL,689273.7983979383,689273.7983979383,sqrt
PT,829286.1271556468,829286.1271556468,sqrt
RO,244247.11545184255,244247.11545184255,sqrt
SE,497881.70269449416,497881.70269449416,std
SI,203946.34391561017,203946.34391561017,sqrt
SK,142301.37582345324,142301.37582345324,std
