country_code,rmse_min,rmse_mean,transform
AT,1986525.067990517,1986525.067990517,std
BE,352916.7241219401,352916.7241219401,sqrt
CY,236567.98385630155,236567.98385630155,std
CZ,453529.0939130014,453529.0939130014,std
DE,3053874.9276891556,3053874.9276891556,std
DK,461616.8413901519,461616.8413901519,std
ES,3703826.9075936275,3703826.9075936275,sqrt
FI,229144.8747363228,229144.8747363228,std
FR,3468819.256488661,3468819.256488661,std
GR,1730326.9438238582,1730326.9438238582,sqrt
HR,1094726.0304124122,1094726.0304124122,sqrt
HU,261476.1844380708,261476.1844380708,std
IT,3032433.5445925808,3032433.5445925808,sqrt
LT,57128.069582450225,57128.069582450225,sqrt
LU,29888.2265473228,29888.2265473228,sqrt
LV,39076.250916128614,39076.250916128614,std
MT,76327.84735215752,76327.84735215752,std
NL,993139.7589573377,993139.7589573377,sqrt
PL,650935.2650349728,650935.2650349728,sqrt
PT,781917.191824616,781917.191824616,sqrt
RO,241521.2096229718,241521.2096229718,sqrt
SE,470636.89226051973,470636.89226051973,sqrt
SI,196271.015514206,196271.015514206,sqrt
SK,135174.10982208193,135174.10982208193,std
