country_code,date,mean,sd,preds,resid_total_hat
AT,2023-03-01,8345111.957286432,3591780.1839554687,0.7865583851159573,11170256.778469943
AT,2023-04-01,8345111.957286432,3591780.1839554687,0.08895554403120859,8664620.717590706
BE,2023-03-01,2593625.718592965,1283377.0246622004,-0.407259623046773,2070958.0753021482
BE,2023-04-01,2593625.718592965,1283377.0246622004,0.25098438961072744,2915733.317768239
HR,2023-02-01,4758302.178423236,6729127.986693246,-0.4546947474413039,1698603.028013541
HR,2023-03-01,4758302.178423236,6729127.986693246,-0.45215292277072855,1715707.2915415769
HR,2023-04-01,4758302.178423236,6729127.986693246,-0.2588816508512132,3016254.4164389884
CY,2023-03-01,1198283.5755395684,785522.802668609,-0.44730079853458915,846918.5986387711
CY,2023-04-01,1198283.5755395684,785522.802668609,0.043284427029979394,1232284.4799720626
CZ,2023-03-01,3556310.5393700786,1558706.1218570753,0.7086744422594207,4660925.730923486
CZ,2023-04-01,3556310.5393700786,1558706.1218570753,0.46850000620837423,4286564.367137149
DK,2023-03-01,2473118.6030927836,1672630.585738389,-0.23515888195866214,2079784.664620682
DK,2023-04-01,2473118.6030927836,1672630.585738389,-0.15096895940250554,2220603.3040990555
FI,2023-03-01,1434968.077889447,573509.748568988,0.49302660931119735,1717723.6446333327
FI,2023-04-01,1434968.077889447,573509.748568988,0.2252094260299533,1564127.8791872517
FR,2023-02-01,33079347.095541403,22206369.547014553,-0.5387998223304749,21114559.129005097
FR,2023-03-01,33079347.095541403,22206369.547014553,-0.5588991641998291,20668225.71580243
FR,2023-04-01,33079347.095541403,22206369.547014553,-0.4004287123680115,24187279.131462142
DE,2023-03-01,27037298.763819095,10382393.136102002,0.09881695129452506,28063255.200669896
DE,2023-04-01,27037298.763819095,10382393.136102002,0.9510030377559288,36910986.175428405
GR,2023-03-01,6430232.845714286,6691421.818063487,-0.3832065316161374,3866036.299233629
GR,2023-04-01,6430232.845714286,6691421.818063487,0.09986657209907727,7098482.205153262
HU,2023-03-01,1878681,1034238.0544023956,-0.4174866277068109,1446900.4424214906
HU,2023-04-01,1878681,1034238.0544023956,-0.0884353112055653,1787217.8357982857
IT,2023-03-01,28161073.012562815,20448051.29953502,-0.5480114655267,16955306.452739485
IT,2023-04-01,28161073.012562815,20448051.29953502,-0.09274908479635174,26264534.96866209
LV,2023-02-01,291765.65560165973,144205.54365194053,0.187027707695961,318736.087867932
LV,2023-03-01,291765.65560165973,144205.54365194053,-0.21334220468997955,261000.52699043765
LV,2023-04-01,291765.65560165973,144205.54365194053,0.17144031822681427,316488.29989541916
LT,2023-03-01,426701.8695652174,262851.16660404904,9.277249536384924e-4,426945.72315156896
LT,2023-04-01,426701.8695652174,262851.16660404904,0.2222567443054444,485122.3140915213
LU,2023-03-01,215941.93718592965,141984.36596476633,-0.4758900749929989,148372.9866191236
LU,2023-04-01,215941.93718592965,141984.36596476633,-0.250787354608423,180334.0536498717
MT,2023-03-01,661883.9367088608,283430.3822323088,-0.24522457491929683,592379.841706729
MT,2023-04-01,661883.9367088608,283430.3822323088,0.26009075496083106,735601.558802499
NL,2023-03-01,7026981.4673366835,3979093.835709412,0.2556123730901363,8044087.085430699
NL,2023-04-01,7026981.4673366835,3979093.835709412,0.7434323306588506,9985168.471528398
PL,2023-03-01,5352492.4338842975,2708003.5229820698,-0.42125442919662637,4211733.955548032
PL,2023-04-01,5352492.4338842975,2708003.5229820698,-0.17458496477262986,4879715.734220316
PT,2023-03-01,3868359.203517588,2190972.5598243456,0.32345058225829626,4577030.553704722
PT,2023-04-01,3868359.203517588,2190972.5598243456,0.8363643187616044,5700810.475940445
RO,2023-03-01,1725123.622047244,953187.6391218336,0.17692738016429366,1893768.6138420582
RO,2023-04-01,1725123.622047244,953187.6391218336,0.20578242796634894,1921272.888733247
SK,2023-03-01,976643.3181818182,405505.042646189,0.28775200838984283,1093328.2086154679
SK,2023-04-01,976643.3181818182,405505.042646189,-0.008813092837575365,973069.5645948724
SI,2023-03-01,844221.1510791366,540624.6509775436,-0.2503694405277953,708865.2596783545
SI,2023-04-01,844221.1510791366,540624.6509775436,0.12247966040209213,910436.6747358658
ES,2023-03-01,26244102.57286432,15478495.943292772,0.1872946398760877,29143141.896386825
ES,2023-04-01,26244102.57286432,15478495.943292772,0.681943266729,36799558.66048497
SE,2023-03-01,3387089.2921914356,2399645.5309144026,0.11495490517476831,3662940.316650757
SE,2023-04-01,3387089.2921914356,2399645.5309144026,0.1955657983348559,3856377.88616538
