geo,ma1,sigma,ar1,sma1,drift,ma2,sar1
AT,-0.7679800014637796,0.012181230872185707,NA,NA,NA,NA,NA
BE,-0.6399413702359672,0.013388538029655955,0.8978046723145352,NA,NA,NA,NA
BG,0.7683795036663429,0.04348661366411148,NA,NA,NA,NA,NA
CY,NA,0.019491887525578257,-0.65802988385053,NA,NA,NA,NA
CZ,-0.6004791301977987,0.011148100106954013,0.8617738124782615,0.6812759046779121,NA,NA,NA
DE,0.98119921400516,0.012755561384911627,NA,NA,0.0454852484004839,NA,NA
DK,0.40263615181108087,0.01455645233075267,NA,NA,0.05335450869346129,NA,NA
EE,NA,0.01951053847112384,NA,NA,0.05621022466001586,NA,NA
ES,0.23222699885973067,0.010077781763450918,NA,NA,NA,0.8558203552477477,NA
FI,NA,0.017462604363685623,0.25485134855759467,NA,0.05100182014348953,NA,NA
FR,-0.7244239673821489,0.0076692539785664674,NA,0.49450442063864464,NA,NA,NA
HR,-0.7124218307163491,0.009439646327724623,NA,NA,NA,NA,NA
HU,-0.5962076867431734,0.008265408107285576,NA,NA,NA,NA,NA
IT,NA,0.025387041647972154,NA,NA,0.06410649498440342,NA,-0.5554036774342214
LT,NA,0.008231251213441718,0.47155572172936633,-0.5903287704092164,0.05188226204817088,NA,NA
LU,NA,0.017988593892271955,NA,NA,0.06674869097221033,NA,NA
LV,NA,0.02147984549039942,0.43649609734958056,NA,NA,NA,NA
MT,-0.4045944992752796,0.00816258426917862,0.8555647981528047,NA,NA,NA,0.3512398361009276
NL,0.7716833274820074,0.012156941100294591,NA,NA,0.05252869816310521,NA,NA
PL,-0.6537255591176032,0.007963870316550223,NA,NA,NA,NA,NA
PT,NA,0.02546725679237932,NA,-0.33444193598903593,0.05929620869226161,NA,NA
RO,-0.7671744154476184,0.011436319105358791,NA,NA,NA,NA,NA
SI,-0.5340031525213311,0.006200272106689483,NA,NA,NA,NA,0.43907751957101526
SK,NA,0.04945026001678774,NA,0.5632662687596461,NA,NA,NA
