geo,p,d,q,P,D,Q,Frequency
AT,0,2,1,NA,NA,NA,NA
BE,1,1,1,NA,NA,NA,NA
BG,0,1,1,NA,NA,NA,NA
CY,1,2,0,NA,NA,NA,NA
CZ,1,1,1,0,0,1,12
DE,0,1,1,NA,NA,NA,NA
DK,0,1,1,NA,NA,NA,NA
EE,0,1,0,NA,NA,NA,NA
EL,0,1,0,NA,NA,NA,NA
ES,0,1,2,NA,NA,NA,NA
FI,1,1,0,NA,NA,NA,NA
FR,0,2,1,0,0,1,12
HR,0,2,1,NA,NA,NA,NA
HU,0,2,1,NA,NA,NA,NA
IE,0,1,0,NA,NA,NA,NA
IT,0,1,0,1,0,0,12
LT,1,1,0,0,0,1,12
LU,0,1,0,NA,NA,NA,NA
LV,1,1,0,NA,NA,NA,NA
MT,1,1,1,1,0,0,12
NL,0,1,1,NA,NA,NA,NA
PL,0,2,1,NA,NA,NA,NA
PT,0,1,0,0,0,1,12
RO,0,2,1,NA,NA,NA,NA
SI,0,2,1,1,0,0,12
SK,0,1,0,0,0,1,12
