geo,ma1,ma2,sigma,ar1,ar2,drift
AT,-0.25271774632690686,-0.44731359640845453,0.006741849551241621,NA,NA,NA
BE,-0.7699393344159956,NA,0.01356789561264851,NA,NA,NA
BG,0.7953367054015968,NA,0.03735631590610776,NA,NA,NA
CY,0.21848060810866868,0.5708281429276213,0.02561641581997593,NA,NA,NA
CZ,NA,NA,0.01091949704580572,-0.5602310626937872,NA,NA
DE,NA,NA,0.014242653341236287,0.7549539804263651,-0.49603710518198385,0.07359534457932075
DK,0.4181330505639781,NA,0.015066060867696726,NA,NA,0.0670735320053309
EE,NA,NA,0.018670523474690566,NA,NA,0.07071186044000656
EL,NA,NA,0.04948106535479182,NA,NA,0.05729023407785734
ES,-0.49345967724249884,NA,0.009952396989578333,0.8874993047884562,NA,NA
FI,NA,NA,0.016056096381599782,NA,NA,0.07004942185032227
FR,-0.7069752448645783,NA,0.010249563779449303,NA,NA,NA
HR,-0.6588084121117941,NA,0.011756374033453802,NA,NA,NA
HU,-0.6872414857764866,NA,0.010041782624699505,NA,NA,NA
IT,-0.8594795838953485,NA,0.0233774978100453,NA,NA,NA
LT,-0.49466589728387583,NA,0.009587006958671386,NA,NA,NA
LU,NA,NA,0.022128783823847597,NA,NA,0.07186449293661132
LV,-0.5309327003443964,-0.28830217229539296,0.018511102717870744,NA,NA,NA
MT,NA,NA,0.01732987395074595,0.2619914999552736,NA,0.07427896681829338
NL,0.7568532083811749,NA,0.011927857079244967,NA,NA,0.06152164735738219
PL,-0.5914702143236137,NA,0.00917772880063707,NA,NA,NA
PT,NA,NA,0.027652946239737144,NA,NA,0.05353998422631466
RO,-0.7814446568915044,NA,0.014816180480810107,NA,NA,NA
SI,-0.5205112507559954,NA,0.008383271287181516,NA,NA,NA
