geo,date,yhat
AT,2023-01-01,147.7
BE,2023-01-01,213.6
BG,2023-01-01,228.7
CY,2023-01-01,137.1
CZ,2023-01-01,141.1
DE,2023-01-01,167.3
DK,2023-01-01,199.8
EE,2023-01-01,185.8
EL,2023-01-01,145.1
ES,2023-01-01,156.1
FI,2023-01-01,149.4
FR,2023-01-01,149.9
HR,2023-01-01,144.7
HU,2023-01-01,262.1
IE,2023-01-01,NA
IT,2023-01-01,178.3
LT,2023-01-01,165.8
LU,2023-01-01,142.7
LV,2023-01-01,211
MT,2023-01-01,117.7
NL,2023-01-01,164.8
PL,2023-01-01,165.9
PT,2023-01-01,131.2
RO,2023-01-01,241.9
SI,2023-01-01,144.3
SK,2023-01-01,169
