geo,date,yhat
AT,2023-01-01,147.9
BE,2023-01-01,210.6
BG,2023-01-01,209.4
CY,2023-01-01,139.3
CZ,2023-01-01,138.7
DE,2023-01-01,162.2
DK,2023-01-01,200.3
EE,2023-01-01,185.6
EL,2023-01-01,148.9
ES,2023-01-01,154.4
FI,2023-01-01,149.8
FR,2023-01-01,148.7
HR,2023-01-01,144.2
HU,2023-01-01,263.6
IE,2023-01-01,223.4
IT,2023-01-01,183.4
LT,2023-01-01,164.2
LU,2023-01-01,144.6
LV,2023-01-01,211
MT,2023-01-01,117.8
NL,2023-01-01,165.2
PL,2023-01-01,164.9
PT,2023-01-01,132.9
RO,2023-01-01,235.8
SI,2023-01-01,143.7
SK,2023-01-01,161.9
