geo,ar1,ar2,ma1,ma2,ma3,ma4,ma5,sigma,sma1,sar1,drift,ar3,sar2,sma2,ar4,ar5
AT,-0.6148933521804418,-0.7703819092459427,-0.016476445911363168,0.2884523112138637,-0.4809766219452486,-0.2186655745664209,0.15389885941141201,0.0027525212051729086,NA,NA,NA,NA,NA,NA,NA,NA
BE,NA,NA,-0.7909524155603302,NA,NA,NA,NA,0.0055016704882742,0.2188531569594234,NA,NA,NA,NA,NA,NA,NA
CY,0.10185885803123104,0.575207387380351,NA,NA,NA,NA,NA,0.00384199216487777,-0.6768471254346763,0.8799813017654686,0.03111448579793855,NA,NA,NA,NA,NA
CZ,0.44847933432970444,0.16172822159387304,NA,NA,NA,NA,NA,0.0012428224547028674,-1.116106828803172,1.2320197510841497,0.019473333912708536,0.028682377696712013,-0.45549039866917135,0.6274686101769413,NA,NA
DE,-0.15010133795929154,-0.5872077149996,-0.4114715733309455,0.11990383172008591,0.5238098920381389,-0.3780565148755072,NA,0.0010384494230780237,NA,NA,NA,-0.5392836362332254,NA,NA,NA,NA
DK,NA,NA,-0.793577986800974,NA,NA,NA,NA,0.006130265792004577,NA,NA,NA,NA,NA,NA,NA,NA
EL,NA,NA,0.4853993687768289,0.11162591527431823,NA,NA,NA,0.008805110886519878,-0.1512160603829594,NA,0.016636366470591864,NA,NA,-0.16333110178620075,NA,NA
ES,-0.5790550252164055,NA,-0.0501264157218471,-0.603283476738671,NA,NA,NA,6.027355650705497e-4,0.18746923900310117,NA,NA,NA,NA,NA,NA,NA
FI,-0.8633832469080774,NA,0.13584367180412235,-0.7715395857617439,NA,NA,NA,0.003220673986613564,NA,NA,NA,NA,NA,NA,NA,NA
FR,NA,NA,-0.7247687839168709,NA,NA,NA,NA,0.002966266271680016,0.32117207033710343,NA,NA,NA,NA,0.12412245709706543,NA,NA
HR,NA,NA,-0.6815106283176026,-0.14955143426221779,NA,NA,NA,0.0033556145781861117,0.13511295450141703,NA,NA,NA,NA,NA,NA,NA
HU,0.2370593041015645,-0.3009461977757776,-0.4899525569654014,NA,NA,NA,NA,0.0023023237496430844,NA,NA,NA,NA,NA,NA,NA,NA
IT,NA,NA,-0.95665184775213985,0.15460452664603128,NA,NA,NA,0.00866787264368336,0.2815739208744105,NA,NA,NA,NA,0.2472172579711258,NA,NA
LT,NA,NA,-0.7315920740570593,NA,NA,NA,NA,0.0035976947269044956,NA,NA,NA,NA,NA,NA,NA,NA
LU,NA,NA,0.04063631163648273,0.19265877578572016,0.25919592448076534,NA,NA,0.009145077294124474,NA,NA,0.01893091456006254,NA,NA,NA,NA,NA
LV,-0.5903912544496991,NA,NA,NA,NA,NA,NA,0.0021274276836023534,0.27831177130130397,NA,NA,NA,NA,0.14873601935895345,NA,NA
MT,NA,NA,NA,NA,NA,NA,NA,0.00638062460032331,NA,NA,0.011299859341138651,NA,NA,NA,NA,NA
NL,NA,NA,-0.5676540841221747,-0.36065747328410447,0.19708566918023235,NA,NA,0.005183344172420448,NA,NA,NA,NA,NA,NA,NA,NA
PL,NA,NA,-0.6694865552080214,-0.09287363038453555,NA,NA,NA,0.0018435187219583015,0.22694277260211884,NA,NA,NA,NA,NA,NA,NA
PT,0.8851816643705047,NA,-0.7320264634752969,NA,NA,NA,NA,0.008096909474082151,0.21169546867772127,NA,NA,NA,NA,NA,NA,NA
RO,0.891382179610096,0.17370516163377592,-1.743984690573382,0.8869358090431534,NA,NA,NA,0.002428817357882826,0.1772576422255026,NA,NA,-0.5734996706567623,NA,NA,NA,NA
SE,-1.0119435428875645,-0.4672509749430021,0.10183690110754039,-0.4618189371477063,NA,NA,NA,0.0014927671377174153,-0.6596988709035831,0.7165151427379711,NA,-0.15031435234406215,NA,0.23671620324985548,-0.2048363447840687,-0.2386579899775702
SI,NA,NA,-0.6320840558569554,-0.10905767975806276,NA,NA,NA,0.0014538326462304367,0.22086860042989911,NA,NA,NA,NA,NA,NA,NA
SK,-0.6388762790876926,-0.24185079770861606,-0.3383977197348159,NA,NA,NA,NA,0.01234143468434686,0.28029908560057776,NA,NA,-0.4132766209281326,NA,0.27775306696824775,-0.5205468694664508,-0.4777731505581995
