country_code,start,end,timestamp,period,val
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T00:00:00Z,1,23.86
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T01:00:00Z,2,22.39
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T02:00:00Z,3,20.59
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T03:00:00Z,4,16.81
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T04:00:00Z,5,17.41
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T05:00:00Z,6,17.02
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T06:00:00Z,7,15.86
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T07:00:00Z,8,18.16
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T08:00:00Z,9,17.73
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T09:00:00Z,10,19.77
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T10:00:00Z,11,23.75
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T11:00:00Z,12,26.03
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T12:00:00Z,13,27.06
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T13:00:00Z,14,26.59
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T14:00:00Z,15,25
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T15:00:00Z,16,20.06
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T16:00:00Z,17,19.43
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T17:00:00Z,18,24.57
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T18:00:00Z,19,33.11
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T19:00:00Z,20,35.34
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T20:00:00Z,21,33.07
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T21:00:00Z,22,29.52
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T22:00:00Z,23,30.1
FR,2015-12-31T23:00:00Z,2016-01-01T23:00:00Z,2016-01-01T23:00:00Z,24,24.57
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T00:00:00Z,1,22.2
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T01:00:00Z,2,16.57
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T02:00:00Z,3,15.35
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T03:00:00Z,4,12.77
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T04:00:00Z,5,11.27
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T05:00:00Z,6,11.91
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T06:00:00Z,7,12.62
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T07:00:00Z,8,14.17
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T08:00:00Z,9,17.73
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T09:00:00Z,10,20.29
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T10:00:00Z,11,24.3
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T11:00:00Z,12,25.05
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T12:00:00Z,13,29.31
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T13:00:00Z,14,26.31
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T14:00:00Z,15,22.63
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T15:00:00Z,16,19.61
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T16:00:00Z,17,20.65
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T17:00:00Z,18,34.21
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T18:00:00Z,19,42.23
FR,2016-01-01T23:00:00Z,2016-01-02T23:00:00Z,2016-01-02T19:00:00Z,20,37.36
