country_code,start,end,timestamp,period,val
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T00:00:00Z,1,59.9
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T01:00:00Z,2,52.71
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T02:00:00Z,3,36.49
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T03:00:00Z,4,31.24
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T04:00:00Z,5,25.98
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T05:00:00Z,6,26.69
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T06:00:00Z,7,27.99
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T07:00:00Z,8,28.49
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T08:00:00Z,9,33.98
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T09:00:00Z,10,41.24
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T10:00:00Z,11,41
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T11:00:00Z,12,45.16
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T12:00:00Z,13,44.07
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T13:00:00Z,14,41.16
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T14:00:00Z,15,42.83
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T15:00:00Z,16,54.91
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T16:00:00Z,17,72.02
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T17:00:00Z,18,73.8
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T18:00:00Z,19,72.02
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T19:00:00Z,20,70.63
HU,2018-12-31T23:00:00Z,2019-01-01T23:00:00Z,2019-01-01T20:00:00Z,21,68.38
