country_code,start,end,timestamp,period,val
PL,2015-12-31T23:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,1,28.11
PL,2016-01-01T07:00:00Z,2016-01-01T12:00:00Z,2016-01-01T08:00:00Z,1,17.57
PL,2016-01-01T07:00:00Z,2016-01-01T12:00:00Z,2016-01-01T09:00:00Z,2,22.85
PL,2016-01-01T07:00:00Z,2016-01-01T12:00:00Z,2016-01-01T10:00:00Z,3,27.9
PL,2016-01-01T07:00:00Z,2016-01-01T12:00:00Z,2016-01-01T11:00:00Z,4,32.81
PL,2016-01-01T07:00:00Z,2016-01-01T12:00:00Z,2016-01-01T12:00:00Z,5,32.85
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T14:00:00Z,1,32.72
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T15:00:00Z,2,32
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T16:00:00Z,3,32.57
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T17:00:00Z,4,33.97
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T18:00:00Z,5,34.49
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T19:00:00Z,6,34.83
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T20:00:00Z,7,33.81
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T21:00:00Z,8,33.43
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T22:00:00Z,9,27.08
PL,2016-01-01T13:00:00Z,2016-01-01T23:00:00Z,2016-01-01T23:00:00Z,10,25.2
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T03:00:00Z,1,19.21
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T04:00:00Z,2,19.42
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T05:00:00Z,3,19.21
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T06:00:00Z,4,20.29
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T07:00:00Z,5,28.79
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T08:00:00Z,6,30.67
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T09:00:00Z,7,34.19
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T10:00:00Z,8,34.2
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T11:00:00Z,9,33.97
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T12:00:00Z,10,33.72
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T13:00:00Z,11,34.45
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T14:00:00Z,12,33.65
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T15:00:00Z,13,33.15
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T16:00:00Z,14,35.97
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T17:00:00Z,15,33.83
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T18:00:00Z,16,33.93
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T19:00:00Z,17,33.83
PL,2016-01-02T02:00:00Z,2016-01-02T23:00:00Z,2016-01-02T20:00:00Z,18,34.31
