country_code,start,end,timestamp,period,val
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T00:00:00Z,1,160.31
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T01:00:00Z,2,145.27
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T02:00:00Z,3,136.33
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T03:00:00Z,4,130.79
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T04:00:00Z,5,126.06
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T05:00:00Z,6,126.63
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T06:00:00Z,7,129.05
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T07:00:00Z,8,130.95
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T08:00:00Z,9,133.76
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T09:00:00Z,10,132.41
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T10:00:00Z,11,112.77
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T11:00:00Z,12,87
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T12:00:00Z,13,61
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T13:00:00Z,14,68
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T14:00:00Z,15,87
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T15:00:00Z,16,133.65
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T16:00:00Z,17,182.11
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T17:00:00Z,18,197.07
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T18:00:00Z,19,203.86
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T19:00:00Z,20,201.07
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T20:00:00Z,21,188.8
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T21:00:00Z,22,179.19
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T22:00:00Z,23,170.11
RO,2019-12-31T23:00:00Z,2020-01-01T23:00:00Z,2020-01-01T23:00:00Z,24,151
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T00:00:00Z,1,152.99
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T01:00:00Z,2,150.55
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T02:00:00Z,3,141.75
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T03:00:00Z,4,143.07
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T04:00:00Z,5,152.76
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T05:00:00Z,6,168
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T06:00:00Z,7,207.79
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T07:00:00Z,8,241.23
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T08:00:00Z,9,250.4
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T09:00:00Z,10,215.4
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T10:00:00Z,11,202
RO,2020-01-01T23:00:00Z,2020-01-02T23:00:00Z,2020-01-02T11:00:00Z,12,202
