geo,ar1,ar2,ar3,ar4,ma1,sma1,drift,sigma,sma2,ma2,sar1,sar2,ma3
AT,-1.0032689821297693,-0.1253287783575996,-0.26968664160236017,-0.19582624016973257,0.988654173136619,0.11282699048529582,0.012813455187624053,0.01038079986117697,NA,NA,NA,NA,NA
BE,NA,NA,NA,NA,-0.4542372058465837,-0.3199958975920672,0.013384761804151993,0.030006303112262094,-0.14819962331480963,NA,NA,NA,NA
BG,NA,NA,NA,NA,-0.14244845572901205,-0.11883550629593369,0.013179342509571854,0.02018308688549465,-0.11256994894267795,NA,NA,NA,NA
CY,NA,NA,NA,NA,-0.23054383267352432,NA,NA,0.062482985325507966,NA,-0.17364809801652453,NA,NA,NA
CZ,NA,NA,NA,NA,NA,-0.16051354351058153,0.012246545276923636,0.026082309938924218,NA,NA,NA,NA,NA
DK,0.9161371484411196,NA,NA,NA,-1.5214244376997639,-0.12123820395863254,NA,0.11946666008425419,NA,0.6094795535486247,NA,NA,NA
EE,NA,NA,NA,NA,-0.20233724170255402,-0.15470817126305075,0.011580670474843006,0.011823688627941852,-0.15939592685409926,NA,NA,NA,NA
EL,NA,NA,NA,NA,-0.5248861195550767,-0.12975219577060115,NA,0.030884451403839063,NA,NA,NA,NA,NA
ES,NA,NA,NA,NA,0.1827507798495296,-0.08948000703332434,NA,0.025188971330537137,NA,NA,NA,NA,NA
FI,NA,NA,NA,NA,-0.3362580588564332,-0.15413614358984087,0.00967042518217981,0.04220578819195571,-0.18316628299985793,NA,NA,NA,NA
FR,NA,NA,NA,NA,-0.0670660629461532,-0.08593257043973362,NA,0.06897710414876701,-0.10271501490195904,-0.23313741970986995,NA,NA,NA
HR,0.31697122047422677,NA,NA,NA,-0.6453060805077905,NA,0.009258494095745909,0.06158472974502356,NA,NA,-0.038592556493083824,NA,NA
IT,NA,NA,NA,NA,0.05446986360096752,NA,NA,0.06221047656016954,NA,-0.2792383688901259,NA,NA,NA
LT,NA,NA,NA,NA,-0.2773936690782791,NA,0.011155699554446993,0.023143726897834834,NA,-0.17660757071028002,0.062331197586795735,-0.04675848254230381,NA
LV,NA,NA,NA,NA,-0.21900915544947042,-0.2985782172380074,0.012441671308226926,0.011270180182185124,-0.18796982409645557,NA,NA,NA,NA
MT,-0.06247807919146958,0.024539574061470913,0.7086873028292169,NA,-0.2916026692798707,-0.2810191040277126,NA,0.2934932850984263,NA,-0.14753328070108204,NA,NA,-0.49862368600051316
PL,NA,NA,NA,NA,NA,NA,0.012924844673225312,0.0066117279901017805,NA,NA,NA,NA,NA
PT,0.055217402335252956,0.124652817614712,-0.008241668304630606,-0.24342597711996566,-0.2730462758325793,NA,NA,0.09223652091211898,NA,-0.2798444401004432,NA,NA,NA
RO,NA,NA,NA,NA,-0.13383164950546164,-0.167087910816736,0.008940111356127784,0.023144340277246513,NA,-0.19937302145809768,NA,NA,-0.11920218691364141
SE,NA,NA,NA,NA,-0.22942272553643947,-0.7974728531187198,NA,0.13082047508658023,-0.0291322371887984,NA,0.6414903688670035,NA,NA
SI,-0.5542420634541083,NA,NA,NA,0.18114927403571657,0.02527335438710044,0.01068305211373466,0.046024431296930596,-0.22052101901688836,-0.39152727293158585,NA,NA,NA
SK,NA,NA,NA,NA,NA,-0.13416774670441067,NA,0.019038473647370217,NA,NA,NA,NA,NA
