geo,drift,sigma,ma1,sma1,sma2,ma2,ar1,sar1,ar2,ar3,ar4,ma3
AT,0.012645107321914238,0.011005142799931682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,0.014104179282881775,0.03005582557705142,-0.43985210491217436,-0.31857839460809007,-0.1333752100186566,NA,NA,NA,NA,NA,NA,NA
BG,0.013891372301468438,0.02029340254449048,-0.1470428541775679,-0.11767430311742197,-0.11981810225328492,NA,NA,NA,NA,NA,NA,NA
CY,NA,0.06919792497608908,-0.24696760718526076,NA,NA,-0.17328664369826838,NA,NA,NA,NA,NA,NA
CZ,0.012885566443922412,0.02719673945145544,NA,-0.13182331824872576,NA,NA,NA,NA,NA,NA,NA,NA
DK,NA,0.12358151989980068,-1.438161815813517,-0.13637084726129223,NA,0.5456961192456974,0.8700300695151137,NA,NA,NA,NA,NA
EE,0.011281775682315231,0.012102465935766187,-0.21738072155998608,-0.163419985850667,-0.21025923764446913,NA,NA,NA,NA,NA,NA,NA
EL,-0.006424666392197143,0.029906984976231378,-0.5254084450551563,-0.15172449698744273,NA,NA,NA,NA,NA,NA,NA,NA
ES,NA,0.025317492651422902,0.17854815550905007,-0.08571052696618651,NA,NA,NA,NA,NA,NA,NA,NA
FI,0.009238518001428997,0.04338468957497842,-0.33457160520160667,-0.1591360891771904,-0.17754009002419338,NA,NA,NA,NA,NA,NA,NA
FR,NA,0.06877892780708438,-0.06671318996416137,-0.0879812138772931,-0.09976001784848529,-0.23311078888840608,NA,NA,NA,NA,NA,NA
HR,NA,0.07469593991956355,-0.41655585729741984,NA,NA,-0.0874465951125572,NA,0.04025441983227704,NA,NA,NA,NA
IT,NA,0.062305813308507554,0.05612388611930025,NA,NA,-0.27899409501906014,NA,NA,NA,NA,NA,NA
LT,0.012417895451487804,0.024048488101579838,NA,NA,NA,NA,-0.3534138828565086,0.10124243853571967,-0.2895744441827245,-0.19166736352798763,-0.08726148339211995,NA
LV,0.013212050171979538,0.01101222055916628,-0.22197709124809184,-0.2736102389315679,-0.18793562922200854,NA,NA,NA,NA,NA,NA,NA
MT,NA,0.29653436104709857,-0.30107731617951505,-0.2796367298810949,NA,-0.14820559237064568,-0.05749440730876022,NA,0.02756210165844155,0.7022948697309501,NA,-0.48982591243954937
PL,0.013904983623438725,0.006725796564584355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PT,NA,0.09201890018946461,-0.4928584304427202,NA,NA,NA,0.26417528313413513,NA,-0.0823269099736739,-0.01834940488392417,-0.26373219900268585,NA
RO,0.009093626816635114,0.023295580038353334,-0.13327971949885672,-0.16770439238843335,NA,-0.20073989222609448,NA,NA,NA,NA,NA,-0.12123076109751546
SE,NA,0.13274907419171808,-0.2278482917174139,-0.7974751677614573,-0.033536871262666475,NA,NA,0.6419489019872132,NA,NA,NA,NA
SI,0.01171655452988348,0.0242004757136075,-0.08547227316700316,NA,NA,-0.14907698573269945,NA,NA,NA,NA,NA,NA
SK,NA,0.018939360176111926,NA,-0.11830417174410916,NA,NA,NA,NA,NA,NA,NA,NA
