geo,sigma,ar1,ma1,ma2,drift,ar2
BE,0.2503763744746285,-0.3601659593288258,NA,NA,NA,NA
DE,0.4622822200736277,NA,1.0544180067601374,0.4882467308960886,NA,NA
DK,0.12469850265785877,NA,-0.5058745017514151,NA,0.08309050229836286,NA
FI,0.24744033338713992,NA,-0.6136529377032082,NA,0.07082615335848474,NA
FR,0.4293770739039681,NA,1.1040284248226113,0.3661177668371828,NA,NA
LT,0.13548225837672873,NA,-0.5722642161521881,NA,0.07859623520431822,NA
MT,0.5797826337417786,0.6891674400429862,NA,NA,NA,NA
PT,0.3937853234116415,1.0273907782381924,NA,NA,NA,-0.5352244133797195
RO,0.439594326389003,0.4290687338363255,0.5888871375883916,NA,NA,NA
SK,0.3037337521785745,NA,1.373659138518929,0.5822573454588658,NA,NA
